Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,reps,feedback,filename
Exposure,Filler,1,1,01,America,Set A,Word,Male,Left,Wominid,Set A,Nonword,Female,Right,1,FALSE,Critical_W.America.M.L_N.Wominid.F.R.wav
Exposure,Filler,1,1,02,Wojalto,Set B,Nonword,Male,Right,Bakery,Set B,Word,Female,Left,1,FALSE,Critical_W.Bakery.F.L_N.Wojalto.M.R.wav
Exposure,Filler,1,1,03,Youmgel,Set C,Nonword,Male,Left,Ballerina,Set C,Word,Female,Right,1,FALSE,Critical_N.Youmgel.M.L_W.Ballerina.F.R.wav
Exposure,Filler,1,2,01,Blueberry,Set A,Word,Male,Left,Ungelnin,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Blueberry.M.L_N.Ungelnin.F.R.wav
Exposure,Filler,1,2,02,Tounamplem,Set B,Nonword,Male,Right,Bullying,Set B,Word,Female,Left,1,FALSE,Critical_W.Bullying.F.L_N.Tounamplem.M.R.wav
Exposure,Filler,1,2,03,Tymolape,Set C,Nonword,Male,Left,Burglary,Set C,Word,Female,Right,1,FALSE,Critical_N.Tymolape.M.L_W.Burglary.F.R.wav
Exposure,Filler,1,3,01,Camera,Set A,Word,Male,Left,Tilegkalo,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Camera.M.L_N.Tilegkalo.F.R.wav
Exposure,Filler,1,3,02,Ryligal,Set B,Nonword,Male,Right,Continually,Set B,Word,Female,Left,1,FALSE,Critical_W.Continually.F.L_N.Ryligal.M.R.wav
Exposure,Filler,1,3,03,Tamical,Set C,Nonword,Male,Left,Domineering,Set C,Word,Female,Right,1,FALSE,Critical_N.Tamical.M.L_W.Domineering.F.R.wav
Exposure,Filler,1,4,01,Directory,Set A,Word,Male,Left,Rimkeluwar,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Directory.M.L_N.Rimkeluwar.F.R.wav
Exposure,Filler,1,4,02,Rawamtee,Set B,Nonword,Male,Right,Document,Set B,Word,Female,Left,1,FALSE,Critical_W.Document.F.L_N.Rawamtee.M.R.wav
Exposure,Filler,1,4,03,Rengime,Set C,Nonword,Male,Left,Embody,Set C,Word,Female,Right,1,FALSE,Critical_N.Rengime.M.L_W.Embody.F.R.wav
Exposure,Filler,1,5,01,Dynamite,Set A,Word,Male,Left,Rakil,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Dynamite.M.L_N.Rakil.F.R.wav
Exposure,Filler,1,5,02,Ploupelai,Set B,Nonword,Male,Right,Eighty,Set B,Word,Female,Left,1,FALSE,Critical_W.Eighty.F.L_N.Ploupelai.M.R.wav
Exposure,Filler,1,5,03,Pourilar,Set C,Nonword,Male,Left,Gullible,Set C,Word,Female,Right,1,FALSE,Critical_N.Pourilar.M.L_W.Gullible.F.R.wav
Exposure,Filler,1,6,01,Gardenia,Set A,Word,Male,Left,Perkum,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Gardenia.M.L_N.Perkum.F.R.wav
Exposure,Filler,1,6,02,Omperoge,Set B,Nonword,Male,Right,Grammatical,Set B,Word,Female,Left,1,FALSE,Critical_W.Grammatical.F.L_N.Omperoge.M.R.wav
Exposure,Filler,1,6,03,Almikquary,Set C,Nonword,Male,Left,Honeymoon,Set C,Word,Female,Right,1,FALSE,Critical_N.Almikquary.M.L_W.Honeymoon.F.R.wav
Exposure,Filler,1,7,01,Hamburger,Set A,Word,Male,Left,Nomerae,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Hamburger.M.L_N.Nomerae.F.R.wav
Exposure,Filler,1,7,02,Nempring,Set B,Nonword,Male,Right,Identical,Set B,Word,Female,Left,1,FALSE,Critical_W.Identical.F.L_N.Nempring.M.R.wav
Exposure,Filler,1,7,03,Niritaly,Set C,Nonword,Male,Left,Illuminate,Set C,Word,Female,Right,1,FALSE,Critical_N.Niritaly.M.L_W.Illuminate.F.R.wav
