Attended.Talker,Expected.Response
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
Male,Word
Male,Nonword
Male,Nonword
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
"NA","NA"
