Critical.Item_Num,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
1,Ambition,A,Sh,Parasite,B,S,Shifted,Female,Left,Male,Right,Critical_02.A_Ash.Ambition.F.L_B_As.Parasite.M.R.wav,1
2,Machinery,A,Sh,Obscene,B,S,Shifted,Female,Left,Male,Right,Critical_02.A_Ash.Machinery.F.L_B_As.Obscene.M.R.wav,1
3,Brochure,A,Sh,Medicine,B,S,Shifted,Female,Left,Male,Right,Critical_02.A_Ash.Brochure.F.L_B_As.Medicine.M.R.wav,1
4,Official,A,Sh,Tennessee,B,S,Shifted,Female,Left,Male,Right,Critical_02.A_Ash.Official.F.L_B_As.Tennessee.M.R.wav,1
5,Crucial,A,Sh,Penninsula,B,S,Shifted,Female,Left,Male,Right,Critical_02.A_Ash.Crucial.F.L_B_As.Penninsula.M.R.wav,1
6,Pediatrician,A,Sh,Hallucinate,B,S,Shifted,Female,Left,Male,Right,Critical_02.A_Ash.Pediatrician.F.L_B_As.Hallucinate.M.R.wav,1
7,Flourishing,A,Sh,Arkansas,B,S,Shifted,Female,Left,Male,Right,Critical_02.A_Ash.Flourishing.F.L_B_As.Arkansas.M.R.wav,1
8,Reassure,A,Sh,Compensate,B,S,Shifted,Female,Left,Male,Right,Critical_02.A_Ash.Reassure.F.L_B_As.Compensate.M.R.wav,1
9,Graduation,A,Sh,Dinosaur,B,S,Shifted,Female,Left,Male,Right,Critical_02.A_Ash.Graduation.F.L_B_As.Dinosaur.M.R.wav,1
10,Vacation,A,Sh,Rehearsal,B,S,Shifted,Female,Left,Male,Right,Critical_02.A_Ash.Vacation.F.L_B_As.Rehearsal.M.R.wav,1
11,Pregnancy,B,S,Initial,A,Sh,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Pregnancy.F.L_A_Sh.Initial.M.R.wav,1
12,Democracy,B,S,Beneficial,A,Sh,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Democracy.F.L_A_Sh.Beneficial.M.R.wav,1
13,Embassy,B,S,Negotiate,A,Sh,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Embassy.F.L_A_Sh.Negotiate.M.R.wav,1
14,Legacy,B,S,Commercial,A,Sh,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Legacy.F.L_A_Sh.Commercial.M.R.wav,1
15,Reconcile,B,S,Parachute,A,Sh,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Reconcile.F.L_A_Sh.Parachute.M.R.wav,1
16,Personal,B,S,Efficient,A,Sh,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Personal.F.L_A_Sh.Efficient.M.R.wav,1
17,Eraser,B,S,Publisher,A,Sh,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Eraser.F.L_A_Sh.Publisher.M.R.wav,1
18,Episode,B,S,Glacier,A,Sh,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Episode.F.L_A_Sh.Glacier.M.R.wav,1
19,Literacy,B,S,Refreshing,A,Sh,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Literacy.F.L_A_Sh.Refreshing.M.R.wav,1
20,Coliseum,B,S,Impatient,A,Sh,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Coliseum.F.L_A_Sh.Impatient.M.R.wav,1
