Critical.Item_Num,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
1,Ambition,A,Sh,Parasite,B,S,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Ambition.M.L_B_As.Parasite.F.R.wav,1
2,Machinery,A,Sh,Obscene,B,S,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Machinery.M.L_B_As.Obscene.F.R.wav,1
3,Brochure,A,Sh,Medicine,B,S,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Brochure.M.L_B_As.Medicine.F.R.wav,1
4,Official,A,Sh,Tennessee,B,S,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Official.M.L_B_As.Tennessee.F.R.wav,1
5,Crucial,A,Sh,Penninsula,B,S,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Crucial.M.L_B_As.Penninsula.F.R.wav,1
6,Pediatrician,A,Sh,Hallucinate,B,S,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Pediatrician.M.L_B_As.Hallucinate.F.R.wav,1
7,Flourishing,A,Sh,Arkansas,B,S,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Flourishing.M.L_B_As.Arkansas.F.R.wav,1
8,Reassure,A,Sh,Compensate,B,S,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Reassure.M.L_B_As.Compensate.F.R.wav,1
9,Graduation,A,Sh,Dinosaur,B,S,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Graduation.M.L_B_As.Dinosaur.F.R.wav,1
10,Vacation,A,Sh,Rehearsal,B,S,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Vacation.M.L_B_As.Rehearsal.F.R.wav,1
11,Pregnancy,B,S,Initial,A,Sh,Unshifted,Male,Left,Female,Right,Critical_08.B_S.Pregnancy.M.L_A_Sh.Initial.F.R.wav,1
12,Democracy,B,S,Beneficial,A,Sh,Unshifted,Male,Left,Female,Right,Critical_08.B_S.Democracy.M.L_A_Sh.Beneficial.F.R.wav,1
13,Embassy,B,S,Negotiate,A,Sh,Unshifted,Male,Left,Female,Right,Critical_08.B_S.Embassy.M.L_A_Sh.Negotiate.F.R.wav,1
14,Legacy,B,S,Commercial,A,Sh,Unshifted,Male,Left,Female,Right,Critical_08.B_S.Legacy.M.L_A_Sh.Commercial.F.R.wav,1
15,Reconcile,B,S,Parachute,A,Sh,Unshifted,Male,Left,Female,Right,Critical_08.B_S.Reconcile.M.L_A_Sh.Parachute.F.R.wav,1
16,Personal,B,S,Efficient,A,Sh,Unshifted,Male,Left,Female,Right,Critical_08.B_S.Personal.M.L_A_Sh.Efficient.F.R.wav,1
17,Eraser,B,S,Publisher,A,Sh,Unshifted,Male,Left,Female,Right,Critical_08.B_S.Eraser.M.L_A_Sh.Publisher.F.R.wav,1
18,Episode,B,S,Glacier,A,Sh,Unshifted,Male,Left,Female,Right,Critical_08.B_S.Episode.M.L_A_Sh.Glacier.F.R.wav,1
19,Literacy,B,S,Refreshing,A,Sh,Unshifted,Male,Left,Female,Right,Critical_08.B_S.Literacy.M.L_A_Sh.Refreshing.F.R.wav,1
20,Coliseum,B,S,Impatient,A,Sh,Unshifted,Male,Left,Female,Right,Critical_08.B_S.Coliseum.M.L_A_Sh.Impatient.F.R.wav,1
