Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Version,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,rep,filename
Exposure,Critical,1,1,Ambition,Materials A,Sh,Parasite,Materials B,S,Shifted,Female,Left,Male,Right,1,Critical_02.A_Ash.Ambition.F.L_NAAs.Parasite.M.R.wav
Exposure,Critical,1,2,Machinery,Materials A,Sh,Obscene,Materials B,S,Shifted,Female,Left,Male,Right,1,Critical_02.A_Ash.Machinery.F.L_NAAs.Obscene.M.R.wav
Exposure,Critical,1,3,Brochure,Materials A,Sh,Medicine,Materials B,S,Shifted,Female,Left,Male,Right,1,Critical_02.A_Ash.Brochure.F.L_NAAs.Medicine.M.R.wav
Exposure,Critical,1,4,Official,Materials A,Sh,Tennessee,Materials B,S,Shifted,Female,Left,Male,Right,1,Critical_02.A_Ash.Official.F.L_NAAs.Tennessee.M.R.wav
Exposure,Critical,1,5,Crucial,Materials A,Sh,Penninsula,Materials B,S,Shifted,Female,Left,Male,Right,1,Critical_02.A_Ash.Crucial.F.L_NAAs.Penninsula.M.R.wav
Exposure,Critical,1,6,Pediatrician,Materials A,Sh,Hallucinate,Materials B,S,Shifted,Female,Left,Male,Right,1,Critical_02.A_Ash.Pediatrician.F.L_NAAs.Hallucinate.M.R.wav
Exposure,Critical,1,7,Flourishing,Materials A,Sh,Arkansas,Materials B,S,Shifted,Female,Left,Male,Right,1,Critical_02.A_Ash.Flourishing.F.L_NAAs.Arkansas.M.R.wav
Exposure,Critical,1,8,Reassure,Materials A,Sh,Compensate,Materials B,S,Shifted,Female,Left,Male,Right,1,Critical_02.A_Ash.Reassure.F.L_NAAs.Compensate.M.R.wav
Exposure,Critical,1,9,Graduation,Materials A,Sh,Dinosaur,Materials B,S,Shifted,Female,Left,Male,Right,1,Critical_02.A_Ash.Graduation.F.L_NAAs.Dinosaur.M.R.wav
Exposure,Critical,1,10,Vacation,Materials A,Sh,Rehearsal,Materials B,S,Shifted,Female,Left,Male,Right,1,Critical_02.A_Ash.Vacation.F.L_NAAs.Rehearsal.M.R.wav
Exposure,Critical,1,11,Pregnancy,Materials B,S,Initial,Materials A,Sh,Unshifted,Female,Left,Male,Right,1,Critical_02.B_S.Pregnancy.F.L_A_Sh.Initial.M.R.wav
Exposure,Critical,1,12,Democracy,Materials B,S,Beneficial,Materials A,Sh,Unshifted,Female,Left,Male,Right,1,Critical_02.B_S.Democracy.F.L_A_Sh.Beneficial.M.R.wav
Exposure,Critical,1,13,Embassy,Materials B,S,Negotiate,Materials A,Sh,Unshifted,Female,Left,Male,Right,1,Critical_02.B_S.Embassy.F.L_A_Sh.Negotiate.M.R.wav
Exposure,Critical,1,14,Legacy,Materials B,S,Commercial,Materials A,Sh,Unshifted,Female,Left,Male,Right,1,Critical_02.B_S.Legacy.F.L_A_Sh.Commercial.M.R.wav
Exposure,Critical,1,15,Reconcile,Materials B,S,Parachute,Materials A,Sh,Unshifted,Female,Left,Male,Right,1,Critical_02.B_S.Reconcile.F.L_A_Sh.Parachute.M.R.wav
Exposure,Critical,1,16,Personal,Materials B,S,Efficient,Materials A,Sh,Unshifted,Female,Left,Male,Right,1,Critical_02.B_S.Personal.F.L_A_Sh.Efficient.M.R.wav
Exposure,Critical,1,17,Eraser,Materials B,S,Publisher,Materials A,Sh,Unshifted,Female,Left,Male,Right,1,Critical_02.B_S.Eraser.F.L_A_Sh.Publisher.M.R.wav
Exposure,Critical,1,18,Episode,Materials B,S,Glacier,Materials A,Sh,Unshifted,Female,Left,Male,Right,1,Critical_02.B_S.Episode.F.L_A_Sh.Glacier.M.R.wav
Exposure,Critical,1,19,Literacy,Materials B,S,Refreshing,Materials A,Sh,Unshifted,Female,Left,Male,Right,1,Critical_02.B_S.Literacy.F.L_A_Sh.Refreshing.M.R.wav
Exposure,Critical,1,20,Coliseum,Materials B,S,Impatient,Materials A,Sh,Unshifted,Female,Left,Male,Right,1,Critical_02.B_S.Coliseum.F.L_A_Sh.Impatient.M.R.wav
