Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Version,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,reps,feedback,filename
Exposure,Critical,1,1,Ambition,Materials A,Sh,Parasite,Materials B,S,Shifted,Male,Right,Female,Left,1,FALSE,Critical_04_A_As.Parasite.F.L_Ash.Ambition.M.R.wav
Exposure,Critical,1,2,Machinery,Materials A,Sh,Obscene,Materials B,S,Shifted,Male,Right,Female,Left,1,FALSE,Critical_04_A_As.Obscene.F.L_Ash.Machinery.M.R.wav
Exposure,Critical,1,3,Brochure,Materials A,Sh,Medicine,Materials B,S,Shifted,Male,Right,Female,Left,1,FALSE,Critical_04_A_As.Medicine.F.L_Ash.Brochure.M.R.wav
Exposure,Critical,1,4,Official,Materials A,Sh,Tennessee,Materials B,S,Shifted,Male,Right,Female,Left,1,FALSE,Critical_04_A_As.Tennessee.F.L_Ash.Official.M.R.wav
Exposure,Critical,1,5,Crucial,Materials A,Sh,Penninsula,Materials B,S,Shifted,Male,Right,Female,Left,1,FALSE,Critical_04_A_As.Penninsula.F.L_Ash.Crucial.M.R.wav
Exposure,Critical,1,6,Pediatrician,Materials A,Sh,Hallucinate,Materials B,S,Shifted,Male,Right,Female,Left,1,FALSE,Critical_04_A_As.Hallucinate.F.L_Ash.Pediatrician.M.R.wav
Exposure,Critical,1,7,Flourishing,Materials A,Sh,Arkansas,Materials B,S,Shifted,Male,Right,Female,Left,1,FALSE,Critical_04_A_As.Arkansas.F.L_Ash.Flourishing.M.R.wav
Exposure,Critical,1,8,Reassure,Materials A,Sh,Compensate,Materials B,S,Shifted,Male,Right,Female,Left,1,FALSE,Critical_04_A_As.Compensate.F.L_Ash.Reassure.M.R.wav
Exposure,Critical,1,9,Graduation,Materials A,Sh,Dinosaur,Materials B,S,Shifted,Male,Right,Female,Left,1,FALSE,Critical_04_A_As.Dinosaur.F.L_Ash.Graduation.M.R.wav
Exposure,Critical,1,10,Vacation,Materials A,Sh,Rehearsal,Materials B,S,Shifted,Male,Right,Female,Left,1,FALSE,Critical_04_A_As.Rehearsal.F.L_Ash.Vacation.M.R.wav
Exposure,Critical,1,11,Pregnancy,Materials B,S,Initial,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_04_B_Sh.Initial.F.L_S.Pregnancy.M.R.wav
Exposure,Critical,1,12,Democracy,Materials B,S,Beneficial,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_04_B_Sh.Beneficial.F.L_S.Democracy.M.R.wav
Exposure,Critical,1,13,Embassy,Materials B,S,Negotiate,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_04_B_Sh.Negotiate.F.L_S.Embassy.M.R.wav
Exposure,Critical,1,14,Legacy,Materials B,S,Commercial,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_04_B_Sh.Commercial.F.L_S.Legacy.M.R.wav
Exposure,Critical,1,15,Reconcile,Materials B,S,Parachute,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_04_B_Sh.Parachute.F.L_S.Reconcile.M.R.wav
Exposure,Critical,1,16,Personal,Materials B,S,Efficient,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_04_B_Sh.Efficient.F.L_S.Personal.M.R.wav
Exposure,Critical,1,17,Eraser,Materials B,S,Publisher,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_04_B_Sh.Publisher.F.L_S.Eraser.M.R.wav
Exposure,Critical,1,18,Episode,Materials B,S,Glacier,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_04_B_Sh.Glacier.F.L_S.Episode.M.R.wav
Exposure,Critical,1,19,Literacy,Materials B,S,Refreshing,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_04_B_Sh.Refreshing.F.L_S.Literacy.M.R.wav
Exposure,Critical,1,20,Coliseum,Materials B,S,Impatient,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_04_B_Sh.Impatient.F.L_S.Coliseum.M.R.wav
