Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,reps,feedback,filename
Exposure,Critical,1,1,Unshifted,Parasite,Materials A,S,Male,Right,Ambition,Materials A,Sh,Female,Left,1,FALSE,Critical_Sh.Ambition.F.L_S.Parasite.M.R.wav
Exposure,Critical,1,2,Unshifted,Obscene,Materials A,S,Male,Right,Machinery,Materials A,Sh,Female,Left,1,FALSE,Critical_Sh.Machinery.F.L_S.Obscene.M.R.wav
Exposure,Critical,1,3,Unshifted,Medicine,Materials A,S,Male,Right,Brochure,Materials A,Sh,Female,Left,1,FALSE,Critical_Sh.Brochure.F.L_S.Medicine.M.R.wav
Exposure,Critical,1,4,Unshifted,Tennessee,Materials A,S,Male,Right,Official,Materials A,Sh,Female,Left,1,FALSE,Critical_Sh.Official.F.L_S.Tennessee.M.R.wav
Exposure,Critical,1,5,Unshifted,Peninsula,Materials A,S,Male,Right,Crucial,Materials A,Sh,Female,Left,1,FALSE,Critical_Sh.Crucial.F.L_S.Peninsula.M.R.wav
Exposure,Critical,1,6,Unshifted,Hallucinate,Materials A,S,Male,Right,Pediatrician,Materials A,Sh,Female,Left,1,FALSE,Critical_Sh.Pediatrician.F.L_S.Hallucinate.M.R.wav
Exposure,Critical,1,7,Unshifted,Arkansas,Materials A,S,Male,Right,Flourishing,Materials A,Sh,Female,Left,1,FALSE,Critical_Sh.Flourishing.F.L_S.Arkansas.M.R.wav
Exposure,Critical,1,8,Unshifted,Compensate,Materials A,S,Male,Right,Reassure,Materials A,Sh,Female,Left,1,FALSE,Critical_Sh.Reassure.F.L_S.Compensate.M.R.wav
Exposure,Critical,1,9,Unshifted,Dinosaur,Materials A,S,Male,Right,Graduation,Materials A,Sh,Female,Left,1,FALSE,Critical_Sh.Graduation.F.L_S.Dinosaur.M.R.wav
Exposure,Critical,1,10,Unshifted,Rehearsal,Materials A,S,Male,Right,Vacation,Materials A,Sh,Female,Left,1,FALSE,Critical_Sh.Vacation.F.L_S.Rehearsal.M.R.wav
Exposure,Critical,1,11,Shifted,Initial,Materials B,Sh,Male,Right,Pregnancy,Materials B,S,Female,Left,1,FALSE,Critical_As.Pregnancy.F.L_Ash.Initial.M.R.wav
Exposure,Critical,1,12,Shifted,Beneficial,Materials B,Sh,Male,Right,Democracy,Materials B,S,Female,Left,1,FALSE,Critical_As.Democracy.F.L_Ash.Beneficial.M.R.wav
Exposure,Critical,1,13,Shifted,Negotiate,Materials B,Sh,Male,Right,Embassy,Materials B,S,Female,Left,1,FALSE,Critical_As.Embassy.F.L_Ash.Negotiate.M.R.wav
Exposure,Critical,1,14,Shifted,Commercial,Materials B,Sh,Male,Right,Legacy,Materials B,S,Female,Left,1,FALSE,Critical_As.Legacy.F.L_Ash.Commercial.M.R.wav
Exposure,Critical,1,15,Shifted,Parachute,Materials B,Sh,Male,Right,Reconcile,Materials B,S,Female,Left,1,FALSE,Critical_As.Reconcile.F.L_Ash.Parachute.M.R.wav
Exposure,Critical,1,16,Shifted,Efficient,Materials B,Sh,Male,Right,Personal,Materials B,S,Female,Left,1,FALSE,Critical_As.Personal.F.L_Ash.Efficient.M.R.wav
Exposure,Critical,1,17,Shifted,Publisher,Materials B,Sh,Male,Right,Eraser,Materials B,S,Female,Left,1,FALSE,Critical_As.Eraser.F.L_Ash.Publisher.M.R.wav
Exposure,Critical,1,18,Shifted,Glacier,Materials B,Sh,Male,Right,Episode,Materials B,S,Female,Left,1,FALSE,Critical_As.Episode.F.L_Ash.Glacier.M.R.wav
Exposure,Critical,1,19,Shifted,Refreshing,Materials B,Sh,Male,Right,Literacy,Materials B,S,Female,Left,1,FALSE,Critical_As.Literacy.F.L_Ash.Refreshing.M.R.wav
Exposure,Critical,1,20,Shifted,Impatient,Materials B,Sh,Male,Right,Coliseum,Materials B,S,Female,Left,1,FALSE,Critical_As.Coliseum.F.L_Ash.Impatient.M.R.wav
