Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Is.Shifted,filename,rep
1,Ambition,Parasite,sh,s,Female,Left,Male,Right,Yes,Critical_Ash.Ambition.F.L_As.Parasite.M.R.wav,1
2,Machinery,Obscene,sh,s,Female,Left,Male,Right,Yes,Critical_Ash.Machinery.F.L_As.Obscene.M.R.wav,1
3,Brochure,Medicine,sh,s,Female,Left,Male,Right,Yes,Critical_Ash.Brochure.F.L_As.Medicine.M.R.wav,1
4,Official,Tennessee,sh,s,Female,Left,Male,Right,Yes,Critical_Ash.Official.F.L_As.Tennessee.M.R.wav,1
5,Crucial,Penninsula,sh,s,Female,Left,Male,Right,Yes,Critical_Ash.Crucial.F.L_As.Penninsula.M.R.wav,1
6,Pediatrician,Hallucinate,sh,s,Female,Left,Male,Right,Yes,Critical_Ash.Pediatrician.F.L_As.Hallucinate.M.R.wav,1
7,Flourishing,Arkansas,sh,s,Female,Left,Male,Right,Yes,Critical_Ash.Flourishing.F.L_As.Arkansas.M.R.wav,1
8,Reassure,Compensate,sh,s,Female,Left,Male,Right,Yes,Critical_Ash.Reassure.F.L_As.Compensate.M.R.wav,1
9,Graduation,Dinosaur,sh,s,Female,Left,Male,Right,Yes,Critical_Ash.Graduation.F.L_As.Dinosaur.M.R.wav,1
10,Vacation,Rehearsal,sh,s,Female,Left,Male,Right,Yes,Critical_Ash.Vacation.F.L_As.Rehearsal.M.R.wav,1
11,Pregnancy,Initial,s,sh,Female,Left,Male,Right,Yes,Critical_As.Pregnancy.F.L_Ash.Initial.M.R.wav,1
12,Democracy,Beneficial,s,sh,Female,Left,Male,Right,Yes,Critical_As.Democracy.F.L_Ash.Beneficial.M.R.wav,1
13,Embassy,Negotiate,s,sh,Female,Left,Male,Right,Yes,Critical_As.Embassy.F.L_Ash.Negotiate.M.R.wav,1
14,Legacy,Commercial,s,sh,Female,Left,Male,Right,Yes,Critical_As.Legacy.F.L_Ash.Commercial.M.R.wav,1
15,Reconcile,Parachute,s,sh,Female,Left,Male,Right,Yes,Critical_As.Reconcile.F.L_Ash.Parachute.M.R.wav,1
16,Personal,Efficient,s,sh,Female,Left,Male,Right,Yes,Critical_As.Personal.F.L_Ash.Efficient.M.R.wav,1
17,Eraser,Publisher,s,sh,Female,Left,Male,Right,Yes,Critical_As.Eraser.F.L_Ash.Publisher.M.R.wav,1
18,Episode,Glacier,s,sh,Female,Left,Male,Right,Yes,Critical_As.Episode.F.L_Ash.Glacier.M.R.wav,1
19,Literacy,Refreshing,s,sh,Female,Left,Male,Right,Yes,Critical_As.Literacy.F.L_Ash.Refreshing.M.R.wav,1
20,Coliseum,Impatient,s,sh,Female,Left,Male,Right,Yes,Critical_As.Coliseum.F.L_Ash.Impatient.M.R.wav,1
