Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Is.Shifted,Talker.B_Gender,Talker.B_Ear,filename
1,Ambition,Parasite,sh,s,Female,Left,No,Male,Right,Critical_Sh.Ambition.F.L_S.Parasite.M.R
2,Machinery,Obscene,sh,s,Female,Left,No,Male,Right,Critical_Sh.Machinery.F.L_S.Obscene.M.R
3,Brochure,Medicine,sh,s,Female,Left,No,Male,Right,Critical_Sh.Brochure.F.L_S.Medicine.M.R
4,Official,Tennessee,sh,s,Female,Left,No,Male,Right,Critical_Sh.Official.F.L_S.Tennessee.M.R
5,Crucial,Penninsula,sh,s,Female,Left,No,Male,Right,Critical_Sh.Crucial.F.L_S.Penninsula.M.R
6,Pediatrician,Hallucinate,sh,s,Female,Left,No,Male,Right,Critical_Sh.Pediatrician.F.L_S.Hallucinate.M.R
7,Flourishing,Arkansas,sh,s,Female,Left,No,Male,Right,Critical_Sh.Flourishing.F.L_S.Arkansas.M.R
8,Reassure,Compensate,sh,s,Female,Left,No,Male,Right,Critical_Sh.Reassure.F.L_S.Compensate.M.R
9,Graduation,Dinosaur,sh,s,Female,Left,No,Male,Right,Critical_Sh.Graduation.F.L_S.Dinosaur.M.R
10,Vacation,Rehearsal,sh,s,Female,Left,No,Male,Right,Critical_Sh.Vacation.F.L_S.Rehearsal.M.R
11,Pregnancy,Initial,s,sh,Female,Left,No,Male,Right,Critical_S.Pregnancy.F.L_Sh.Initial.M.R
12,Democracy,Beneficial,s,sh,Female,Left,No,Male,Right,Critical_S.Democracy.F.L_Sh.Beneficial.M.R
13,Embassy,Negotiate,s,sh,Female,Left,No,Male,Right,Critical_S.Embassy.F.L_Sh.Negotiate.M.R
14,Legacy,Commercial,s,sh,Female,Left,No,Male,Right,Critical_S.Legacy.F.L_Sh.Commercial.M.R
15,Reconcile,Parachute,s,sh,Female,Left,No,Male,Right,Critical_S.Reconcile.F.L_Sh.Parachute.M.R
16,Personal,Efficient,s,sh,Female,Left,No,Male,Right,Critical_S.Personal.F.L_Sh.Efficient.M.R
17,Eraser,Publisher,s,sh,Female,Left,No,Male,Right,Critical_S.Eraser.F.L_Sh.Publisher.M.R
18,Episode,Glacier,s,sh,Female,Left,No,Male,Right,Critical_S.Episode.F.L_Sh.Glacier.M.R
19,Literacy,Refreshing,s,sh,Female,Left,No,Male,Right,Critical_S.Literacy.F.L_Sh.Refreshing.M.R
20,Coliseum,Impatient,s,sh,Female,Left,No,Male,Right,Critical_S.Coliseum.F.L_Sh.Impatient.M.R
