Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Is.Shifted,filename,rep
1,Ambition,Parasite,sh,s,Male,Right,Female,Left,Yes,Critical_Ash.Ambition.M.R_As.Parasite.F.L,1
2,Machinery,Obscene,sh,s,Male,Right,Female,Left,Yes,Critical_Ash.Machinery.M.R_As.Obscene.F.L,1
3,Brochure,Medicine,sh,s,Male,Right,Female,Left,Yes,Critical_Ash.Brochure.M.R_As.Medicine.F.L,1
4,Official,Tennessee,sh,s,Male,Right,Female,Left,Yes,Critical_Ash.Official.M.R_As.Tennessee.F.L,1
5,Crucial,Penninsula,sh,s,Male,Right,Female,Left,Yes,Critical_Ash.Crucial.M.R_As.Penninsula.F.L,1
6,Pediatrician,Hallucinate,sh,s,Male,Right,Female,Left,Yes,Critical_Ash.Pediatrician.M.R_As.Hallucinate.F.L,1
7,Flourishing,Arkansas,sh,s,Male,Right,Female,Left,Yes,Critical_Ash.Flourishing.M.R_As.Arkansas.F.L,1
8,Reassure,Compensate,sh,s,Male,Right,Female,Left,Yes,Critical_Ash.Reassure.M.R_As.Compensate.F.L,1
9,Graduation,Dinosaur,sh,s,Male,Right,Female,Left,Yes,Critical_Ash.Graduation.M.R_As.Dinosaur.F.L,1
10,Vacation,Rehearsal,sh,s,Male,Right,Female,Left,Yes,Critical_Ash.Vacation.M.R_As.Rehearsal.F.L,1
11,Pregnancy,Initial,s,sh,Male,Right,Female,Left,Yes,Critical_As.Pregnancy.M.R_Ash.Initial.F.L,1
12,Democracy,Beneficial,s,sh,Male,Right,Female,Left,Yes,Critical_As.Democracy.M.R_Ash.Beneficial.F.L,1
13,Embassy,Negotiate,s,sh,Male,Right,Female,Left,Yes,Critical_As.Embassy.M.R_Ash.Negotiate.F.L,1
14,Legacy,Commercial,s,sh,Male,Right,Female,Left,Yes,Critical_As.Legacy.M.R_Ash.Commercial.F.L,1
15,Reconcile,Parachute,s,sh,Male,Right,Female,Left,Yes,Critical_As.Reconcile.M.R_Ash.Parachute.F.L,1
16,Personal,Efficient,s,sh,Male,Right,Female,Left,Yes,Critical_As.Personal.M.R_Ash.Efficient.F.L,1
17,Eraser,Publisher,s,sh,Male,Right,Female,Left,Yes,Critical_As.Eraser.M.R_Ash.Publisher.F.L,1
18,Episode,Glacier,s,sh,Male,Right,Female,Left,Yes,Critical_As.Episode.M.R_Ash.Glacier.F.L,1
19,Literacy,Refreshing,s,sh,Male,Right,Female,Left,Yes,Critical_As.Literacy.M.R_Ash.Refreshing.F.L,1
20,Coliseum,Impatient,s,sh,Male,Right,Female,Left,Yes,Critical_As.Coliseum.M.R_Ash.Impatient.F.L,1
