Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Is.Shifted,filename,rep
1,Ambition,Parasite,sh,s,Male,Right,Female,Left,No,Critical_Sh.Ambition.M.R_S.Parasite.F.L.wav,1
2,Machinery,Obscene,sh,s,Male,Right,Female,Left,No,Critical_Sh.Machinery.M.R_S.Obscene.F.L.wav,1
3,Brochure,Medicine,sh,s,Male,Right,Female,Left,No,Critical_Sh.Brochure.M.R_S.Medicine.F.L.wav,1
4,Official,Tennessee,sh,s,Male,Right,Female,Left,No,Critical_Sh.Official.M.R_S.Tennessee.F.L.wav,1
5,Crucial,Penninsula,sh,s,Male,Right,Female,Left,No,Critical_Sh.Crucial.M.R_S.Penninsula.F.L.wav,1
6,Pediatrician,Hallucinate,sh,s,Male,Right,Female,Left,No,Critical_Sh.Pediatrician.M.R_S.Hallucinate.F.L.wav,1
7,Flourishing,Arkansas,sh,s,Male,Right,Female,Left,No,Critical_Sh.Flourishing.M.R_S.Arkansas.F.L.wav,1
8,Reassure,Compensate,sh,s,Male,Right,Female,Left,No,Critical_Sh.Reassure.M.R_S.Compensate.F.L.wav,1
9,Graduation,Dinosaur,sh,s,Male,Right,Female,Left,No,Critical_Sh.Graduation.M.R_S.Dinosaur.F.L.wav,1
10,Vacation,Rehearsal,sh,s,Male,Right,Female,Left,No,Critical_Sh.Vacation.M.R_S.Rehearsal.F.L.wav,1
11,Pregnancy,Initial,s,sh,Male,Right,Female,Left,No,Critical_S.Pregnancy.M.R_Sh.Initial.F.L.wav,1
12,Democracy,Beneficial,s,sh,Male,Right,Female,Left,No,Critical_S.Democracy.M.R_Sh.Beneficial.F.L.wav,1
13,Embassy,Negotiate,s,sh,Male,Right,Female,Left,No,Critical_S.Embassy.M.R_Sh.Negotiate.F.L.wav,1
14,Legacy,Commercial,s,sh,Male,Right,Female,Left,No,Critical_S.Legacy.M.R_Sh.Commercial.F.L.wav,1
15,Reconcile,Parachute,s,sh,Male,Right,Female,Left,No,Critical_S.Reconcile.M.R_Sh.Parachute.F.L.wav,1
16,Personal,Efficient,s,sh,Male,Right,Female,Left,No,Critical_S.Personal.M.R_Sh.Efficient.F.L.wav,1
17,Eraser,Publisher,s,sh,Male,Right,Female,Left,No,Critical_S.Eraser.M.R_Sh.Publisher.F.L.wav,1
18,Episode,Glacier,s,sh,Male,Right,Female,Left,No,Critical_S.Episode.M.R_Sh.Glacier.F.L.wav,1
19,Literacy,Refreshing,s,sh,Male,Right,Female,Left,No,Critical_S.Literacy.M.R_Sh.Refreshing.F.L.wav,1
20,Coliseum,Impatient,s,sh,Male,Right,Female,Left,No,Critical_S.Coliseum.M.R_Sh.Impatient.F.L.wav,1
