Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Is.Shifted,filename,rep
1,Ambition,Parasite,sh,s,Male,Left,Female,Right,Yes,Critical_Ash.Ambition.M.L_As.Parasite.F.R.wav,1
2,Machinery,Obscene,sh,s,Male,Left,Female,Right,Yes,Critical_Ash.Machinery.M.L_As.Obscene.F.R.wav,1
3,Brochure,Medicine,sh,s,Male,Left,Female,Right,Yes,Critical_Ash.Brochure.M.L_As.Medicine.F.R.wav,1
4,Official,Tennessee,sh,s,Male,Left,Female,Right,Yes,Critical_Ash.Official.M.L_As.Tennessee.F.R.wav,1
5,Crucial,Penninsula,sh,s,Male,Left,Female,Right,Yes,Critical_Ash.Crucial.M.L_As.Penninsula.F.R.wav,1
6,Pediatrician,Hallucinate,sh,s,Male,Left,Female,Right,Yes,Critical_Ash.Pediatrician.M.L_As.Hallucinate.F.R.wav,1
7,Flourishing,Arkansas,sh,s,Male,Left,Female,Right,Yes,Critical_Ash.Flourishing.M.L_As.Arkansas.F.R.wav,1
8,Reassure,Compensate,sh,s,Male,Left,Female,Right,Yes,Critical_Ash.Reassure.M.L_As.Compensate.F.R.wav,1
9,Graduation,Dinosaur,sh,s,Male,Left,Female,Right,Yes,Critical_Ash.Graduation.M.L_As.Dinosaur.F.R.wav,1
10,Vacation,Rehearsal,sh,s,Male,Left,Female,Right,Yes,Critical_Ash.Vacation.M.L_As.Rehearsal.F.R.wav,1
11,Pregnancy,Initial,s,sh,Male,Left,Female,Right,Yes,Critical_As.Pregnancy.M.L_Ash.Initial.F.R.wav,1
12,Democracy,Beneficial,s,sh,Male,Left,Female,Right,Yes,Critical_As.Democracy.M.L_Ash.Beneficial.F.R.wav,1
13,Embassy,Negotiate,s,sh,Male,Left,Female,Right,Yes,Critical_As.Embassy.M.L_Ash.Negotiate.F.R.wav,1
14,Legacy,Commercial,s,sh,Male,Left,Female,Right,Yes,Critical_As.Legacy.M.L_Ash.Commercial.F.R.wav,1
15,Reconcile,Parachute,s,sh,Male,Left,Female,Right,Yes,Critical_As.Reconcile.M.L_Ash.Parachute.F.R.wav,1
16,Personal,Efficient,s,sh,Male,Left,Female,Right,Yes,Critical_As.Personal.M.L_Ash.Efficient.F.R.wav,1
17,Eraser,Publisher,s,sh,Male,Left,Female,Right,Yes,Critical_As.Eraser.M.L_Ash.Publisher.F.R.wav,1
18,Episode,Glacier,s,sh,Male,Left,Female,Right,Yes,Critical_As.Episode.M.L_Ash.Glacier.F.R.wav,1
19,Literacy,Refreshing,s,sh,Male,Left,Female,Right,Yes,Critical_As.Literacy.M.L_Ash.Refreshing.F.R.wav,1
20,Coliseum,Impatient,s,sh,Male,Left,Female,Right,Yes,Critical_As.Coliseum.M.L_Ash.Impatient.F.R.wav,1
