Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Is.Shifted,filename,rep
1,Ambition,Parasite,sh,s,Male,Left,Female,Right,No,Critical_Sh.Ambition.M.L_S.Parasite.F.R,1
2,Machinery,Obscene,sh,s,Male,Left,Female,Right,No,Critical_Sh.Machinery.M.L_S.Obscene.F.R,1
3,Brochure,Medicine,sh,s,Male,Left,Female,Right,No,Critical_Sh.Brochure.M.L_S.Medicine.F.R,1
4,Official,Tennessee,sh,s,Male,Left,Female,Right,No,Critical_Sh.Official.M.L_S.Tennessee.F.R,1
5,Crucial,Penninsula,sh,s,Male,Left,Female,Right,No,Critical_Sh.Crucial.M.L_S.Penninsula.F.R,1
6,Pediatrician,Hallucinate,sh,s,Male,Left,Female,Right,No,Critical_Sh.Pediatrician.M.L_S.Hallucinate.F.R,1
7,Flourishing,Arkansas,sh,s,Male,Left,Female,Right,No,Critical_Sh.Flourishing.M.L_S.Arkansas.F.R,1
8,Reassure,Compensate,sh,s,Male,Left,Female,Right,No,Critical_Sh.Reassure.M.L_S.Compensate.F.R,1
9,Graduation,Dinosaur,sh,s,Male,Left,Female,Right,No,Critical_Sh.Graduation.M.L_S.Dinosaur.F.R,1
10,Vacation,Rehearsal,sh,s,Male,Left,Female,Right,No,Critical_Sh.Vacation.M.L_S.Rehearsal.F.R,1
11,Pregnancy,Initial,s,sh,Male,Left,Female,Right,No,Critical_S.Pregnancy.M.L_Sh.Initial.F.R,1
12,Democracy,Beneficial,s,sh,Male,Left,Female,Right,No,Critical_S.Democracy.M.L_Sh.Beneficial.F.R,1
13,Embassy,Negotiate,s,sh,Male,Left,Female,Right,No,Critical_S.Embassy.M.L_Sh.Negotiate.F.R,1
14,Legacy,Commercial,s,sh,Male,Left,Female,Right,No,Critical_S.Legacy.M.L_Sh.Commercial.F.R,1
15,Reconcile,Parachute,s,sh,Male,Left,Female,Right,No,Critical_S.Reconcile.M.L_Sh.Parachute.F.R,1
16,Personal,Efficient,s,sh,Male,Left,Female,Right,No,Critical_S.Personal.M.L_Sh.Efficient.F.R,1
17,Eraser,Publisher,s,sh,Male,Left,Female,Right,No,Critical_S.Eraser.M.L_Sh.Publisher.F.R,1
18,Episode,Glacier,s,sh,Male,Left,Female,Right,No,Critical_S.Episode.M.L_Sh.Glacier.F.R,1
19,Literacy,Refreshing,s,sh,Male,Left,Female,Right,No,Critical_S.Literacy.M.L_Sh.Refreshing.F.R,1
20,Coliseum,Impatient,s,sh,Male,Left,Female,Right,No,Critical_S.Coliseum.M.L_Sh.Impatient.F.R,1
