Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Is.Shifted,filename,rep
1,Ambition,Parasite,sh,s,Female,Right,Male,Left,Yes,Critical_Ash.Ambition.F.R_As.Parasite.M.L.wav,1
2,Machinery,Obscene,sh,s,Female,Right,Male,Left,Yes,Critical_Ash.Machinery.F.R_As.Obscene.M.L.wav,1
3,Brochure,Medicine,sh,s,Female,Right,Male,Left,Yes,Critical_Ash.Brochure.F.R_As.Medicine.M.L.wav,1
4,Official,Tennessee,sh,s,Female,Right,Male,Left,Yes,Critical_Ash.Official.F.R_As.Tennessee.M.L.wav,1
5,Crucial,Penninsula,sh,s,Female,Right,Male,Left,Yes,Critical_Ash.Crucial.F.R_As.Penninsula.M.L.wav,1
6,Pediatrician,Hallucinate,sh,s,Female,Right,Male,Left,Yes,Critical_Ash.Pediatrician.F.R_As.Hallucinate.M.L.wav,1
7,Flourishing,Arkansas,sh,s,Female,Right,Male,Left,Yes,Critical_Ash.Flourishing.F.R_As.Arkansas.M.L.wav,1
8,Reassure,Compensate,sh,s,Female,Right,Male,Left,Yes,Critical_Ash.Reassure.F.R_As.Compensate.M.L.wav,1
9,Graduation,Dinosaur,sh,s,Female,Right,Male,Left,Yes,Critical_Ash.Graduation.F.R_As.Dinosaur.M.L.wav,1
10,Vacation,Rehearsal,sh,s,Female,Right,Male,Left,Yes,Critical_Ash.Vacation.F.R_As.Rehearsal.M.L.wav,1
11,Pregnancy,Initial,s,sh,Female,Right,Male,Left,Yes,Critical_As.Pregnancy.F.R_Ash.Initial.M.L.wav,1
12,Democracy,Beneficial,s,sh,Female,Right,Male,Left,Yes,Critical_As.Democracy.F.R_Ash.Beneficial.M.L.wav,1
13,Embassy,Negotiate,s,sh,Female,Right,Male,Left,Yes,Critical_As.Embassy.F.R_Ash.Negotiate.M.L.wav,1
14,Legacy,Commercial,s,sh,Female,Right,Male,Left,Yes,Critical_As.Legacy.F.R_Ash.Commercial.M.L.wav,1
15,Reconcile,Parachute,s,sh,Female,Right,Male,Left,Yes,Critical_As.Reconcile.F.R_Ash.Parachute.M.L.wav,1
16,Personal,Efficient,s,sh,Female,Right,Male,Left,Yes,Critical_As.Personal.F.R_Ash.Efficient.M.L.wav,1
17,Eraser,Publisher,s,sh,Female,Right,Male,Left,Yes,Critical_As.Eraser.F.R_Ash.Publisher.M.L.wav,1
18,Episode,Glacier,s,sh,Female,Right,Male,Left,Yes,Critical_As.Episode.F.R_Ash.Glacier.M.L.wav,1
19,Literacy,Refreshing,s,sh,Female,Right,Male,Left,Yes,Critical_As.Literacy.F.R_Ash.Refreshing.M.L.wav,1
20,Coliseum,Impatient,s,sh,Female,Right,Male,Left,Yes,Critical_As.Coliseum.F.R_Ash.Impatient.M.L.wav,1
