Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Is.Shifted,filename,rep
1,Ambition,Parasite,sh,s,Female,Right,Male,Left,No,Critical_Sh.Ambition.F.R_S.Parasite.M.L.wav,1
2,Machinery,Obscene,sh,s,Female,Right,Male,Left,No,Critical_Sh.Machinery.F.R_S.Obscene.M.L.wav,1
3,Brochure,Medicine,sh,s,Female,Right,Male,Left,No,Critical_Sh.Brochure.F.R_S.Medicine.M.L.wav,1
4,Official,Tennessee,sh,s,Female,Right,Male,Left,No,Critical_Sh.Official.F.R_S.Tennessee.M.L.wav,1
5,Crucial,Penninsula,sh,s,Female,Right,Male,Left,No,Critical_Sh.Crucial.F.R_S.Penninsula.M.L.wav,1
6,Pediatrician,Hallucinate,sh,s,Female,Right,Male,Left,No,Critical_Sh.Pediatrician.F.R_S.Hallucinate.M.L.wav,1
7,Flourishing,Arkansas,sh,s,Female,Right,Male,Left,No,Critical_Sh.Flourishing.F.R_S.Arkansas.M.L.wav,1
8,Reassure,Compensate,sh,s,Female,Right,Male,Left,No,Critical_Sh.Reassure.F.R_S.Compensate.M.L.wav,1
9,Graduation,Dinosaur,sh,s,Female,Right,Male,Left,No,Critical_Sh.Graduation.F.R_S.Dinosaur.M.L.wav,1
10,Vacation,Rehearsal,sh,s,Female,Right,Male,Left,No,Critical_Sh.Vacation.F.R_S.Rehearsal.M.L.wav,1
11,Pregnancy,Initial,s,sh,Female,Right,Male,Left,No,Critical_S.Pregnancy.F.R_Sh.Initial.M.L.wav,1
12,Democracy,Beneficial,s,sh,Female,Right,Male,Left,No,Critical_S.Democracy.F.R_Sh.Beneficial.M.L.wav,1
13,Embassy,Negotiate,s,sh,Female,Right,Male,Left,No,Critical_S.Embassy.F.R_Sh.Negotiate.M.L.wav,1
14,Legacy,Commercial,s,sh,Female,Right,Male,Left,No,Critical_S.Legacy.F.R_Sh.Commercial.M.L.wav,1
15,Reconcile,Parachute,s,sh,Female,Right,Male,Left,No,Critical_S.Reconcile.F.R_Sh.Parachute.M.L.wav,1
16,Personal,Efficient,s,sh,Female,Right,Male,Left,No,Critical_S.Personal.F.R_Sh.Efficient.M.L.wav,1
17,Eraser,Publisher,s,sh,Female,Right,Male,Left,No,Critical_S.Eraser.F.R_Sh.Publisher.M.L.wav,1
18,Episode,Glacier,s,sh,Female,Right,Male,Left,No,Critical_S.Episode.F.R_Sh.Glacier.M.L.wav,1
19,Literacy,Refreshing,s,sh,Female,Right,Male,Left,No,Critical_S.Literacy.F.R_Sh.Refreshing.M.L.wav,1
20,Coliseum,Impatient,s,sh,Female,Right,Male,Left,No,Critical_S.Coliseum.F.R_Sh.Impatient.M.L.wav,1
