Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Materials,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
1,Ambition,Parasite,Sh,S,A,Unshifted,Female,Left,Male,Right,Critical_03.A_Sh.Ambition.F.L_S.Parasite.M.R.wav,1
1,Ambition,Parasite,Sh,S,A,Unshifted,Female,Right,Male,Left,Critical_03.A_S.Parasite.M.L_Sh.Ambition.F.R.wav,1
2,Machinery,Obscene,Sh,S,A,Unshifted,Female,Left,Male,Right,Critical_03.A_Sh.Machinery.F.L_S.Obscene.M.R.wav,1
2,Machinery,Obscene,Sh,S,A,Unshifted,Female,Right,Male,Left,Critical_03.A_S.Obscene.M.L_Sh.Machinery.F.R.wav,1
3,Brochure,Medicine,Sh,S,A,Unshifted,Female,Left,Male,Right,Critical_03.A_Sh.Brochure.F.L_S.Medicine.M.R.wav,1
3,Brochure,Medicine,Sh,S,A,Unshifted,Female,Right,Male,Left,Critical_03.A_S.Medicine.M.L_Sh.Brochure.F.R.wav,1
4,Official,Tennessee,Sh,S,A,Unshifted,Female,Left,Male,Right,Critical_03.A_Sh.Official.F.L_S.Tennessee.M.R.wav,1
4,Official,Tennessee,Sh,S,A,Unshifted,Female,Right,Male,Left,Critical_03.A_S.Tennessee.M.L_Sh.Official.F.R.wav,1
5,Crucial,Penninsula,Sh,S,A,Unshifted,Female,Left,Male,Right,Critical_03.A_Sh.Crucial.F.L_S.Penninsula.M.R.wav,1
5,Crucial,Penninsula,Sh,S,A,Unshifted,Female,Right,Male,Left,Critical_03.A_S.Penninsula.M.L_Sh.Crucial.F.R.wav,1
6,Pediatrician,Hallucinate,Sh,S,B,Shifted,Female,Left,Male,Right,Critical_03.B_Ash.Pediatrician.F.L_As.Hallucinate.M.R.wav,1
6,Pediatrician,Hallucinate,Sh,S,B,Shifted,Female,Right,Male,Left,Critical_03.B_As.Hallucinate.M.L_Ash.Pediatrician.F.R.wav,1
7,Flourishing,Arkansas,Sh,S,B,Shifted,Female,Left,Male,Right,Critical_03.B_Ash.Flourishing.F.L_As.Arkansas.M.R.wav,1
7,Flourishing,Arkansas,Sh,S,B,Shifted,Female,Right,Male,Left,Critical_03.B_As.Arkansas.M.L_Ash.Flourishing.F.R.wav,1
8,Reassure,Compensate,Sh,S,B,Shifted,Female,Left,Male,Right,Critical_03.B_Ash.Reassure.F.L_As.Compensate.M.R.wav,1
8,Reassure,Compensate,Sh,S,B,Shifted,Female,Right,Male,Left,Critical_03.B_As.Compensate.M.L_Ash.Reassure.F.R.wav,1
9,Graduation,Dinosaur,Sh,S,B,Shifted,Female,Left,Male,Right,Critical_03.B_Ash.Graduation.F.L_As.Dinosaur.M.R.wav,1
9,Graduation,Dinosaur,Sh,S,B,Shifted,Female,Right,Male,Left,Critical_03.B_As.Dinosaur.M.L_Ash.Graduation.F.R.wav,1
10,Vacation,Rehearsal,Sh,S,B,Shifted,Female,Left,Male,Right,Critical_03.B_Ash.Vacation.F.L_As.Rehearsal.M.R.wav,1
10,Vacation,Rehearsal,Sh,S,B,Shifted,Female,Right,Male,Left,Critical_03.B_As.Rehearsal.M.L_Ash.Vacation.F.R.wav,1
