Critical_Item.Num,Talker.A,Talker.B,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,Ambition,Parasite,Male (M),Right (R),Critical_S.Ambit.F.L_S.Paras.M.R
2,Machinery,Obscene,Male (M),Right (R),Critical_S.Machi.F.L_S.Obsce.M.R
3,Brochure,Medicine,Male (M),Right (R),Critical_S.Broch.F.L_S.Medic.M.R
4,Official,Tennessee,Male (M),Right (R),Critical_S.Offic.F.L_S.Tenne.M.R
5,Crucial,Penninsula,Male (M),Right (R),Critical_S.Cruci.F.L_S.Penni.M.R
6,Pediatrician,Hallucinate,Male (M),Right (R),Critical_S.Pedia.F.L_S.Hallu.M.R
7,Flourishing,Arkansas,Male (M),Right (R),Critical_S.Flour.F.L_S.Arkan.M.R
8,Reassure,Compensate,Male (M),Right (R),Critical_S.Reass.F.L_S.Compe.M.R
9,Graduation,Dinosaur,Male (M),Right (R),Critical_S.Gradu.F.L_S.Dinos.M.R
10,Vacation,Rehearsal,Male (M),Right (R),Critical_S.Vacat.F.L_S.Rehea.M.R
11,Pregnancy,Initial,Male (M),Right (R),Critical_S.Pregn.F.L_S.Initi.M.R
12,Democracy,Beneficial,Male (M),Right (R),Critical_S.Democ.F.L_S.Benef.M.R
13,Embassy,Negotiate,Male (M),Right (R),Critical_S.Embas.F.L_S.Negot.M.R
14,Legacy,Commercial,Male (M),Right (R),Critical_S.Legac.F.L_S.Comme.M.R
15,Reconcile,Parachute,Male (M),Right (R),Critical_S.Recon.F.L_S.Parac.M.R
16,Personal,Efficient,Male (M),Right (R),Critical_S.Perso.F.L_S.Effic.M.R
17,Eraser,Publisher,Male (M),Right (R),Critical_S.Erase.F.L_S.Publi.M.R
18,Episode,Glacier,Male (M),Right (R),Critical_S.Episo.F.L_S.Glaci.M.R
19,Literacy,Refreshing,Male (M),Right (R),Critical_S.Liter.F.L_S.Refre.M.R
20,Coliseum,Impatient,Male (M),Right (R),Critical_S.Colis.F.L_S.Impat.M.R
