Critical_Item.Num,Talker.A,Talker.B,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,Ambition,Parasite,Male (M),Left (L),Critical_S.Ambit.F.R_S.Paras.M.L
2,Machinery,Obscene,Male (M),Left (L),Critical_S.Machi.F.R_S.Obsce.M.L
3,Brochure,Medicine,Male (M),Left (L),Critical_S.Broch.F.R_S.Medic.M.L
4,Official,Tennessee,Male (M),Left (L),Critical_S.Offic.F.R_S.Tenne.M.L
5,Crucial,Penninsula,Male (M),Left (L),Critical_S.Cruci.F.R_S.Penni.M.L
6,Pediatrician,Hallucinate,Male (M),Left (L),Critical_S.Pedia.F.R_S.Hallu.M.L
7,Flourishing,Arkansas,Male (M),Left (L),Critical_S.Flour.F.R_S.Arkan.M.L
8,Reassure,Compensate,Male (M),Left (L),Critical_S.Reass.F.R_S.Compe.M.L
9,Graduation,Dinosaur,Male (M),Left (L),Critical_S.Gradu.F.R_S.Dinos.M.L
10,Vacation,Rehearsal,Male (M),Left (L),Critical_S.Vacat.F.R_S.Rehea.M.L
11,Pregnancy,Initial,Male (M),Left (L),Critical_S.Pregn.F.R_S.Initi.M.L
12,Democracy,Beneficial,Male (M),Left (L),Critical_S.Democ.F.R_S.Benef.M.L
13,Embassy,Negotiate,Male (M),Left (L),Critical_S.Embas.F.R_S.Negot.M.L
14,Legacy,Commercial,Male (M),Left (L),Critical_S.Legac.F.R_S.Comme.M.L
15,Reconcile,Parachute,Male (M),Left (L),Critical_S.Recon.F.R_S.Parac.M.L
16,Personal,Efficient,Male (M),Left (L),Critical_S.Perso.F.R_S.Effic.M.L
17,Eraser,Publisher,Male (M),Left (L),Critical_S.Erase.F.R_S.Publi.M.L
18,Episode,Glacier,Male (M),Left (L),Critical_S.Episo.F.R_S.Glaci.M.L
19,Literacy,Refreshing,Male (M),Left (L),Critical_S.Liter.F.R_S.Refre.M.L
20,Coliseum,Impatient,Male (M),Left (L),Critical_S.Colis.F.R_S.Impat.M.L
