Critical_Item.Num,Talker.A,Talker.B,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,Ambition,Parasite,Female (F),Right (R),Critical_S.Ambit.M.L_S.Paras.F.R
2,Machinery,Obscene,Female (F),Right (R),Critical_S.Machi.M.L_S.Obsce.F.R
3,Brochure,Medicine,Female (F),Right (R),Critical_S.Broch.M.L_S.Medic.F.R
4,Official,Tennessee,Female (F),Right (R),Critical_S.Offic.M.L_S.Tenne.F.R
5,Crucial,Penninsula,Female (F),Right (R),Critical_S.Cruci.M.L_S.Penni.F.R
6,Pediatrician,Hallucinate,Female (F),Right (R),Critical_S.Pedia.M.L_S.Hallu.F.R
7,Flourishing,Arkansas,Female (F),Right (R),Critical_S.Flour.M.L_S.Arkan.F.R
8,Reassure,Compensate,Female (F),Right (R),Critical_S.Reass.M.L_S.Compe.F.R
9,Graduation,Dinosaur,Female (F),Right (R),Critical_S.Gradu.M.L_S.Dinos.F.R
10,Vacation,Rehearsal,Female (F),Right (R),Critical_S.Vacat.M.L_S.Rehea.F.R
11,Pregnancy,Initial,Female (F),Right (R),Critical_S.Pregn.M.L_S.Initi.F.R
12,Democracy,Beneficial,Female (F),Right (R),Critical_S.Democ.M.L_S.Benef.F.R
13,Embassy,Negotiate,Female (F),Right (R),Critical_S.Embas.M.L_S.Negot.F.R
14,Legacy,Commercial,Female (F),Right (R),Critical_S.Legac.M.L_S.Comme.F.R
15,Reconcile,Parachute,Female (F),Right (R),Critical_S.Recon.M.L_S.Parac.F.R
16,Personal,Efficient,Female (F),Right (R),Critical_S.Perso.M.L_S.Effic.F.R
17,Eraser,Publisher,Female (F),Right (R),Critical_S.Erase.M.L_S.Publi.F.R
18,Episode,Glacier,Female (F),Right (R),Critical_S.Episo.M.L_S.Glaci.F.R
19,Literacy,Refreshing,Female (F),Right (R),Critical_S.Liter.M.L_S.Refre.F.R
20,Coliseum,Impatient,Female (F),Right (R),Critical_S.Colis.M.L_S.Impat.F.R
