Critical_Item.Num,Talker.A,Talker.B,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,Ambition,Parasite,Female (F),Left (L),Critical_S.Ambit.M.R_S.Paras.F.L
2,Machinery,Obscene,Female (F),Left (L),Critical_S.Machi.M.R_S.Obsce.F.L
3,Brochure,Medicine,Female (F),Left (L),Critical_S.Broch.M.R_S.Medic.F.L
4,Official,Tennessee,Female (F),Left (L),Critical_S.Offic.M.R_S.Tenne.F.L
5,Crucial,Penninsula,Female (F),Left (L),Critical_S.Cruci.M.R_S.Penni.F.L
6,Pediatrician,Hallucinate,Female (F),Left (L),Critical_S.Pedia.M.R_S.Hallu.F.L
7,Flourishing,Arkansas,Female (F),Left (L),Critical_S.Flour.M.R_S.Arkan.F.L
8,Reassure,Compensate,Female (F),Left (L),Critical_S.Reass.M.R_S.Compe.F.L
9,Graduation,Dinosaur,Female (F),Left (L),Critical_S.Gradu.M.R_S.Dinos.F.L
10,Vacation,Rehearsal,Female (F),Left (L),Critical_S.Vacat.M.R_S.Rehea.F.L
11,Pregnancy,Initial,Female (F),Left (L),Critical_S.Pregn.M.R_S.Initi.F.L
12,Democracy,Beneficial,Female (F),Left (L),Critical_S.Democ.M.R_S.Benef.F.L
13,Embassy,Negotiate,Female (F),Left (L),Critical_S.Embas.M.R_S.Negot.F.L
14,Legacy,Commercial,Female (F),Left (L),Critical_S.Legac.M.R_S.Comme.F.L
15,Reconcile,Parachute,Female (F),Left (L),Critical_S.Recon.M.R_S.Parac.F.L
16,Personal,Efficient,Female (F),Left (L),Critical_S.Perso.M.R_S.Effic.F.L
17,Eraser,Publisher,Female (F),Left (L),Critical_S.Erase.M.R_S.Publi.F.L
18,Episode,Glacier,Female (F),Left (L),Critical_S.Episo.M.R_S.Glaci.F.L
19,Literacy,Refreshing,Female (F),Left (L),Critical_S.Liter.M.R_S.Refre.F.L
20,Coliseum,Impatient,Female (F),Left (L),Critical_S.Colis.M.R_S.Impat.F.L
