Critical_Item.Num,Talker.A,Talker.B,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,Ambition,Parasite,Male (M),Right (R),Critical_U.Ambit.F.L_U.Paras.M.R
2,Machinery,Obscene,Male (M),Right (R),Critical_U.Machi.F.L_U.Obsce.M.R
3,Brochure,Medicine,Male (M),Right (R),Critical_U.Broch.F.L_U.Medic.M.R
4,Official,Tennessee,Male (M),Right (R),Critical_U.Offic.F.L_U.Tenne.M.R
5,Crucial,Penninsula,Male (M),Right (R),Critical_U.Cruci.F.L_U.Penni.M.R
6,Pediatrician,Hallucinate,Male (M),Right (R),Critical_U.Pedia.F.L_U.Hallu.M.R
7,Flourishing,Arkansas,Male (M),Right (R),Critical_U.Flour.F.L_U.Arkan.M.R
8,Reassure,Compensate,Male (M),Right (R),Critical_U.Reass.F.L_U.Compe.M.R
9,Graduation,Dinosaur,Male (M),Right (R),Critical_U.Gradu.F.L_U.Dinos.M.R
10,Vacation,Rehearsal,Male (M),Right (R),Critical_U.Vacat.F.L_U.Rehea.M.R
11,Pregnancy,Initial,Male (M),Right (R),Critical_U.Pregn.F.L_U.Initi.M.R
12,Democracy,Beneficial,Male (M),Right (R),Critical_U.Democ.F.L_U.Benef.M.R
13,Embassy,Negotiate,Male (M),Right (R),Critical_U.Embas.F.L_U.Negot.M.R
14,Legacy,Commercial,Male (M),Right (R),Critical_U.Legac.F.L_U.Comme.M.R
15,Reconcile,Parachute,Male (M),Right (R),Critical_U.Recon.F.L_U.Parac.M.R
16,Personal,Efficient,Male (M),Right (R),Critical_U.Perso.F.L_U.Effic.M.R
17,Eraser,Publisher,Male (M),Right (R),Critical_U.Erase.F.L_U.Publi.M.R
18,Episode,Glacier,Male (M),Right (R),Critical_U.Episo.F.L_U.Glaci.M.R
19,Literacy,Refreshing,Male (M),Right (R),Critical_U.Liter.F.L_U.Refre.M.R
20,Coliseum,Impatient,Male (M),Right (R),Critical_U.Colis.F.L_U.Impat.M.R
