Critical_Item.Num,Talker.A,Talker.B,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,Ambition,Parasite,Male (M),Left (L),Critical_U.Ambit.F.R_U.Paras.M.L
2,Machinery,Obscene,Male (M),Left (L),Critical_U.Machi.F.R_U.Obsce.M.L
3,Brochure,Medicine,Male (M),Left (L),Critical_U.Broch.F.R_U.Medic.M.L
4,Official,Tennessee,Male (M),Left (L),Critical_U.Offic.F.R_U.Tenne.M.L
5,Crucial,Penninsula,Male (M),Left (L),Critical_U.Cruci.F.R_U.Penni.M.L
6,Pediatrician,Hallucinate,Male (M),Left (L),Critical_U.Pedia.F.R_U.Hallu.M.L
7,Flourishing,Arkansas,Male (M),Left (L),Critical_U.Flour.F.R_U.Arkan.M.L
8,Reassure,Compensate,Male (M),Left (L),Critical_U.Reass.F.R_U.Compe.M.L
9,Graduation,Dinosaur,Male (M),Left (L),Critical_U.Gradu.F.R_U.Dinos.M.L
10,Vacation,Rehearsal,Male (M),Left (L),Critical_U.Vacat.F.R_U.Rehea.M.L
11,Pregnancy,Initial,Male (M),Left (L),Critical_U.Pregn.F.R_U.Initi.M.L
12,Democracy,Beneficial,Male (M),Left (L),Critical_U.Democ.F.R_U.Benef.M.L
13,Embassy,Negotiate,Male (M),Left (L),Critical_U.Embas.F.R_U.Negot.M.L
14,Legacy,Commercial,Male (M),Left (L),Critical_U.Legac.F.R_U.Comme.M.L
15,Reconcile,Parachute,Male (M),Left (L),Critical_U.Recon.F.R_U.Parac.M.L
16,Personal,Efficient,Male (M),Left (L),Critical_U.Perso.F.R_U.Effic.M.L
17,Eraser,Publisher,Male (M),Left (L),Critical_U.Erase.F.R_U.Publi.M.L
18,Episode,Glacier,Male (M),Left (L),Critical_U.Episo.F.R_U.Glaci.M.L
19,Literacy,Refreshing,Male (M),Left (L),Critical_U.Liter.F.R_U.Refre.M.L
20,Coliseum,Impatient,Male (M),Left (L),Critical_U.Colis.F.R_U.Impat.M.L
