Critical_Item.Num,Talker.A,Talker.B,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,Ambition,Parasite,Female (F),Right (R),Critical_U.Ambit.M.L_U.Paras.F.R
2,Machinery,Obscene,Female (F),Right (R),Critical_U.Machi.M.L_U.Obsce.F.R
3,Brochure,Medicine,Female (F),Right (R),Critical_U.Broch.M.L_U.Medic.F.R
4,Official,Tennessee,Female (F),Right (R),Critical_U.Offic.M.L_U.Tenne.F.R
5,Crucial,Penninsula,Female (F),Right (R),Critical_U.Cruci.M.L_U.Penni.F.R
6,Pediatrician,Hallucinate,Female (F),Right (R),Critical_U.Pedia.M.L_U.Hallu.F.R
7,Flourishing,Arkansas,Female (F),Right (R),Critical_U.Flour.M.L_U.Arkan.F.R
8,Reassure,Compensate,Female (F),Right (R),Critical_U.Reass.M.L_U.Compe.F.R
9,Graduation,Dinosaur,Female (F),Right (R),Critical_U.Gradu.M.L_U.Dinos.F.R
10,Vacation,Rehearsal,Female (F),Right (R),Critical_U.Vacat.M.L_U.Rehea.F.R
11,Pregnancy,Initial,Female (F),Right (R),Critical_U.Pregn.M.L_U.Initi.F.R
12,Democracy,Beneficial,Female (F),Right (R),Critical_U.Democ.M.L_U.Benef.F.R
13,Embassy,Negotiate,Female (F),Right (R),Critical_U.Embas.M.L_U.Negot.F.R
14,Legacy,Commercial,Female (F),Right (R),Critical_U.Legac.M.L_U.Comme.F.R
15,Reconcile,Parachute,Female (F),Right (R),Critical_U.Recon.M.L_U.Parac.F.R
16,Personal,Efficient,Female (F),Right (R),Critical_U.Perso.M.L_U.Effic.F.R
17,Eraser,Publisher,Female (F),Right (R),Critical_U.Erase.M.L_U.Publi.F.R
18,Episode,Glacier,Female (F),Right (R),Critical_U.Episo.M.L_U.Glaci.F.R
19,Literacy,Refreshing,Female (F),Right (R),Critical_U.Liter.M.L_U.Refre.F.R
20,Coliseum,Impatient,Female (F),Right (R),Critical_U.Colis.M.L_U.Impat.F.R
