Critical_Item.Num,Talker.A,Talker.B,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,Ambition,Parasite,Female (F),Left (L),Critical_U.Ambit.M.R_U.Paras.F.L
2,Machinery,Obscene,Female (F),Left (L),Critical_U.Machi.M.R_U.Obsce.F.L
3,Brochure,Medicine,Female (F),Left (L),Critical_U.Broch.M.R_U.Medic.F.L
4,Official,Tennessee,Female (F),Left (L),Critical_U.Offic.M.R_U.Tenne.F.L
5,Crucial,Penninsula,Female (F),Left (L),Critical_U.Cruci.M.R_U.Penni.F.L
6,Pediatrician,Hallucinate,Female (F),Left (L),Critical_U.Pedia.M.R_U.Hallu.F.L
7,Flourishing,Arkansas,Female (F),Left (L),Critical_U.Flour.M.R_U.Arkan.F.L
8,Reassure,Compensate,Female (F),Left (L),Critical_U.Reass.M.R_U.Compe.F.L
9,Graduation,Dinosaur,Female (F),Left (L),Critical_U.Gradu.M.R_U.Dinos.F.L
10,Vacation,Rehearsal,Female (F),Left (L),Critical_U.Vacat.M.R_U.Rehea.F.L
11,Pregnancy,Initial,Female (F),Left (L),Critical_U.Pregn.M.R_U.Initi.F.L
12,Democracy,Beneficial,Female (F),Left (L),Critical_U.Democ.M.R_U.Benef.F.L
13,Embassy,Negotiate,Female (F),Left (L),Critical_U.Embas.M.R_U.Negot.F.L
14,Legacy,Commercial,Female (F),Left (L),Critical_U.Legac.M.R_U.Comme.F.L
15,Reconcile,Parachute,Female (F),Left (L),Critical_U.Recon.M.R_U.Parac.F.L
16,Personal,Efficient,Female (F),Left (L),Critical_U.Perso.M.R_U.Effic.F.L
17,Eraser,Publisher,Female (F),Left (L),Critical_U.Erase.M.R_U.Publi.F.L
18,Episode,Glacier,Female (F),Left (L),Critical_U.Episo.M.R_U.Glaci.F.L
19,Literacy,Refreshing,Female (F),Left (L),Critical_U.Liter.M.R_U.Refre.F.L
20,Coliseum,Impatient,Female (F),Left (L),Critical_U.Colis.M.R_U.Impat.F.L
