Set,Filler.Item_Num,Talker.A_Word,Talker.B_Nonword,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Set.Version,rep,filename
A,1,America,Wominid,Female,Right,Male,Left,3,1,Filler_W.America.F.R_N.Wominid.M.L
A,2,Blueberry,Ungelnin,Female,Right,Male,Left,3,1,Filler_W.Blueberry.F.R_N.Ungelnin.M.L
A,3,Camera,Tilegkalo,Female,Right,Male,Left,3,1,Filler_W.Camera.F.R_N.Tilegkalo.M.L
A,4,Directory,Rimkeluwar,Female,Right,Male,Left,3,1,Filler_W.Directory.F.R_N.Rimkeluwar.M.L
A,5,Dynamic,Rakil,Female,Right,Male,Left,3,1,Filler_W.Dynamic.F.R_N.Rakil.M.L
A,6,Gardenia,Perkum,Female,Right,Male,Left,3,1,Filler_W.Gardenia.F.R_N.Perkum.M.L
A,7,Hamburger,Nomerae,Female,Right,Male,Left,3,1,Filler_W.Hamburger.F.R_N.Nomerae.M.L
A,8,Hurdle,Namuary,Female,Right,Male,Left,3,1,Filler_W.Hurdle.F.R_N.Namuary.M.L
A,9,Inhabit,Logelai,Female,Right,Male,Left,3,1,Filler_W.Inhabit.F.R_N.Logelai.M.L
A,10,Keyboard,Lenediaw,Female,Right,Male,Left,3,1,Filler_W.Keyboard.F.R_N.Lenediaw.M.L
A,11,Lengthen,Kelabidel,Female,Right,Male,Left,3,1,Filler_W.Lengthen.F.R_N.Kelabidel.M.L
A,12,Lingering,Inpaki,Female,Right,Male,Left,3,1,Filler_W.Lingering.F.R_N.Inpaki.M.L
A,13,Melancholy,Hintarber,Female,Right,Male,Left,3,1,Filler_W.Melancholy.F.R_N.Hintarber.M.L
A,14,Napkin,Gardimuallay,Female,Right,Male,Left,3,1,Filler_W.Napkin.F.R_N.Gardimuallay.M.L
A,15,Ornament,Gairelom,Female,Right,Male,Left,3,1,Filler_W.Ornament.F.R_N.Gairelom.M.L
A,16,Pineapple,Bikanian,Female,Right,Male,Left,3,1,Filler_W.Pineapple.F.R_N.Bikanian.M.L
A,17,Purgatory,Baliber,Female,Right,Male,Left,3,1,Filler_W.Purgatory.F.R_N.Baliber.M.L
A,18,Therapeutic,Amalar,Female,Right,Male,Left,3,1,Filler_W.Therapeutic.F.R_N.Amalar.M.L
A,19,Tutorial,Ailounam,Female,Right,Male,Left,3,1,Filler_W.Tutorial.F.R_N.Ailounam.M.L
A,20,Wealthy,Acomining,Female,Right,Male,Left,3,1,Filler_W.Wealthy.F.R_N.Acomining.M.L
B,1,Bakery,Wojalto,Male,Left,Female,Right,4,1,Filler_W.Bakery.M.L_N.Wojalto.F.R
B,2,Bullying,Tounamplem,Male,Left,Female,Right,4,1,Filler_W.Bullying.M.L_N.Tounamplem.F.R
B,3,Continuum,Ryligal,Male,Left,Female,Right,4,1,Filler_W.Continuum.M.L_N.Ryligal.F.R
B,4,Document,Rawamtee,Male,Left,Female,Right,4,1,Filler_W.Document.M.L_N.Rawamtee.F.R
B,5,Eighty,Ploupelai,Male,Left,Female,Right,4,1,Filler_W.Eighty.M.L_N.Ploupelai.F.R
