Set,Filler.Item_Num,Talker.A_Word,Talker.B_Nonword,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Set.Version,filename
A,1,America,Wominid,Male,Right,Female,Left,1,Filler_W.America.M.R_N.Wominid.F.L
A,2,Blueberry,Ungelnin,Male,Right,Female,Left,1,Filler_W.Blueberry.M.R_N.Ungelnin.F.L
A,3,Camera,Tilegkalo,Male,Right,Female,Left,1,Filler_W.Camera.M.R_N.Tilegkalo.F.L
A,4,Directory,Rimkeluwar,Male,Right,Female,Left,1,Filler_W.Directory.M.R_N.Rimkeluwar.F.L
A,5,Dynamic,Rakil,Male,Right,Female,Left,1,Filler_W.Dynamic.M.R_N.Rakil.F.L
A,6,Gardenia,Perkum,Male,Right,Female,Left,1,Filler_W.Gardenia.M.R_N.Perkum.F.L
A,7,Hamburger,Nomerae,Male,Right,Female,Left,1,Filler_W.Hamburger.M.R_N.Nomerae.F.L
A,8,Hurdle,Namuary,Male,Right,Female,Left,1,Filler_W.Hurdle.M.R_N.Namuary.F.L
A,9,Inhabit,Logelai,Male,Right,Female,Left,1,Filler_W.Inhabit.M.R_N.Logelai.F.L
A,10,Keyboard,Lenediaw,Male,Right,Female,Left,1,Filler_W.Keyboard.M.R_N.Lenediaw.F.L
A,11,Lengthen,Kelabidel,Male,Right,Female,Left,1,Filler_W.Lengthen.M.R_N.Kelabidel.F.L
A,12,Lingering,Inpaki,Male,Right,Female,Left,1,Filler_W.Lingering.M.R_N.Inpaki.F.L
A,13,Melancholy,Hintarber,Male,Right,Female,Left,1,Filler_W.Melancholy.M.R_N.Hintarber.F.L
A,14,Napkin,Gardimuallay,Male,Right,Female,Left,1,Filler_W.Napkin.M.R_N.Gardimuallay.F.L
A,15,Ornament,Gairelom,Male,Right,Female,Left,1,Filler_W.Ornament.M.R_N.Gairelom.F.L
A,16,Pineapple,Bikanian,Male,Right,Female,Left,1,Filler_W.Pineapple.M.R_N.Bikanian.F.L
A,17,Purgatory,Baliber,Male,Right,Female,Left,1,Filler_W.Purgatory.M.R_N.Baliber.F.L
A,18,Therapeutic,Amalar,Male,Right,Female,Left,1,Filler_W.Therapeutic.M.R_N.Amalar.F.L
A,19,Tutorial,Ailounam,Male,Right,Female,Left,1,Filler_W.Tutorial.M.R_N.Ailounam.F.L
