Set,Filler.Item_Num,Talker.A_Word,Talker.B_Nonword,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Set.Version,rep,filename
A,1,America,Wominid,Female,Left,Male,Right,2,1,Filler_A.02_W.America.F.L_N.Wominid.M.R.wav
A,2,Blueberry,Ungelnin,Female,Left,Male,Right,2,1,Filler_A.02_W.Blueberry.F.L_N.Ungelnin.M.R.wav
A,3,Camera,Tilegkalo,Female,Left,Male,Right,2,1,Filler_A.02_W.Camera.F.L_N.Tilegkalo.M.R.wav
A,4,Directory,Rimkeluwar,Female,Left,Male,Right,2,1,Filler_A.02_W.Directory.F.L_N.Rimkeluwar.M.R.wav
A,5,Dynamite,Rakil,Female,Left,Male,Right,2,1,Filler_A.02_W.Dynamite.F.L_N.Rakil.M.R.wav
A,6,Gardenia,Perkum,Female,Left,Male,Right,2,1,Filler_A.02_W.Gardenia.F.L_N.Perkum.M.R.wav
A,7,Hamburger,Nomerae,Female,Left,Male,Right,2,1,Filler_A.02_W.Hamburger.F.L_N.Nomerae.M.R.wav
A,8,Hurdle,Namuary,Female,Left,Male,Right,2,1,Filler_A.02_W.Hurdle.F.L_N.Namuary.M.R.wav
A,9,Inhabit,Logelai,Female,Left,Male,Right,2,1,Filler_A.02_W.Inhabit.F.L_N.Logelai.M.R.wav
A,10,Keyboard,Lenediaw,Female,Left,Male,Right,2,1,Filler_A.02_W.Keyboard.F.L_N.Lenediaw.M.R.wav
A,11,Lengthen,Kelabidel,Female,Left,Male,Right,2,1,Filler_A.02_W.Lengthen.F.L_N.Kelabidel.M.R.wav
A,12,Lingering,Inpaki,Female,Left,Male,Right,2,1,Filler_A.02_W.Lingering.F.L_N.Inpaki.M.R.wav
A,13,Melancholy,Hintarber,Female,Left,Male,Right,2,1,Filler_A.02_W.Melancholy.F.L_N.Hintarber.M.R.wav
A,14,Napkin,Gardimuallay,Female,Left,Male,Right,2,1,Filler_A.02_W.Napkin.F.L_N.Gardimuallay.M.R.wav
A,15,Ornament,Gairelom,Female,Left,Male,Right,2,1,Filler_A.02_W.Ornament.F.L_N.Gairelom.M.R.wav
A,16,Pineapple,Bikanian,Female,Left,Male,Right,2,1,Filler_A.02_W.Pineapple.F.L_N.Bikanian.M.R.wav
A,17,Purgatory,Baliber,Female,Left,Male,Right,2,1,Filler_A.02_W.Purgatory.F.L_N.Baliber.M.R.wav
A,18,Therapeutic,Amalar,Female,Left,Male,Right,2,1,Filler_A.02_W.Therapeutic.F.L_N.Amalar.M.R.wav
A,19,Tutorial,Ailounam,Female,Left,Male,Right,2,1,Filler_A.02_W.Tutorial.F.L_N.Ailounam.M.R.wav
A,20,Wealthy,Acomining,Female,Left,Male,Right,2,1,Filler_A.02_W.Wealthy.F.L_N.Acomining.M.R.wav
B,1,Bakery,Wojalto,Male,Right,Female,Left,1,1,Filler_B.01_W.Bakery.M.R_N.Wojalto.F.L.wav
B,2,Bullying,Tounamplem,Male,Right,Female,Left,1,1,Filler_B.01_W.Bullying.M.R_N.Tounamplem.F.L.wav
B,3,Continually,Ryligal,Male,Right,Female,Left,1,1,Filler_B.01_W.Continually.M.R_N.Ryligal.F.L.wav
B,4,Document,Rawamtee,Male,Right,Female,Left,1,1,Filler_B.01_W.Document.M.R_N.Rawamtee.F.L.wav
B,5,Eighty,Ploupelai,Male,Right,Female,Left,1,1,Filler_B.01_W.Eighty.M.R_N.Ploupelai.F.L.wav
