Set,Filler.Item_Num,Talker.A_Word,Talker.B_Nonword,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Set.Version,rep,filename
A,1,America,Wominid,Male,Left,Female,Right,4,1,Filler_W.America.M.L_N.Wominid.F.R
A,2,Blueberry,Ungelnin,Male,Left,Female,Right,4,1,Filler_W.Blueberry.M.L_N.Ungelnin.F.R
A,3,Camera,Tilegkalo,Male,Left,Female,Right,4,1,Filler_W.Camera.M.L_N.Tilegkalo.F.R
A,4,Directory,Rimkeluwar,Male,Left,Female,Right,4,1,Filler_W.Directory.M.L_N.Rimkeluwar.F.R
A,5,Dynamic,Rakil,Male,Left,Female,Right,4,1,Filler_W.Dynamic.M.L_N.Rakil.F.R
A,6,Gardenia,Perkum,Male,Left,Female,Right,4,1,Filler_W.Gardenia.M.L_N.Perkum.F.R
A,7,Hamburger,Nomerae,Male,Left,Female,Right,4,1,Filler_W.Hamburger.M.L_N.Nomerae.F.R
A,8,Hurdle,Namuary,Male,Left,Female,Right,4,1,Filler_W.Hurdle.M.L_N.Namuary.F.R
A,9,Inhabit,Logelai,Male,Left,Female,Right,4,1,Filler_W.Inhabit.M.L_N.Logelai.F.R
A,10,Keyboard,Lenediaw,Male,Left,Female,Right,4,1,Filler_W.Keyboard.M.L_N.Lenediaw.F.R
A,11,Lengthen,Kelabidel,Male,Left,Female,Right,4,1,Filler_W.Lengthen.M.L_N.Kelabidel.F.R
A,12,Lingering,Inpaki,Male,Left,Female,Right,4,1,Filler_W.Lingering.M.L_N.Inpaki.F.R
A,13,Melancholy,Hintarber,Male,Left,Female,Right,4,1,Filler_W.Melancholy.M.L_N.Hintarber.F.R
A,14,Napkin,Gardimuallay,Male,Left,Female,Right,4,1,Filler_W.Napkin.M.L_N.Gardimuallay.F.R
A,15,Ornament,Gairelom,Male,Left,Female,Right,4,1,Filler_W.Ornament.M.L_N.Gairelom.F.R
A,16,Pineapple,Bikanian,Male,Left,Female,Right,4,1,Filler_W.Pineapple.M.L_N.Bikanian.F.R
A,17,Purgatory,Baliber,Male,Left,Female,Right,4,1,Filler_W.Purgatory.M.L_N.Baliber.F.R
A,18,Therapeutic,Amalar,Male,Left,Female,Right,4,1,Filler_W.Therapeutic.M.L_N.Amalar.F.R
A,19,Tutorial,Ailounam,Male,Left,Female,Right,4,1,Filler_W.Tutorial.M.L_N.Ailounam.F.R
A,20,Wealthy,Acomining,Male,Left,Female,Right,4,1,Filler_W.Wealthy.M.L_N.Acomining.F.R
B,1,Bakery,Wojalto,Female,Right,Male,Left,3,1,Filler_W.Bakery.F.R_N.Wojalto.M.L
B,2,Bullying,Tounamplem,Female,Right,Male,Left,3,1,Filler_W.Bullying.F.R_N.Tounamplem.M.L
B,3,Continuum,Ryligal,Female,Right,Male,Left,3,1,Filler_W.Continuum.F.R_N.Ryligal.M.L
B,4,Document,Rawamtee,Female,Right,Male,Left,3,1,Filler_W.Document.F.R_N.Rawamtee.M.L
B,5,Eighty,Ploupelai,Female,Right,Male,Left,3,1,Filler_W.Eighty.F.R_N.Ploupelai.M.L
B,6,Grammatical,Omperoge,Female,Right,Male,Left,3,1,Filler_W.Grammatical.F.R_N.Omperoge.M.L
B,7,Identical,Nempring,Female,Right,Male,Left,3,1,Filler_W.Identical.F.R_N.Nempring.M.L
B,8,Interior,Mibgem,Female,Right,Male,Left,3,1,Filler_W.Interior.F.R_N.Mibgem.M.L
B,9,Knowiingly,Meidnow,Female,Right,Male,Left,3,1,Filler_W.Knowiingly.F.R_N.Meidnow.M.L
B,10,Lethal,Kermimer,Female,Right,Male,Left,3,1,Filler_W.Lethal.F.R_N.Kermimer.M.L
B,11,Lobbying,Itempider,Female,Right,Male,Left,3,1,Filler_W.Lobbying.F.R_N.Itempider.M.L
B,12,Membrane,Aknid,Female,Right,Male,Left,3,1,Filler_W.Membrane.F.R_N.Aknid.M.L
B,13,Negative,Ibirak,Female,Right,Male,Left,3,1,Filler_W.Negative.F.R_N.Ibirak.M.L
B,14,Outnumber,Halken,Female,Right,Male,Left,3,1,Filler_W.Outnumber.F.R_N.Halken.M.L
B,15,Parakeet,Ganla,Female,Right,Male,Left,3,1,Filler_W.Parakeet.F.R_N.Ganla.M.L
B,16,Platonic,Dadigal,Female,Right,Male,Left,3,1,Filler_W.Platonic.F.R_N.Dadigal.M.L
B,17,Tactical,Bamtell,Female,Right,Male,Left,3,1,Filler_W.Tactical.F.R_N.Bamtell.M.L
