Filler_Item.Num,Talker.A_Word,Talker.B_Nonword,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,ameri,womin,Male (M),Right (R),Filler_W.ameri.F.L_N.womin.M.R
2,blueb,ungel,Male (M),Right (R),Filler_W.blueb.F.L_N.ungel.M.R
3,camer,tileg,Male (M),Right (R),Filler_W.camer.F.L_N.tileg.M.R
4,direc,rimke,Male (M),Right (R),Filler_W.direc.F.L_N.rimke.M.R
5,dynam,rakil,Male (M),Right (R),Filler_W.dynam.F.L_N.rakil.M.R
6,garde,perku,Male (M),Right (R),Filler_W.garde.F.L_N.perku.M.R
7,hambu,nomer,Male (M),Right (R),Filler_W.hambu.F.L_N.nomer.M.R
8,hurdl,namue,Male (M),Right (R),Filler_W.hurdl.F.L_N.namue.M.R
9,inhab,logel,Male (M),Right (R),Filler_W.inhab.F.L_N.logel.M.R
10,keybo,lened,Male (M),Right (R),Filler_W.keybo.F.L_N.lened.M.R
11,lengt,kelab,Male (M),Right (R),Filler_W.lengt.F.L_N.kelab.M.R
12,linge,inpak,Male (M),Right (R),Filler_W.linge.F.L_N.inpak.M.R
13,melan,hinta,Male (M),Right (R),Filler_W.melan.F.L_N.hinta.M.R
14,napki,gondi,Male (M),Right (R),Filler_W.napki.F.L_N.gondi.M.R
15,ornam,gaire,Male (M),Right (R),Filler_W.ornam.F.L_N.gaire.M.R
16,pinea,bikan,Male (M),Right (R),Filler_W.pinea.F.L_N.bikan.M.R
17,purga,balib,Male (M),Right (R),Filler_W.purga.F.L_N.balib.M.R
18,thera,amala,Male (M),Right (R),Filler_W.thera.F.L_N.amala.M.R
19,tutor,ailou,Male (M),Right (R),Filler_W.tutor.F.L_N.ailou.M.R
20,wealt,acomi,Male (M),Right (R),Filler_W.wealt.F.L_N.acomi.M.R
