Filler_Item.Num,Talker.A_Word,Talker.B_Nonword,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,ameri,womin,Male (M),Left (L),Filler_W.ameri.F.R_N.womin.M.L
2,blueb,ungel,Male (M),Left (L),Filler_W.blueb.F.R_N.ungel.M.L
3,camer,tileg,Male (M),Left (L),Filler_W.camer.F.R_N.tileg.M.L
4,direc,rimke,Male (M),Left (L),Filler_W.direc.F.R_N.rimke.M.L
5,dynam,rakil,Male (M),Left (L),Filler_W.dynam.F.R_N.rakil.M.L
6,garde,perku,Male (M),Left (L),Filler_W.garde.F.R_N.perku.M.L
7,hambu,nomer,Male (M),Left (L),Filler_W.hambu.F.R_N.nomer.M.L
8,hurdl,namue,Male (M),Left (L),Filler_W.hurdl.F.R_N.namue.M.L
9,inhab,logel,Male (M),Left (L),Filler_W.inhab.F.R_N.logel.M.L
10,keybo,lened,Male (M),Left (L),Filler_W.keybo.F.R_N.lened.M.L
11,lengt,kelab,Male (M),Left (L),Filler_W.lengt.F.R_N.kelab.M.L
12,linge,inpak,Male (M),Left (L),Filler_W.linge.F.R_N.inpak.M.L
13,melan,hinta,Male (M),Left (L),Filler_W.melan.F.R_N.hinta.M.L
14,napki,gondi,Male (M),Left (L),Filler_W.napki.F.R_N.gondi.M.L
15,ornam,gaire,Male (M),Left (L),Filler_W.ornam.F.R_N.gaire.M.L
16,pinea,bikan,Male (M),Left (L),Filler_W.pinea.F.R_N.bikan.M.L
17,purga,balib,Male (M),Left (L),Filler_W.purga.F.R_N.balib.M.L
18,thera,amala,Male (M),Left (L),Filler_W.thera.F.R_N.amala.M.L
19,tutor,ailou,Male (M),Left (L),Filler_W.tutor.F.R_N.ailou.M.L
20,wealt,acomi,Male (M),Left (L),Filler_W.wealt.F.R_N.acomi.M.L
