Filler_Item.Num,Talker.A_Word,Talker.B_Nonword,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,ameri,womin,Female (F),Right (R),Filler_W.ameri.M.L_N.womin.F.R
2,blueb,ungel,Female (F),Right (R),Filler_W.blueb.M.L_N.ungel.F.R
3,camer,tileg,Female (F),Right (R),Filler_W.camer.M.L_N.tileg.F.R
4,direc,rimke,Female (F),Right (R),Filler_W.direc.M.L_N.rimke.F.R
5,dynam,rakil,Female (F),Right (R),Filler_W.dynam.M.L_N.rakil.F.R
6,garde,perku,Female (F),Right (R),Filler_W.garde.M.L_N.perku.F.R
7,hambu,nomer,Female (F),Right (R),Filler_W.hambu.M.L_N.nomer.F.R
8,hurdl,namue,Female (F),Right (R),Filler_W.hurdl.M.L_N.namue.F.R
9,inhab,logel,Female (F),Right (R),Filler_W.inhab.M.L_N.logel.F.R
10,keybo,lened,Female (F),Right (R),Filler_W.keybo.M.L_N.lened.F.R
11,lengt,kelab,Female (F),Right (R),Filler_W.lengt.M.L_N.kelab.F.R
12,linge,inpak,Female (F),Right (R),Filler_W.linge.M.L_N.inpak.F.R
13,melan,hinta,Female (F),Right (R),Filler_W.melan.M.L_N.hinta.F.R
14,napki,gondi,Female (F),Right (R),Filler_W.napki.M.L_N.gondi.F.R
15,ornam,gaire,Female (F),Right (R),Filler_W.ornam.M.L_N.gaire.F.R
16,pinea,bikan,Female (F),Right (R),Filler_W.pinea.M.L_N.bikan.F.R
17,purga,balib,Female (F),Right (R),Filler_W.purga.M.L_N.balib.F.R
18,thera,amala,Female (F),Right (R),Filler_W.thera.M.L_N.amala.F.R
19,tutor,ailou,Female (F),Right (R),Filler_W.tutor.M.L_N.ailou.F.R
20,wealt,acomi,Female (F),Right (R),Filler_W.wealt.M.L_N.acomi.F.R
