Filler_Item.Num,Talker.A_Word,Talker.B_Nonword,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,baker,woyal,Male (M),Right (R),Filler_W.baker.F.L_N.woyal.M.R
2,bully,touna,Male (M),Right (R),Filler_W.bully.F.L_N.touna.M.R
3,conti,rylig,Male (M),Right (R),Filler_W.conti.F.L_N.rylig.M.R
4,docum,rawam,Male (M),Right (R),Filler_W.docum.F.L_N.rawam.M.R
5,eight,ploup,Male (M),Right (R),Filler_W.eight.F.L_N.ploup.M.R
6,gramm,omper,Male (M),Right (R),Filler_W.gramm.F.L_N.omper.M.R
7,ident,nempr,Male (M),Right (R),Filler_W.ident.F.L_N.nempr.M.R
8,inter,mibge,Male (M),Right (R),Filler_W.inter.F.L_N.mibge.M.R
9,knowi,meidn,Male (M),Right (R),Filler_W.knowi.F.L_N.meidn.M.R
10,letha,kermi,Male (M),Right (R),Filler_W.letha.F.L_N.kermi.M.R
11,lobby,itemp,Male (M),Right (R),Filler_W.lobby.F.L_N.itemp.M.R
12,membe,aknid,Male (M),Right (R),Filler_W.membe.F.L_N.aknid.M.R
13,negat,ibira,Male (M),Right (R),Filler_W.negat.F.L_N.ibira.M.R
14,outnu,halke,Male (M),Right (R),Filler_W.outnu.F.L_N.halke.M.R
15,parak,ganla,Male (M),Right (R),Filler_W.parak.F.L_N.ganla.M.R
16,plato,dadig,Male (M),Right (R),Filler_W.plato.F.L_N.dadig.M.R
17,tacti,bamte,Male (M),Right (R),Filler_W.tacti.F.L_N.bamte.M.R
18,titan,aneme,Male (M),Right (R),Filler_W.titan.F.L_N.aneme.M.R
19,umbre,lilgr,Male (M),Right (R),Filler_W.umbre.F.L_N.lilgr.M.R
20,world,admun,Male (M),Right (R),Filler_W.world.F.L_N.admun.M.R
