Filler_Item.Num,Talker.A_Word,Talker.B_Nonword,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,baker,woyal,Male (M),Left (L),Filler_W.baker.F.R_N.woyal.M.L
2,bully,touna,Male (M),Left (L),Filler_W.bully.F.R_N.touna.M.L
3,conti,rylig,Male (M),Left (L),Filler_W.conti.F.R_N.rylig.M.L
4,docum,rawam,Male (M),Left (L),Filler_W.docum.F.R_N.rawam.M.L
5,eight,ploup,Male (M),Left (L),Filler_W.eight.F.R_N.ploup.M.L
6,gramm,omper,Male (M),Left (L),Filler_W.gramm.F.R_N.omper.M.L
7,ident,nempr,Male (M),Left (L),Filler_W.ident.F.R_N.nempr.M.L
8,inter,mibge,Male (M),Left (L),Filler_W.inter.F.R_N.mibge.M.L
9,knowi,meidn,Male (M),Left (L),Filler_W.knowi.F.R_N.meidn.M.L
10,letha,kermi,Male (M),Left (L),Filler_W.letha.F.R_N.kermi.M.L
11,lobby,itemp,Male (M),Left (L),Filler_W.lobby.F.R_N.itemp.M.L
12,membe,aknid,Male (M),Left (L),Filler_W.membe.F.R_N.aknid.M.L
13,negat,ibira,Male (M),Left (L),Filler_W.negat.F.R_N.ibira.M.L
14,outnu,halke,Male (M),Left (L),Filler_W.outnu.F.R_N.halke.M.L
15,parak,ganla,Male (M),Left (L),Filler_W.parak.F.R_N.ganla.M.L
16,plato,dadig,Male (M),Left (L),Filler_W.plato.F.R_N.dadig.M.L
17,tacti,bamte,Male (M),Left (L),Filler_W.tacti.F.R_N.bamte.M.L
18,titan,aneme,Male (M),Left (L),Filler_W.titan.F.R_N.aneme.M.L
19,umbre,lilgr,Male (M),Left (L),Filler_W.umbre.F.R_N.lilgr.M.L
20,world,admun,Male (M),Left (L),Filler_W.world.F.R_N.admun.M.L
