Filler_Item.Num,Talker.A_Word,Talker.B_Nonword,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,baker,woyal,Female (F),Right (R),Filler_W.baker.M.L_N.woyal.F.R
2,bully,touna,Female (F),Right (R),Filler_W.bully.M.L_N.touna.F.R
3,conti,rylig,Female (F),Right (R),Filler_W.conti.M.L_N.rylig.F.R
4,docum,rawam,Female (F),Right (R),Filler_W.docum.M.L_N.rawam.F.R
5,eight,ploup,Female (F),Right (R),Filler_W.eight.M.L_N.ploup.F.R
6,gramm,omper,Female (F),Right (R),Filler_W.gramm.M.L_N.omper.F.R
7,ident,nempr,Female (F),Right (R),Filler_W.ident.M.L_N.nempr.F.R
8,inter,mibge,Female (F),Right (R),Filler_W.inter.M.L_N.mibge.F.R
9,knowi,meidn,Female (F),Right (R),Filler_W.knowi.M.L_N.meidn.F.R
10,letha,kermi,Female (F),Right (R),Filler_W.letha.M.L_N.kermi.F.R
11,lobby,itemp,Female (F),Right (R),Filler_W.lobby.M.L_N.itemp.F.R
12,membe,aknid,Female (F),Right (R),Filler_W.membe.M.L_N.aknid.F.R
13,negat,ibira,Female (F),Right (R),Filler_W.negat.M.L_N.ibira.F.R
14,outnu,halke,Female (F),Right (R),Filler_W.outnu.M.L_N.halke.F.R
15,parak,ganla,Female (F),Right (R),Filler_W.parak.M.L_N.ganla.F.R
16,plato,dadig,Female (F),Right (R),Filler_W.plato.M.L_N.dadig.F.R
17,tacti,bamte,Female (F),Right (R),Filler_W.tacti.M.L_N.bamte.F.R
18,titan,aneme,Female (F),Right (R),Filler_W.titan.M.L_N.aneme.F.R
19,umbre,lilgr,Female (F),Right (R),Filler_W.umbre.M.L_N.lilgr.F.R
20,world,admun,Female (F),Right (R),Filler_W.world.M.L_N.admun.F.R
