Filler_Item.Num,Talker.A_Word,Talker.B_Nonword,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,baker,woyal,Female (F),Left (L),Filler_W.baker.M.R_N.woyal.F.L
2,bully,touna,Female (F),Left (L),Filler_W.bully.M.R_N.touna.F.L
3,conti,rylig,Female (F),Left (L),Filler_W.conti.M.R_N.rylig.F.L
4,docum,rawam,Female (F),Left (L),Filler_W.docum.M.R_N.rawam.F.L
5,eight,ploup,Female (F),Left (L),Filler_W.eight.M.R_N.ploup.F.L
6,gramm,omper,Female (F),Left (L),Filler_W.gramm.M.R_N.omper.F.L
7,ident,nempr,Female (F),Left (L),Filler_W.ident.M.R_N.nempr.F.L
8,inter,mibge,Female (F),Left (L),Filler_W.inter.M.R_N.mibge.F.L
9,knowi,meidn,Female (F),Left (L),Filler_W.knowi.M.R_N.meidn.F.L
10,letha,kermi,Female (F),Left (L),Filler_W.letha.M.R_N.kermi.F.L
11,lobby,itemp,Female (F),Left (L),Filler_W.lobby.M.R_N.itemp.F.L
12,membe,aknid,Female (F),Left (L),Filler_W.membe.M.R_N.aknid.F.L
13,negat,ibira,Female (F),Left (L),Filler_W.negat.M.R_N.ibira.F.L
14,outnu,halke,Female (F),Left (L),Filler_W.outnu.M.R_N.halke.F.L
15,parak,ganla,Female (F),Left (L),Filler_W.parak.M.R_N.ganla.F.L
16,plato,dadig,Female (F),Left (L),Filler_W.plato.M.R_N.dadig.F.L
17,tacti,bamte,Female (F),Left (L),Filler_W.tacti.M.R_N.bamte.F.L
18,titan,aneme,Female (F),Left (L),Filler_W.titan.M.R_N.aneme.F.L
19,umbre,lilgr,Female (F),Left (L),Filler_W.umbre.M.R_N.lilgr.F.L
20,world,admun,Female (F),Left (L),Filler_W.world.M.R_N.admun.F.L
