Filler_Item.Num,Talker.A_Word,Talker.B_Nonword,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,balle,youmg,Male (M),Right (R),Filler_W.balle.F.L_N.youmg.M.R
2,burgl,tymol,Male (M),Right (R),Filler_W.burgl.F.L_N.tymol.M.R
3,domin,tamic,Male (M),Right (R),Filler_W.domin.F.L_N.tamic.M.R
4,embod,rengi,Male (M),Right (R),Filler_W.embod.F.L_N.rengi.M.R
5,gulli,pouri,Male (M),Right (R),Filler_W.gulli.F.L_N.pouri.M.R
6,honey,oumik,Male (M),Right (R),Filler_W.honey.F.L_N.oumik.M.R
7,illum,nirit,Male (M),Right (R),Filler_W.illum.F.L_N.nirit.M.R
8,ironi,mikid,Male (M),Right (R),Filler_W.ironi.F.L_N.mikid.M.R
9,lamin,kalde,Male (M),Right (R),Filler_W.lamin.F.L_N.kalde.M.R
10,liabi,imdai,Male (M),Right (R),Filler_W.liabi.F.L_N.imdai.M.R
11,marin,kloum,Male (M),Right (R),Filler_W.marin.F.L_N.kloum.M.R
12,metir,halom,Male (M),Right (R),Filler_W.metir.F.L_N.halom.M.R
13,night,gerbu,Male (M),Right (R),Filler_W.night.F.L_N.gerbu.M.R
14,panic,galli,Male (M),Right (R),Filler_W.panic.F.L_N.galli.M.R
15,pilgr,emhou,Male (M),Right (R),Filler_W.pilgr.F.L_N.emhou.M.R
16,predi,dilku,Male (M),Right (R),Filler_W.predi.F.L_N.dilku.M.R
17,termi,bawes,Male (M),Right (R),Filler_W.termi.F.L_N.bawes.M.R
18,turbu,anoli,Male (M),Right (R),Filler_W.turbu.F.L_N.anoli.M.R
19,under,alnad,Male (M),Right (R),Filler_W.under.F.L_N.alnad.M.R
20,wink,aigi,Male (M),Right (R),Filler_W.wink.F.L_N.aigi.M.R
