Filler_Item.Num,Talker.A_Word,Talker.B_Nonword,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,balle,youmg,Male (M),Left (L),Filler_W.balle.F.R_N.youmg.M.L
2,burgl,tymol,Male (M),Left (L),Filler_W.burgl.F.R_N.tymol.M.L
3,domin,tamic,Male (M),Left (L),Filler_W.domin.F.R_N.tamic.M.L
4,embod,rengi,Male (M),Left (L),Filler_W.embod.F.R_N.rengi.M.L
5,gulli,pouri,Male (M),Left (L),Filler_W.gulli.F.R_N.pouri.M.L
6,honey,oumik,Male (M),Left (L),Filler_W.honey.F.R_N.oumik.M.L
7,illum,nirit,Male (M),Left (L),Filler_W.illum.F.R_N.nirit.M.L
8,ironi,mikid,Male (M),Left (L),Filler_W.ironi.F.R_N.mikid.M.L
9,lamin,kalde,Male (M),Left (L),Filler_W.lamin.F.R_N.kalde.M.L
10,liabi,imdai,Male (M),Left (L),Filler_W.liabi.F.R_N.imdai.M.L
11,marin,kloum,Male (M),Left (L),Filler_W.marin.F.R_N.kloum.M.L
12,metir,halom,Male (M),Left (L),Filler_W.metir.F.R_N.halom.M.L
13,night,gerbu,Male (M),Left (L),Filler_W.night.F.R_N.gerbu.M.L
14,panic,galli,Male (M),Left (L),Filler_W.panic.F.R_N.galli.M.L
15,pilgr,emhou,Male (M),Left (L),Filler_W.pilgr.F.R_N.emhou.M.L
16,predi,dilku,Male (M),Left (L),Filler_W.predi.F.R_N.dilku.M.L
17,termi,bawes,Male (M),Left (L),Filler_W.termi.F.R_N.bawes.M.L
18,turbu,anoli,Male (M),Left (L),Filler_W.turbu.F.R_N.anoli.M.L
19,under,alnad,Male (M),Left (L),Filler_W.under.F.R_N.alnad.M.L
20,wink,aigi,Male (M),Left (L),Filler_W.wink.F.R_N.aigi.M.L
