Filler_Item.Num,Talker.A_Word,Talker.B_Nonword,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,balle,youmg,Female (F),Right (R),Filler_W.balle.M.L_N.youmg.F.R
2,burgl,tymol,Female (F),Right (R),Filler_W.burgl.M.L_N.tymol.F.R
3,domin,tamic,Female (F),Right (R),Filler_W.domin.M.L_N.tamic.F.R
4,embod,rengi,Female (F),Right (R),Filler_W.embod.M.L_N.rengi.F.R
5,gulli,pouri,Female (F),Right (R),Filler_W.gulli.M.L_N.pouri.F.R
6,honey,oumik,Female (F),Right (R),Filler_W.honey.M.L_N.oumik.F.R
7,illum,nirit,Female (F),Right (R),Filler_W.illum.M.L_N.nirit.F.R
8,ironi,mikid,Female (F),Right (R),Filler_W.ironi.M.L_N.mikid.F.R
9,lamin,kalde,Female (F),Right (R),Filler_W.lamin.M.L_N.kalde.F.R
10,liabi,imdai,Female (F),Right (R),Filler_W.liabi.M.L_N.imdai.F.R
11,marin,kloum,Female (F),Right (R),Filler_W.marin.M.L_N.kloum.F.R
12,metir,halom,Female (F),Right (R),Filler_W.metir.M.L_N.halom.F.R
13,night,gerbu,Female (F),Right (R),Filler_W.night.M.L_N.gerbu.F.R
14,panic,galli,Female (F),Right (R),Filler_W.panic.M.L_N.galli.F.R
15,pilgr,emhou,Female (F),Right (R),Filler_W.pilgr.M.L_N.emhou.F.R
16,predi,dilku,Female (F),Right (R),Filler_W.predi.M.L_N.dilku.F.R
17,termi,bawes,Female (F),Right (R),Filler_W.termi.M.L_N.bawes.F.R
18,turbu,anoli,Female (F),Right (R),Filler_W.turbu.M.L_N.anoli.F.R
19,under,alnad,Female (F),Right (R),Filler_W.under.M.L_N.alnad.F.R
20,wink,aigi,Female (F),Right (R),Filler_W.wink.M.L_N.aigi.F.R
