Filler_Item.Num,Talker.A_Word,Talker.B_Nonword,Assignment_Talker.B_Gender,Assignment_Talker.B_Ear,filename
1,balle,youmg,Female (F),Left (L),Filler_W.balle.M.R_N.youmg.F.L
2,burgl,tymol,Female (F),Left (L),Filler_W.burgl.M.R_N.tymol.F.L
3,domin,tamic,Female (F),Left (L),Filler_W.domin.M.R_N.tamic.F.L
4,embod,rengi,Female (F),Left (L),Filler_W.embod.M.R_N.rengi.F.L
5,gulli,pouri,Female (F),Left (L),Filler_W.gulli.M.R_N.pouri.F.L
6,honey,oumik,Female (F),Left (L),Filler_W.honey.M.R_N.oumik.F.L
7,illum,nirit,Female (F),Left (L),Filler_W.illum.M.R_N.nirit.F.L
8,ironi,mikid,Female (F),Left (L),Filler_W.ironi.M.R_N.mikid.F.L
9,lamin,kalde,Female (F),Left (L),Filler_W.lamin.M.R_N.kalde.F.L
10,liabi,imdai,Female (F),Left (L),Filler_W.liabi.M.R_N.imdai.F.L
11,marin,kloum,Female (F),Left (L),Filler_W.marin.M.R_N.kloum.F.L
12,metir,halom,Female (F),Left (L),Filler_W.metir.M.R_N.halom.F.L
13,night,gerbu,Female (F),Left (L),Filler_W.night.M.R_N.gerbu.F.L
14,panic,galli,Female (F),Left (L),Filler_W.panic.M.R_N.galli.F.L
15,pilgr,emhou,Female (F),Left (L),Filler_W.pilgr.M.R_N.emhou.F.L
16,predi,dilku,Female (F),Left (L),Filler_W.predi.M.R_N.dilku.F.L
17,termi,bawes,Female (F),Left (L),Filler_W.termi.M.R_N.bawes.F.L
18,turbu,anoli,Female (F),Left (L),Filler_W.turbu.M.R_N.anoli.F.L
19,under,alnad,Female (F),Left (L),Filler_W.under.M.R_N.alnad.F.L
20,wink,aigi,Female (F),Left (L),Filler_W.wink.M.R_N.aigi.F.L
