Set,Filler.Item_Num,Talker.A_Word,Talker.B_Nonword,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Set.Version,rep,filename
A,1,America,Wominid,Female,Right,Male,Left,03,1,Filler_A.03_W.America.F.R_N.Wominid.M.L.wav
A,2,Blueberry,Ungelnin,Female,Right,Male,Left,03,1,Filler_A.03_W.Blueberry.F.R_N.Ungelnin.M.L.wav
A,3,Camera,Tilegkalo,Female,Right,Male,Left,03,1,Filler_A.03_W.Camera.F.R_N.Tilegkalo.M.L.wav
A,4,Directory,Rimkeluwar,Female,Right,Male,Left,03,1,Filler_A.03_W.Directory.F.R_N.Rimkeluwar.M.L.wav
A,5,Dynamite,Rakil,Female,Right,Male,Left,03,1,Filler_A.03_W.Dynamite.F.R_N.Rakil.M.L.wav
A,6,Gardenia,Perkum,Female,Right,Male,Left,03,1,Filler_A.03_W.Gardenia.F.R_N.Perkum.M.L.wav
A,7,Hamburger,Nomerae,Female,Right,Male,Left,03,1,Filler_A.03_W.Hamburger.F.R_N.Nomerae.M.L.wav
A,8,Hurdle,Namuary,Female,Right,Male,Left,03,1,Filler_A.03_W.Hurdle.F.R_N.Namuary.M.L.wav
A,9,Inhabit,Logelai,Female,Right,Male,Left,03,1,Filler_A.03_W.Inhabit.F.R_N.Logelai.M.L.wav
A,10,Keyboard,Lenediaw,Female,Right,Male,Left,03,1,Filler_A.03_W.Keyboard.F.R_N.Lenediaw.M.L.wav
A,11,Lengthen,Kelabidel,Female,Right,Male,Left,03,1,Filler_A.03_W.Lengthen.F.R_N.Kelabidel.M.L.wav
A,12,Lingering,Inpaki,Female,Right,Male,Left,03,1,Filler_A.03_W.Lingering.F.R_N.Inpaki.M.L.wav
A,13,Melancholy,Hintarber,Female,Right,Male,Left,03,1,Filler_A.03_W.Melancholy.F.R_N.Hintarber.M.L.wav
A,14,Napkin,Gardimuallay,Female,Right,Male,Left,03,1,Filler_A.03_W.Napkin.F.R_N.Gardimuallay.M.L.wav
A,15,Ornament,Gairelom,Female,Right,Male,Left,03,1,Filler_A.03_W.Ornament.F.R_N.Gairelom.M.L.wav
A,16,Pineapple,Bikanian,Female,Right,Male,Left,03,1,Filler_A.03_W.Pineapple.F.R_N.Bikanian.M.L.wav
A,17,Purgatory,Baliber,Female,Right,Male,Left,03,1,Filler_A.03_W.Purgatory.F.R_N.Baliber.M.L.wav
A,18,Therapeutic,Amalar,Female,Right,Male,Left,03,1,Filler_A.03_W.Therapeutic.F.R_N.Amalar.M.L.wav
A,19,Tutorial,Ailounam,Female,Right,Male,Left,03,1,Filler_A.03_W.Tutorial.F.R_N.Ailounam.M.L.wav
A,20,Wealthy,Acomining,Female,Right,Male,Left,03,1,Filler_A.03_W.Wealthy.F.R_N.Acomining.M.L.wav
B,1,Bakery,Wojalto,Male,Left,Female,Right,04,1,Filler_B.04_W.Bakery.M.L_N.Wojalto.F.R.wav
B,2,Bullying,Tounamplem,Male,Left,Female,Right,04,1,Filler_B.04_W.Bullying.M.L_N.Tounamplem.F.R.wav
B,3,Continually,Ryligal,Male,Left,Female,Right,04,1,Filler_B.04_W.Continually.M.L_N.Ryligal.F.R.wav
B,4,Document,Rawamtee,Male,Left,Female,Right,04,1,Filler_B.04_W.Document.M.L_N.Rawamtee.F.R.wav
B,5,Eighty,Ploupelai,Male,Left,Female,Right,04,1,Filler_B.04_W.Eighty.M.L_N.Ploupelai.F.R.wav
B,6,Grammatical,Omperoge,Male,Left,Female,Right,04,1,Filler_B.04_W.Grammatical.M.L_N.Omperoge.F.R.wav
B,7,Identical,Nempring,Male,Left,Female,Right,04,1,Filler_B.04_W.Identical.M.L_N.Nempring.F.R.wav
B,8,Interior,Mibgem,Male,Left,Female,Right,04,1,Filler_B.04_W.Interior.M.L_N.Mibgem.F.R.wav
B,9,Knowingly,Meidnow,Male,Left,Female,Right,04,1,Filler_B.04_W.Knowingly.M.L_N.Meidnow.F.R.wav
B,10,Lethal,Kermimer,Male,Left,Female,Right,04,1,Filler_B.04_W.Lethal.M.L_N.Kermimer.F.R.wav
B,11,Lobbying,Itempider,Male,Left,Female,Right,04,1,Filler_B.04_W.Lobbying.M.L_N.Itempider.F.R.wav
B,12,Membrane,Aknid,Male,Left,Female,Right,04,1,Filler_B.04_W.Membrane.M.L_N.Aknid.F.R.wav
B,13,Negate,Ibirak,Male,Left,Female,Right,04,1,Filler_B.04_W.Negate.M.L_N.Ibirak.F.R.wav
B,14,Outnumber,Halken,Male,Left,Female,Right,04,1,Filler_B.04_W.Outnumber.M.L_N.Halken.F.R.wav
B,15,Parakeet,Ganla,Male,Left,Female,Right,04,1,Filler_B.04_W.Parakeet.M.L_N.Ganla.F.R.wav
B,16,Platonic,Dadigal,Male,Left,Female,Right,04,1,Filler_B.04_W.Platonic.M.L_N.Dadigal.F.R.wav
B,17,Tactical,Bamtell,Male,Left,Female,Right,04,1,Filler_B.04_W.Tactical.M.L_N.Bamtell.F.R.wav
