Set,Filler.Item_Num,Talker.A_Word,Talker.B_Nonword,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Set.Version,rep,filename
A,1,America,Wominid,Male,Right,Female,Left,01,1,Filler_A.01_W.America.M.R_N.Wominid.F.L.wav
A,2,Blueberry,Ungelnin,Male,Right,Female,Left,01,1,Filler_A.01_W.Blueberry.M.R_N.Ungelnin.F.L.wav
A,3,Camera,Tilegkalo,Male,Right,Female,Left,01,1,Filler_A.01_W.Camera.M.R_N.Tilegkalo.F.L.wav
A,4,Directory,Rimkeluwar,Male,Right,Female,Left,01,1,Filler_A.01_W.Directory.M.R_N.Rimkeluwar.F.L.wav
A,5,Dynamite,Rakil,Male,Right,Female,Left,01,1,Filler_A.01_W.Dynamite.M.R_N.Rakil.F.L.wav
A,6,Gardenia,Perkum,Male,Right,Female,Left,01,1,Filler_A.01_W.Gardenia.M.R_N.Perkum.F.L.wav
A,7,Hamburger,Nomerae,Male,Right,Female,Left,01,1,Filler_A.01_W.Hamburger.M.R_N.Nomerae.F.L.wav
A,8,Hurdle,Namuary,Male,Right,Female,Left,01,1,Filler_A.01_W.Hurdle.M.R_N.Namuary.F.L.wav
A,9,Inhabit,Logelai,Male,Right,Female,Left,01,1,Filler_A.01_W.Inhabit.M.R_N.Logelai.F.L.wav
A,10,Keyboard,Lenediaw,Male,Right,Female,Left,01,1,Filler_A.01_W.Keyboard.M.R_N.Lenediaw.F.L.wav
A,11,Lengthen,Kelabidel,Male,Right,Female,Left,01,1,Filler_A.01_W.Lengthen.M.R_N.Kelabidel.F.L.wav
A,12,Lingering,Inpaki,Male,Right,Female,Left,01,1,Filler_A.01_W.Lingering.M.R_N.Inpaki.F.L.wav
A,13,Melancholy,Hintarber,Male,Right,Female,Left,01,1,Filler_A.01_W.Melancholy.M.R_N.Hintarber.F.L.wav
A,14,Napkin,Gardimuallay,Male,Right,Female,Left,01,1,Filler_A.01_W.Napkin.M.R_N.Gardimuallay.F.L.wav
A,15,Ornament,Gairelom,Male,Right,Female,Left,01,1,Filler_A.01_W.Ornament.M.R_N.Gairelom.F.L.wav
A,16,Pineapple,Bikanian,Male,Right,Female,Left,01,1,Filler_A.01_W.Pineapple.M.R_N.Bikanian.F.L.wav
A,17,Purgatory,Baliber,Male,Right,Female,Left,01,1,Filler_A.01_W.Purgatory.M.R_N.Baliber.F.L.wav
A,18,Therapeutic,Amalar,Male,Right,Female,Left,01,1,Filler_A.01_W.Therapeutic.M.R_N.Amalar.F.L.wav
A,19,Tutorial,Ailounam,Male,Right,Female,Left,01,1,Filler_A.01_W.Tutorial.M.R_N.Ailounam.F.L.wav
A,20,Wealthy,Acomining,Male,Right,Female,Left,01,1,Filler_A.01_W.Wealthy.M.R_N.Acomining.F.L.wav
B,1,Bakery,Wojalto,Female,Left,Male,Right,02,1,Filler_B.02_W.Bakery.F.L_N.Wojalto.M.R.wav
B,2,Bullying,Tounamplem,Female,Left,Male,Right,02,1,Filler_B.02_W.Bullying.F.L_N.Tounamplem.M.R.wav
B,3,Continually,Ryligal,Female,Left,Male,Right,02,1,Filler_B.02_W.Continually.F.L_N.Ryligal.M.R.wav
B,4,Document,Rawamtee,Female,Left,Male,Right,02,1,Filler_B.02_W.Document.F.L_N.Rawamtee.M.R.wav
B,5,Eighty,Ploupelai,Female,Left,Male,Right,02,1,Filler_B.02_W.Eighty.F.L_N.Ploupelai.M.R.wav
B,6,Grammatical,Omperoge,Female,Left,Male,Right,02,1,Filler_B.02_W.Grammatical.F.L_N.Omperoge.M.R.wav
B,7,Identical,Nempring,Female,Left,Male,Right,02,1,Filler_B.02_W.Identical.F.L_N.Nempring.M.R.wav
B,8,Interior,Mibgem,Female,Left,Male,Right,02,1,Filler_B.02_W.Interior.F.L_N.Mibgem.M.R.wav
B,9,Knowingly,Meidnow,Female,Left,Male,Right,02,1,Filler_B.02_W.Knowingly.F.L_N.Meidnow.M.R.wav
B,10,Lethal,Kermimer,Female,Left,Male,Right,02,1,Filler_B.02_W.Lethal.F.L_N.Kermimer.M.R.wav
B,11,Lobbying,Itempider,Female,Left,Male,Right,02,1,Filler_B.02_W.Lobbying.F.L_N.Itempider.M.R.wav
B,12,Membrane,Aknid,Female,Left,Male,Right,02,1,Filler_B.02_W.Membrane.F.L_N.Aknid.M.R.wav
B,13,Negate,Ibirak,Female,Left,Male,Right,02,1,Filler_B.02_W.Negate.F.L_N.Ibirak.M.R.wav
B,14,Outnumber,Halken,Female,Left,Male,Right,02,1,Filler_B.02_W.Outnumber.F.L_N.Halken.M.R.wav
B,15,Parakeet,Ganla,Female,Left,Male,Right,02,1,Filler_B.02_W.Parakeet.F.L_N.Ganla.M.R.wav
B,16,Platonic,Dadigal,Female,Left,Male,Right,02,1,Filler_B.02_W.Platonic.F.L_N.Dadigal.M.R.wav
B,17,Tactical,Bamtell,Female,Left,Male,Right,02,1,Filler_B.02_W.Tactical.F.L_N.Bamtell.M.R.wav
B,18,Titanium,Anemer,Female,Left,Male,Right,02,1,Filler_B.02_W.Titanium.F.L_N.Anemer.M.R.wav
B,19,Umbrella,Lilgrai,Female,Left,Male,Right,02,1,Filler_B.02_W.Umbrella.F.L_N.Lilgrai.M.R.wav
B,20,Worldly,Admunker,Female,Left,Male,Right,02,1,Filler_B.02_W.Worldly.F.L_N.Admunker.M.R.wav
C,1,Ballerina,Youmgel,Female,Right,Male,Left,03,1,Filler_C.03_W.Ballerina.F.R_N.Youmgel.M.L.wav
C,2,Burglary,Tymolape,Female,Right,Male,Left,03,1,Filler_C.03_W.Burglary.F.R_N.Tymolape.M.L.wav
C,3,Domineering,Tamical,Female,Right,Male,Left,03,1,Filler_C.03_W.Domineering.F.R_N.Tamical.M.L.wav
C,4,Embody,Rengime,Female,Right,Male,Left,03,1,Filler_C.03_W.Embody.F.R_N.Rengime.M.L.wav
C,5,Gullible,Pourilar,Female,Right,Male,Left,03,1,Filler_C.03_W.Gullible.F.R_N.Pourilar.M.L.wav
C,6,Honeymoon,Almikquary,Female,Right,Male,Left,03,1,Filler_C.03_W.Honeymoon.F.R_N.Almikquary.M.L.wav
C,7,Illuminate,Niritaly,Female,Right,Male,Left,03,1,Filler_C.03_W.Illuminate.F.R_N.Niritaly.M.L.wav
C,8,Ironic,Makid,Female,Right,Male,Left,03,1,Filler_C.03_W.Ironic.F.R_N.Makid.M.L.wav
C,9,Laminate,Kaldemia,Female,Right,Male,Left,03,1,Filler_C.03_W.Laminate.F.R_N.Kaldemia.M.L.wav
