Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,A,B,Talker,reps,feedback,filename
Exposure,Filler,1,1,America,Set A,Word,Wominid,Set A,Nonword,Female,Right,Male,Left,03,W.America.F.R,N.Wominid.M.L,2,1,FALSE,Critical_N.Wominid.M.L_W.America.F.R.wav
Exposure,Filler,1,1,Bakery,Set B,Word,Wojalto,Set B,Nonword,Male,Right,Female,Left,04,W.Bakery.M.R,N.Wojalto.F.L,2,1,FALSE,Critical_N.Wojalto.F.L_W.Bakery.M.R.wav
Exposure,Filler,1,1,Ballerina,Set C,Word,Youmgel,Set C,Nonword,Male,Left,Female,Right,01,W.Ballerina.M.L,N.Youmgel.F.R,1,1,FALSE,Critical_W.Ballerina.M.L_N.Youmgel.F.R.wav
Exposure,Filler,1,2,Blueberry,Set A,Word,Ungelnin,Set A,Nonword,Female,Right,Male,Left,03,W.Blueberry.F.R,N.Ungelnin.M.L,2,1,FALSE,Critical_N.Ungelnin.M.L_W.Blueberry.F.R.wav
Exposure,Filler,1,2,Bullying,Set B,Word,Tounamplem,Set B,Nonword,Male,Right,Female,Left,04,W.Bullying.M.R,N.Tounamplem.F.L,2,1,FALSE,Critical_N.Tounamplem.F.L_W.Bullying.M.R.wav
Exposure,Filler,1,2,Burglary,Set C,Word,Tymolape,Set C,Nonword,Male,Left,Female,Right,01,W.Burglary.M.L,N.Tymolape.F.R,1,1,FALSE,Critical_W.Burglary.M.L_N.Tymolape.F.R.wav
Exposure,Filler,1,3,Camera,Set A,Word,Tilegkalo,Set A,Nonword,Female,Right,Male,Left,03,W.Camera.F.R,N.Tilegkalo.M.L,2,1,FALSE,Critical_N.Tilegkalo.M.L_W.Camera.F.R.wav
Exposure,Filler,1,3,Continually,Set B,Word,Ryligal,Set B,Nonword,Male,Right,Female,Left,04,W.Continually.M.R,N.Ryligal.F.L,2,1,FALSE,Critical_N.Ryligal.F.L_W.Continually.M.R.wav
Exposure,Filler,1,3,Domineering,Set C,Word,Tamical,Set C,Nonword,Male,Left,Female,Right,01,W.Domineering.M.L,N.Tamical.F.R,1,1,FALSE,Critical_W.Domineering.M.L_N.Tamical.F.R.wav
Exposure,Filler,1,4,Directory,Set A,Word,Rimkeluwar,Set A,Nonword,Female,Right,Male,Left,03,W.Directory.F.R,N.Rimkeluwar.M.L,2,1,FALSE,Critical_N.Rimkeluwar.M.L_W.Directory.F.R.wav
Exposure,Filler,1,4,Document,Set B,Word,Rawamtee,Set B,Nonword,Male,Right,Female,Left,04,W.Document.M.R,N.Rawamtee.F.L,2,1,FALSE,Critical_N.Rawamtee.F.L_W.Document.M.R.wav
Exposure,Filler,1,4,Embody,Set C,Word,Rengime,Set C,Nonword,Male,Left,Female,Right,01,W.Embody.M.L,N.Rengime.F.R,1,1,FALSE,Critical_W.Embody.M.L_N.Rengime.F.R.wav
Exposure,Filler,1,5,Dynamite,Set A,Word,Rakil,Set A,Nonword,Female,Right,Male,Left,03,W.Dynamite.F.R,N.Rakil.M.L,2,1,FALSE,Critical_N.Rakil.M.L_W.Dynamite.F.R.wav
Exposure,Filler,1,5,Eighty,Set B,Word,Ploupelai,Set B,Nonword,Male,Right,Female,Left,04,W.Eighty.M.R,N.Ploupelai.F.L,2,1,FALSE,Critical_N.Ploupelai.F.L_W.Eighty.M.R.wav
Exposure,Filler,1,5,Gullible,Set C,Word,Pourilar,Set C,Nonword,Male,Left,Female,Right,01,W.Gullible.M.L,N.Pourilar.F.R,1,1,FALSE,Critical_W.Gullible.M.L_N.Pourilar.F.R.wav
Exposure,Filler,1,6,Gardenia,Set A,Word,Perkum,Set A,Nonword,Female,Right,Male,Left,03,W.Gardenia.F.R,N.Perkum.M.L,2,1,FALSE,Critical_N.Perkum.M.L_W.Gardenia.F.R.wav
Exposure,Filler,1,6,Grammatical,Set B,Word,Omperoge,Set B,Nonword,Male,Right,Female,Left,04,W.Grammatical.M.R,N.Omperoge.F.L,2,1,FALSE,Critical_N.Omperoge.F.L_W.Grammatical.M.R.wav
Exposure,Filler,1,6,Honeymoon,Set C,Word,Almikquary,Set C,Nonword,Male,Left,Female,Right,01,W.Honeymoon.M.L,N.Almikquary.F.R,1,1,FALSE,Critical_W.Honeymoon.M.L_N.Almikquary.F.R.wav
Exposure,Filler,1,7,Hamburger,Set A,Word,Nomerae,Set A,Nonword,Female,Right,Male,Left,03,W.Hamburger.F.R,N.Nomerae.M.L,2,1,FALSE,Critical_N.Nomerae.M.L_W.Hamburger.F.R.wav
Exposure,Filler,1,7,Identical,Set B,Word,Nempring,Set B,Nonword,Male,Right,Female,Left,04,W.Identical.M.R,N.Nempring.F.L,2,1,FALSE,Critical_N.Nempring.F.L_W.Identical.M.R.wav
Exposure,Filler,1,7,Illuminate,Set C,Word,Niritaly,Set C,Nonword,Male,Left,Female,Right,01,W.Illuminate.M.L,N.Niritaly.F.R,1,1,FALSE,Critical_W.Illuminate.M.L_N.Niritaly.F.R.wav
Exposure,Filler,1,8,Hurdle,Set A,Word,Namuary,Set A,Nonword,Female,Right,Male,Left,03,W.Hurdle.F.R,N.Namuary.M.L,2,1,FALSE,Critical_N.Namuary.M.L_W.Hurdle.F.R.wav
Exposure,Filler,1,8,Interior,Set B,Word,Mibgem,Set B,Nonword,Male,Right,Female,Left,04,W.Interior.M.R,N.Mibgem.F.L,2,1,FALSE,Critical_N.Mibgem.F.L_W.Interior.M.R.wav
Exposure,Filler,1,8,Ironic,Set C,Word,Makid,Set C,Nonword,Male,Left,Female,Right,01,W.Ironic.M.L,N.Makid.F.R,1,1,FALSE,Critical_W.Ironic.M.L_N.Makid.F.R.wav
Exposure,Filler,1,9,Inhabit,Set A,Word,Logelai,Set A,Nonword,Female,Right,Male,Left,03,W.Inhabit.F.R,N.Logelai.M.L,2,1,FALSE,Critical_N.Logelai.M.L_W.Inhabit.F.R.wav
Exposure,Filler,1,9,Knowingly,Set B,Word,Meidnow,Set B,Nonword,Male,Right,Female,Left,04,W.Knowingly.M.R,N.Meidnow.F.L,2,1,FALSE,Critical_N.Meidnow.F.L_W.Knowingly.M.R.wav
Exposure,Filler,1,9,Laminate,Set C,Word,Kaldemia,Set C,Nonword,Male,Left,Female,Right,01,W.Laminate.M.L,N.Kaldemia.F.R,1,1,FALSE,Critical_W.Laminate.M.L_N.Kaldemia.F.R.wav
Exposure,Filler,1,10,Keyboard,Set A,Word,Lenediaw,Set A,Nonword,Female,Right,Male,Left,03,W.Keyboard.F.R,N.Lenediaw.M.L,2,1,FALSE,Critical_N.Lenediaw.M.L_W.Keyboard.F.R.wav
Exposure,Filler,1,10,Lethal,Set B,Word,Kermimer,Set B,Nonword,Male,Right,Female,Left,04,W.Lethal.M.R,N.Kermimer.F.L,2,1,FALSE,Critical_N.Kermimer.F.L_W.Lethal.M.R.wav
Exposure,Filler,1,10,Liability,Set C,Word,Imdalier,Set C,Nonword,Male,Left,Female,Right,01,W.Liability.M.L,N.Imdalier.F.R,1,1,FALSE,Critical_W.Liability.M.L_N.Imdalier.F.R.wav
Exposure,Filler,1,11,Lengthen,Set A,Word,Kelabidel,Set A,Nonword,Female,Right,Male,Left,03,W.Lengthen.F.R,N.Kelabidel.M.L,2,1,FALSE,Critical_N.Kelabidel.M.L_W.Lengthen.F.R.wav
Exposure,Filler,1,11,Lobbying,Set B,Word,Itempider,Set B,Nonword,Male,Right,Female,Left,04,W.Lobbying.M.R,N.Itempider.F.L,2,1,FALSE,Critical_N.Itempider.F.L_W.Lobbying.M.R.wav
Exposure,Filler,1,11,Marina,Set C,Word,Kloumidiger,Set C,Nonword,Male,Left,Female,Right,01,W.Marina.M.L,N.Kloumidiger.F.R,1,1,FALSE,Critical_W.Marina.M.L_N.Kloumidiger.F.R.wav
Exposure,Filler,1,12,Lingering,Set A,Word,Inpaki,Set A,Nonword,Female,Right,Male,Left,03,W.Lingering.F.R,N.Inpaki.M.L,2,1,FALSE,Critical_N.Inpaki.M.L_W.Lingering.F.R.wav
Exposure,Filler,1,12,Membrane,Set B,Word,Aknid,Set B,Nonword,Male,Right,Female,Left,04,W.Membrane.M.R,N.Aknid.F.L,2,1,FALSE,Critical_N.Aknid.F.L_W.Membrane.M.R.wav
Exposure,Filler,1,12,Metrical,Set C,Word,Halomimoc,Set C,Nonword,Male,Left,Female,Right,01,W.Metrical.M.L,N.Halomimoc.F.R,1,1,FALSE,Critical_W.Metrical.M.L_N.Halomimoc.F.R.wav
