Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,rep,filename
Exposure,Filler,1,1,America,Set A,Word,Wominid,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.America.F.R_N.Wominid.M.L.wav
Exposure,Filler,1,1,Bakery,Set B,Word,Wojalto,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Bakery.M.L_N.Wojalto.F.R.wav
Exposure,Filler,1,1,Ballerina,Set C,Word,Youmgel,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Ballerina.M.R_N.Youmgel.F.L.wav
Exposure,Filler,1,2,Blueberry,Set A,Word,Ungelnin,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Blueberry.F.R_N.Ungelnin.M.L.wav
Exposure,Filler,1,2,Bullying,Set B,Word,Tounamplem,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Bullying.M.L_N.Tounamplem.F.R.wav
Exposure,Filler,1,2,Burglary,Set C,Word,Tymolape,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Burglary.M.R_N.Tymolape.F.L.wav
Exposure,Filler,1,3,Camera,Set A,Word,Tilegkalo,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Camera.F.R_N.Tilegkalo.M.L.wav
Exposure,Filler,1,3,Continually,Set B,Word,Ryligal,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Continually.M.L_N.Ryligal.F.R.wav
Exposure,Filler,1,3,Domineering,Set C,Word,Tamical,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Domineering.M.R_N.Tamical.F.L.wav
Exposure,Filler,1,4,Directory,Set A,Word,Rimkeluwar,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Directory.F.R_N.Rimkeluwar.M.L.wav
Exposure,Filler,1,4,Document,Set B,Word,Rawamtee,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Document.M.L_N.Rawamtee.F.R.wav
Exposure,Filler,1,4,Embody,Set C,Word,Rengime,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Embody.M.R_N.Rengime.F.L.wav
Exposure,Filler,1,5,Dynamite,Set A,Word,Rakil,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Dynamite.F.R_N.Rakil.M.L.wav
Exposure,Filler,1,5,Eighty,Set B,Word,Ploupelai,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Eighty.M.L_N.Ploupelai.F.R.wav
Exposure,Filler,1,5,Gullible,Set C,Word,Pourilar,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Gullible.M.R_N.Pourilar.F.L.wav
Exposure,Filler,1,6,Gardenia,Set A,Word,Perkum,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Gardenia.F.R_N.Perkum.M.L.wav
Exposure,Filler,1,6,Grammatical,Set B,Word,Omperoge,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Grammatical.M.L_N.Omperoge.F.R.wav
Exposure,Filler,1,6,Honeymoon,Set C,Word,Almikquary,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Honeymoon.M.R_N.Almikquary.F.L.wav
Exposure,Filler,1,7,Hamburger,Set A,Word,Nomerae,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Hamburger.F.R_N.Nomerae.M.L.wav
Exposure,Filler,1,7,Identical,Set B,Word,Nempring,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Identical.M.L_N.Nempring.F.R.wav
Exposure,Filler,1,7,Illuminate,Set C,Word,Niritaly,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Illuminate.M.R_N.Niritaly.F.L.wav
Exposure,Filler,1,8,Hurdle,Set A,Word,Namuary,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Hurdle.F.R_N.Namuary.M.L.wav
Exposure,Filler,1,8,Interior,Set B,Word,Mibgem,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Interior.M.L_N.Mibgem.F.R.wav
Exposure,Filler,1,8,Ironic,Set C,Word,Makid,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Ironic.M.R_N.Makid.F.L.wav
Exposure,Filler,1,9,Inhabit,Set A,Word,Logelai,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Inhabit.F.R_N.Logelai.M.L.wav
Exposure,Filler,1,9,Knowingly,Set B,Word,Meidnow,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Knowingly.M.L_N.Meidnow.F.R.wav
Exposure,Filler,1,9,Laminate,Set C,Word,Kaldemia,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Laminate.M.R_N.Kaldemia.F.L.wav
Exposure,Filler,1,10,Keyboard,Set A,Word,Lenediaw,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Keyboard.F.R_N.Lenediaw.M.L.wav
Exposure,Filler,1,10,Lethal,Set B,Word,Kermimer,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Lethal.M.L_N.Kermimer.F.R.wav
Exposure,Filler,1,10,Liability,Set C,Word,Imdalier,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Liability.M.R_N.Imdalier.F.L.wav
Exposure,Filler,1,11,Lengthen,Set A,Word,Kelabidel,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Lengthen.F.R_N.Kelabidel.M.L.wav
Exposure,Filler,1,11,Lobbying,Set B,Word,Itempider,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Lobbying.M.L_N.Itempider.F.R.wav
Exposure,Filler,1,11,Marina,Set C,Word,Kloumidiger,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Marina.M.R_N.Kloumidiger.F.L.wav
Exposure,Filler,1,12,Lingering,Set A,Word,Inpaki,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Lingering.F.R_N.Inpaki.M.L.wav
Exposure,Filler,1,12,Membrane,Set B,Word,Aknid,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Membrane.M.L_N.Aknid.F.R.wav
Exposure,Filler,1,12,Metrical,Set C,Word,Halomimoc,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Metrical.M.R_N.Halomimoc.F.L.wav
Exposure,Filler,1,13,Melancholy,Set A,Word,Hintarber,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Melancholy.F.R_N.Hintarber.M.L.wav
Exposure,Filler,1,13,Negate,Set B,Word,Ibirak,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Negate.M.L_N.Ibirak.F.R.wav
Exposure,Filler,1,13,Nightmare,Set C,Word,Gerbualo,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Nightmare.M.R_N.Gerbualo.F.L.wav
Exposure,Filler,1,14,Napkin,Set A,Word,Gardimuallay,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Napkin.F.R_N.Gardimuallay.M.L.wav
