Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,rep,filename
Exposure,Filler,1,1,America,Set A,Word,Wominid,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.America.M.L_N.Wominid.F.R.wav
Exposure,Filler,1,1,Bakery,Set B,Word,Wojalto,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Bakery.F.L_N.Wojalto.M.R.wav
Exposure,Filler,1,1,Ballerina,Set C,Word,Youmgel,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Ballerina.F.R_N.Youmgel.M.L.wav
Exposure,Filler,1,2,Blueberry,Set A,Word,Ungelnin,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Blueberry.M.L_N.Ungelnin.F.R.wav
Exposure,Filler,1,2,Bullying,Set B,Word,Tounamplem,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Bullying.F.L_N.Tounamplem.M.R.wav
Exposure,Filler,1,2,Burglary,Set C,Word,Tymolape,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Burglary.F.R_N.Tymolape.M.L.wav
Exposure,Filler,1,3,Camera,Set A,Word,Tilegkalo,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Camera.M.L_N.Tilegkalo.F.R.wav
Exposure,Filler,1,3,Continually,Set B,Word,Ryligal,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Continually.F.L_N.Ryligal.M.R.wav
Exposure,Filler,1,3,Domineering,Set C,Word,Tamical,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Domineering.F.R_N.Tamical.M.L.wav
Exposure,Filler,1,4,Directory,Set A,Word,Rimkeluwar,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Directory.M.L_N.Rimkeluwar.F.R.wav
Exposure,Filler,1,4,Document,Set B,Word,Rawamtee,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Document.F.L_N.Rawamtee.M.R.wav
Exposure,Filler,1,4,Embody,Set C,Word,Rengime,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Embody.F.R_N.Rengime.M.L.wav
Exposure,Filler,1,5,Dynamite,Set A,Word,Rakil,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Dynamite.M.L_N.Rakil.F.R.wav
Exposure,Filler,1,5,Eighty,Set B,Word,Ploupelai,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Eighty.F.L_N.Ploupelai.M.R.wav
Exposure,Filler,1,5,Gullible,Set C,Word,Pourilar,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Gullible.F.R_N.Pourilar.M.L.wav
Exposure,Filler,1,6,Gardenia,Set A,Word,Perkum,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Gardenia.M.L_N.Perkum.F.R.wav
Exposure,Filler,1,6,Grammatical,Set B,Word,Omperoge,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Grammatical.F.L_N.Omperoge.M.R.wav
Exposure,Filler,1,6,Honeymoon,Set C,Word,Almikquary,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Honeymoon.F.R_N.Almikquary.M.L.wav
