Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,rep,filename
Exposure,Filler,1,1,America,Set A,Word,Wominid,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.America.F.L_N.Wominid.M.R.wav
Exposure,Filler,1,1,Bakery,Set B,Word,Wojalto,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Bakery.M.R_N.Wojalto.F.L.wav
Exposure,Filler,1,1,Ballerina,Set C,Word,Youmgel,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Ballerina.M.L_N.Youmgel.F.R.wav
Exposure,Filler,1,2,Blueberry,Set A,Word,Ungelnin,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.Blueberry.F.L_N.Ungelnin.M.R.wav
Exposure,Filler,1,2,Bullying,Set B,Word,Tounamplem,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Bullying.M.R_N.Tounamplem.F.L.wav
Exposure,Filler,1,2,Burglary,Set C,Word,Tymolape,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Burglary.M.L_N.Tymolape.F.R.wav
Exposure,Filler,1,3,Camera,Set A,Word,Tilegkalo,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.Camera.F.L_N.Tilegkalo.M.R.wav
Exposure,Filler,1,3,Continually,Set B,Word,Ryligal,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Continually.M.R_N.Ryligal.F.L.wav
Exposure,Filler,1,3,Domineering,Set C,Word,Tamical,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Domineering.M.L_N.Tamical.F.R.wav
Exposure,Filler,1,4,Directory,Set A,Word,Rimkeluwar,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.Directory.F.L_N.Rimkeluwar.M.R.wav
Exposure,Filler,1,4,Document,Set B,Word,Rawamtee,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Document.M.R_N.Rawamtee.F.L.wav
Exposure,Filler,1,4,Embody,Set C,Word,Rengime,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Embody.M.L_N.Rengime.F.R.wav
Exposure,Filler,1,5,Dynamite,Set A,Word,Rakil,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.Dynamite.F.L_N.Rakil.M.R.wav
