Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,rep,filename
Exposure,Filler,1,1,America,Set A,Word,Wominid,Set A,Nonword,Male,Left,Female,Right,04,1,Filler_A.04_W.America.M.L_N.Wominid.F.R.wav
Exposure,Filler,1,1,Bakery,Set B,Word,Wojalto,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Bakery.F.R_N.Wojalto.M.L.wav
Exposure,Filler,1,1,Ballerina,Set C,Word,Youmgel,Set C,Nonword,Female,Left,Male,Right,02,1,Filler_C.02_W.Ballerina.F.L_N.Youmgel.M.R.wav
Exposure,Filler,1,2,Blueberry,Set A,Word,Ungelnin,Set A,Nonword,Male,Left,Female,Right,04,1,Filler_A.04_W.Blueberry.M.L_N.Ungelnin.F.R.wav
Exposure,Filler,1,2,Bullying,Set B,Word,Tounamplem,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Bullying.F.R_N.Tounamplem.M.L.wav
Exposure,Filler,1,2,Burglary,Set C,Word,Tymolape,Set C,Nonword,Female,Left,Male,Right,02,1,Filler_C.02_W.Burglary.F.L_N.Tymolape.M.R.wav
Exposure,Filler,1,3,Camera,Set A,Word,Tilegkalo,Set A,Nonword,Male,Left,Female,Right,04,1,Filler_A.04_W.Camera.M.L_N.Tilegkalo.F.R.wav
Exposure,Filler,1,3,Continually,Set B,Word,Ryligal,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Continually.F.R_N.Ryligal.M.L.wav
Exposure,Filler,1,3,Domineering,Set C,Word,Tamical,Set C,Nonword,Female,Left,Male,Right,02,1,Filler_C.02_W.Domineering.F.L_N.Tamical.M.R.wav
Exposure,Filler,1,4,Directory,Set A,Word,Rimkeluwar,Set A,Nonword,Male,Left,Female,Right,04,1,Filler_A.04_W.Directory.M.L_N.Rimkeluwar.F.R.wav
Exposure,Filler,1,4,Document,Set B,Word,Rawamtee,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Document.F.R_N.Rawamtee.M.L.wav
