"","Attended.Talker","Expected.Response","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","reps","feedback","filename"
"1","Male","Word","Exposure","Critical",1,1,"Ambition","Materials A","Sh","Parasite","Materials B","S","Unshifted","Female","Right","Male","Left",1,FALSE,"Critical_05_A_S.Parasite.M.L_Sh.Ambition.F.R.wav"
"2","Male","Word","Exposure","Critical",1,2,"Machinery","Materials A","Sh","Obscene","Materials B","S","Unshifted","Female","Right","Male","Left",1,FALSE,"Critical_05_A_S.Obscene.M.L_Sh.Machinery.F.R.wav"
"3","Male","Word","Exposure","Critical",1,3,"Brochure","Materials A","Sh","Medicine","Materials B","S","Unshifted","Female","Right","Male","Left",1,FALSE,"Critical_05_A_S.Medicine.M.L_Sh.Brochure.F.R.wav"
"4","Male","Word","Exposure","Critical",1,4,"Official","Materials A","Sh","Tennessee","Materials B","S","Unshifted","Female","Right","Male","Left",1,FALSE,"Critical_05_A_S.Tennessee.M.L_Sh.Official.F.R.wav"
"5","Male","Word","Exposure","Critical",1,5,"Crucial","Materials A","Sh","Penninsula","Materials B","S","Unshifted","Female","Right","Male","Left",1,FALSE,"Critical_05_A_S.Penninsula.M.L_Sh.Crucial.F.R.wav"
"6","Male","Word","Exposure","Critical",1,6,"Pediatrician","Materials A","Sh","Hallucinate","Materials B","S","Unshifted","Female","Right","Male","Left",1,FALSE,"Critical_05_A_S.Hallucinate.M.L_Sh.Pediatrician.F.R.wav"
"7","Male","Word","Exposure","Critical",1,7,"Flourishing","Materials A","Sh","Arkansas","Materials B","S","Unshifted","Female","Right","Male","Left",1,FALSE,"Critical_05_A_S.Arkansas.M.L_Sh.Flourishing.F.R.wav"
"8","Male","Word","Exposure","Critical",1,8,"Reassure","Materials A","Sh","Compensate","Materials B","S","Unshifted","Female","Right","Male","Left",1,FALSE,"Critical_05_A_S.Compensate.M.L_Sh.Reassure.F.R.wav"
"9","Male","Word","Exposure","Critical",1,9,"Graduation","Materials A","Sh","Dinosaur","Materials B","S","Unshifted","Female","Right","Male","Left",1,FALSE,"Critical_05_A_S.Dinosaur.M.L_Sh.Graduation.F.R.wav"
"10","Male","Word","Exposure","Critical",1,10,"Vacation","Materials A","Sh","Rehearsal","Materials B","S","Unshifted","Female","Right","Male","Left",1,FALSE,"Critical_05_A_S.Rehearsal.M.L_Sh.Vacation.F.R.wav"
