"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"1","Exposure","Critical",1,1,"Ambition","Materials A","Sh","Parasite","Materials B","S","Shifted","Male","Left","Female","Right",1,"Critical_08_A_Ash.Ambition.M.L_As.Parasite.F.R.wav"
"2","Exposure","Critical",1,2,"Machinery","Materials A","Sh","Obscene","Materials B","S","Shifted","Male","Left","Female","Right",1,"Critical_08_A_Ash.Machinery.M.L_As.Obscene.F.R.wav"
"3","Exposure","Critical",1,3,"Brochure","Materials A","Sh","Medicine","Materials B","S","Shifted","Male","Left","Female","Right",1,"Critical_08_A_Ash.Brochure.M.L_As.Medicine.F.R.wav"
"4","Exposure","Critical",1,4,"Official","Materials A","Sh","Tennessee","Materials B","S","Shifted","Male","Left","Female","Right",1,"Critical_08_A_Ash.Official.M.L_As.Tennessee.F.R.wav"
"5","Exposure","Critical",1,5,"Crucial","Materials A","Sh","Penninsula","Materials B","S","Shifted","Male","Left","Female","Right",1,"Critical_08_A_Ash.Crucial.M.L_As.Penninsula.F.R.wav"
"6","Exposure","Critical",1,6,"Pediatrician","Materials A","Sh","Hallucinate","Materials B","S","Shifted","Male","Left","Female","Right",1,"Critical_08_A_Ash.Pediatrician.M.L_As.Hallucinate.F.R.wav"
"7","Exposure","Critical",1,7,"Flourishing","Materials A","Sh","Arkansas","Materials B","S","Shifted","Male","Left","Female","Right",1,"Critical_08_A_Ash.Flourishing.M.L_As.Arkansas.F.R.wav"
"8","Exposure","Critical",1,8,"Reassure","Materials A","Sh","Compensate","Materials B","S","Shifted","Male","Left","Female","Right",1,"Critical_08_A_Ash.Reassure.M.L_As.Compensate.F.R.wav"
"9","Exposure","Critical",1,9,"Graduation","Materials A","Sh","Dinosaur","Materials B","S","Shifted","Male","Left","Female","Right",1,"Critical_08_A_Ash.Graduation.M.L_As.Dinosaur.F.R.wav"
"10","Exposure","Critical",1,10,"Vacation","Materials A","Sh","Rehearsal","Materials B","S","Shifted","Male","Left","Female","Right",1,"Critical_08_A_Ash.Vacation.M.L_As.Rehearsal.F.R.wav"
"11","Exposure","Critical",1,11,"Pregnancy","Materials B","S","Initial","Materials A","Sh","Unshifted","Male","Left","Female","Right",1,"Critical_08_B_S.Pregnancy.M.L_Sh.Initial.F.R.wav"
"12","Exposure","Critical",1,12,"Democracy","Materials B","S","Beneficial","Materials A","Sh","Unshifted","Male","Left","Female","Right",1,"Critical_08_B_S.Democracy.M.L_Sh.Beneficial.F.R.wav"
"13","Exposure","Critical",1,13,"Embassy","Materials B","S","Negotiate","Materials A","Sh","Unshifted","Male","Left","Female","Right",1,"Critical_08_B_S.Embassy.M.L_Sh.Negotiate.F.R.wav"
"14","Exposure","Critical",1,14,"Legacy","Materials B","S","Commercial","Materials A","Sh","Unshifted","Male","Left","Female","Right",1,"Critical_08_B_S.Legacy.M.L_Sh.Commercial.F.R.wav"
"15","Exposure","Critical",1,15,"Reconcile","Materials B","S","Parachute","Materials A","Sh","Unshifted","Male","Left","Female","Right",1,"Critical_08_B_S.Reconcile.M.L_Sh.Parachute.F.R.wav"
"16","Exposure","Critical",1,16,"Personal","Materials B","S","Efficient","Materials A","Sh","Unshifted","Male","Left","Female","Right",1,"Critical_08_B_S.Personal.M.L_Sh.Efficient.F.R.wav"
"17","Exposure","Critical",1,17,"Eraser","Materials B","S","Publisher","Materials A","Sh","Unshifted","Male","Left","Female","Right",1,"Critical_08_B_S.Eraser.M.L_Sh.Publisher.F.R.wav"
"18","Exposure","Critical",1,18,"Episode","Materials B","S","Glacier","Materials A","Sh","Unshifted","Male","Left","Female","Right",1,"Critical_08_B_S.Episode.M.L_Sh.Glacier.F.R.wav"
"19","Exposure","Critical",1,19,"Literacy","Materials B","S","Refreshing","Materials A","Sh","Unshifted","Male","Left","Female","Right",1,"Critical_08_B_S.Literacy.M.L_Sh.Refreshing.F.R.wav"
"20","Exposure","Critical",1,20,"Coliseum","Materials B","S","Impatient","Materials A","Sh","Unshifted","Male","Left","Female","Right",1,"Critical_08_B_S.Coliseum.M.L_Sh.Impatient.F.R.wav"
"21","Exposure","Filler",1,1,"America","Set A","Word","Wominid","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.America.F.L_N.Wominid.M.R.wav"
"22","Exposure","Filler",1,1,"Bakery","Set B","Word","Wojalto","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Bakery.M.L_N.Wojalto.F.R.wav"
"23","Exposure","Filler",1,1,"Ballerina","Set C","Word","Youmgel","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Ballerina.M.R_N.Youmgel.F.L.wav"
"24","Exposure","Filler",1,2,"Blueberry","Set A","Word","Ungelnin","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Blueberry.F.L_N.Ungelnin.M.R.wav"
