"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"1","Exposure","Critical",1,1,"Ambition","Materials A","Sh","Parasite","Materials B","S","Unshifted","Male","Right","Female","Left",1,"Critical_03.NAS.Parasite.F.L_A_Sh.Ambition.M.R.wav"
"2","Exposure","Critical",1,2,"Machinery","Materials A","Sh","Obscene","Materials B","S","Unshifted","Male","Right","Female","Left",1,"Critical_03.NAS.Obscene.F.L_A_Sh.Machinery.M.R.wav"
"3","Exposure","Critical",1,3,"Brochure","Materials A","Sh","Medicine","Materials B","S","Unshifted","Male","Right","Female","Left",1,"Critical_03.NAS.Medicine.F.L_A_Sh.Brochure.M.R.wav"
"4","Exposure","Critical",1,4,"Official","Materials A","Sh","Tennessee","Materials B","S","Unshifted","Male","Right","Female","Left",1,"Critical_03.NAS.Tennessee.F.L_A_Sh.Official.M.R.wav"
"5","Exposure","Critical",1,5,"Crucial","Materials A","Sh","Penninsula","Materials B","S","Unshifted","Male","Right","Female","Left",1,"Critical_03.NAS.Penninsula.F.L_A_Sh.Crucial.M.R.wav"
"6","Exposure","Critical",1,6,"Pediatrician","Materials A","Sh","Hallucinate","Materials B","S","Unshifted","Male","Right","Female","Left",1,"Critical_03.NAS.Hallucinate.F.L_A_Sh.Pediatrician.M.R.wav"
"7","Exposure","Critical",1,7,"Flourishing","Materials A","Sh","Arkansas","Materials B","S","Unshifted","Male","Right","Female","Left",1,"Critical_03.NAS.Arkansas.F.L_A_Sh.Flourishing.M.R.wav"
"8","Exposure","Critical",1,8,"Reassure","Materials A","Sh","Compensate","Materials B","S","Unshifted","Male","Right","Female","Left",1,"Critical_03.NAS.Compensate.F.L_A_Sh.Reassure.M.R.wav"
"9","Exposure","Critical",1,9,"Graduation","Materials A","Sh","Dinosaur","Materials B","S","Unshifted","Male","Right","Female","Left",1,"Critical_03.NAS.Dinosaur.F.L_A_Sh.Graduation.M.R.wav"
"10","Exposure","Critical",1,10,"Vacation","Materials A","Sh","Rehearsal","Materials B","S","Unshifted","Male","Right","Female","Left",1,"Critical_03.NAS.Rehearsal.F.L_A_Sh.Vacation.M.R.wav"
"11","Exposure","Critical",1,11,"Pregnancy","Materials B","S","Initial","Materials A","Sh","Shifted","Male","Right","Female","Left",1,"Critical_03.A_Ash.Initial.F.L_B_As.Pregnancy.M.R.wav"
"12","Exposure","Critical",1,12,"Democracy","Materials B","S","Beneficial","Materials A","Sh","Shifted","Male","Right","Female","Left",1,"Critical_03.A_Ash.Beneficial.F.L_B_As.Democracy.M.R.wav"
"13","Exposure","Critical",1,13,"Embassy","Materials B","S","Negotiate","Materials A","Sh","Shifted","Male","Right","Female","Left",1,"Critical_03.A_Ash.Negotiate.F.L_B_As.Embassy.M.R.wav"
"14","Exposure","Critical",1,14,"Legacy","Materials B","S","Commercial","Materials A","Sh","Shifted","Male","Right","Female","Left",1,"Critical_03.A_Ash.Commercial.F.L_B_As.Legacy.M.R.wav"
"15","Exposure","Critical",1,15,"Reconcile","Materials B","S","Parachute","Materials A","Sh","Shifted","Male","Right","Female","Left",1,"Critical_03.A_Ash.Parachute.F.L_B_As.Reconcile.M.R.wav"
