"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"1","Exposure","Critical",1,1,"Ambition","Materials A","Sh","Parasite","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Ambition.M.L_NAS.Parasite.F.R.wav"
"2","Exposure","Critical",1,2,"Machinery","Materials A","Sh","Obscene","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Machinery.M.L_NAS.Obscene.F.R.wav"
"3","Exposure","Critical",1,3,"Brochure","Materials A","Sh","Medicine","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Brochure.M.L_NAS.Medicine.F.R.wav"
"4","Exposure","Critical",1,4,"Official","Materials A","Sh","Tennessee","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Official.M.L_NAS.Tennessee.F.R.wav"
"5","Exposure","Critical",1,5,"Crucial","Materials A","Sh","Penninsula","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Crucial.M.L_NAS.Penninsula.F.R.wav"
"6","Exposure","Critical",1,6,"Pediatrician","Materials A","Sh","Hallucinate","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Pediatrician.M.L_NAS.Hallucinate.F.R.wav"
"7","Exposure","Critical",1,7,"Flourishing","Materials A","Sh","Arkansas","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Flourishing.M.L_NAS.Arkansas.F.R.wav"
"8","Exposure","Critical",1,8,"Reassure","Materials A","Sh","Compensate","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Reassure.M.L_NAS.Compensate.F.R.wav"
"9","Exposure","Critical",1,9,"Graduation","Materials A","Sh","Dinosaur","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Graduation.M.L_NAS.Dinosaur.F.R.wav"
"10","Exposure","Critical",1,10,"Vacation","Materials A","Sh","Rehearsal","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Vacation.M.L_NAS.Rehearsal.F.R.wav"
"11","Exposure","Critical",1,11,"Pregnancy","Materials B","S","Initial","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Pregnancy.M.L_A_Ash.Initial.F.R.wav"
"12","Exposure","Critical",1,12,"Democracy","Materials B","S","Beneficial","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Democracy.M.L_A_Ash.Beneficial.F.R.wav"
"13","Exposure","Critical",1,13,"Embassy","Materials B","S","Negotiate","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Embassy.M.L_A_Ash.Negotiate.F.R.wav"
"14","Exposure","Critical",1,14,"Legacy","Materials B","S","Commercial","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Legacy.M.L_A_Ash.Commercial.F.R.wav"
"15","Exposure","Critical",1,15,"Reconcile","Materials B","S","Parachute","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Reconcile.M.L_A_Ash.Parachute.F.R.wav"
"16","Exposure","Critical",1,16,"Personal","Materials B","S","Efficient","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Personal.M.L_A_Ash.Efficient.F.R.wav"
"17","Exposure","Critical",1,17,"Eraser","Materials B","S","Publisher","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Eraser.M.L_A_Ash.Publisher.F.R.wav"
"18","Exposure","Critical",1,18,"Episode","Materials B","S","Glacier","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Episode.M.L_A_Ash.Glacier.F.R.wav"
"19","Exposure","Critical",1,19,"Literacy","Materials B","S","Refreshing","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Literacy.M.L_A_Ash.Refreshing.F.R.wav"
"20","Exposure","Critical",1,20,"Coliseum","Materials B","S","Impatient","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Coliseum.M.L_A_Ash.Impatient.F.R.wav"
"21","Exposure","Filler",1,1,"America","Set A","Word","Wominid","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.America.M.L_N.Wominid.F.R.wav"
"22","Exposure","Filler",1,1,"Bakery","Set B","Word","Wojalto","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Bakery.F.R_N.Wojalto.M.L.wav"
"23","Exposure","Filler",1,1,"Ballerina","Set C","Word","Youmgel","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Ballerina.F.L_N.Youmgel.M.R.wav"
"24","Exposure","Filler",1,2,"Blueberry","Set A","Word","Ungelnin","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Blueberry.M.L_N.Ungelnin.F.R.wav"
"25","Exposure","Filler",1,2,"Bullying","Set B","Word","Tounamplem","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Bullying.F.R_N.Tounamplem.M.L.wav"
"26","Exposure","Filler",1,2,"Burglary","Set C","Word","Tymolape","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Burglary.F.L_N.Tymolape.M.R.wav"
"27","Exposure","Filler",1,3,"Camera","Set A","Word","Tilegkalo","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Camera.M.L_N.Tilegkalo.F.R.wav"
"28","Exposure","Filler",1,3,"Continually","Set B","Word","Ryligal","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Continually.F.R_N.Ryligal.M.L.wav"
"29","Exposure","Filler",1,3,"Domineering","Set C","Word","Tamical","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Domineering.F.L_N.Tamical.M.R.wav"
"30","Exposure","Filler",1,4,"Directory","Set A","Word","Rimkeluwar","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Directory.M.L_N.Rimkeluwar.F.R.wav"
"31","Exposure","Filler",1,4,"Document","Set B","Word","Rawamtee","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Document.F.R_N.Rawamtee.M.L.wav"
"32","Exposure","Filler",1,4,"Embody","Set C","Word","Rengime","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Embody.F.L_N.Rengime.M.R.wav"
