"","workerid","proliferate.condition","AttendedTalkerEar","error"
"1",495,"Condition.54_M_L_A_Sh_01_B_0_1","L",NA
"2",451,"Condition.47_M_L_A_S_05_B_1_0","L",NA
"3",445,"Condition.61_M_L_A_Sh_05_B_0_0","L",NA
"4",455,"Condition.49_M_L_A_Sh_01_A_0_0","L",NA
"5",493,"Condition.57_M_L_A_Sh_05_A_0_0","L",NA
"6",535,"Condition.34_M_L_A_S_01_A_0_1","L",NA
"7",546,"Condition.15_F_L_A_S_05_B_1_0","L",NA
"8",544,"Condition.58_M_L_A_Sh_05_A_0_1","L",NA
"9",501,"Condition.8_F_L_A_S_01_B_1_1","L",NA
"10",531,"Condition.41_M_L_A_S_05_A_0_0","L",NA
"11",490,"Condition.21_F_L_A_Sh_01_B_0_0","L",NA
"12",461,"Condition.31_F_L_A_Sh_05_B_1_0","L",NA
"13",539,"Condition.7_F_L_A_S_01_B_1_0","L",NA
"14",533,"Condition.12_F_L_A_S_05_A_1_1","L",NA
"15",509,"Condition.12_F_L_A_S_05_A_1_1","L",NA
"16",446,"Condition.20_F_L_A_Sh_01_A_1_1","L",NA
"17",483,"Condition.40_M_L_A_S_01_B_1_1","L",NA
"18",534,"Condition.30_F_L_A_Sh_05_B_0_1","L",NA
"19",481,"Condition.42_M_L_A_S_05_A_0_1","L",NA
"20",523,"Condition.23_F_L_A_Sh_01_B_1_0","L",NA
"21",517,"Condition.23_F_L_A_Sh_01_B_1_0","L",NA
"22",469,"Condition.62_M_L_A_Sh_05_B_0_1","L",NA
"23",452,"Condition.52_M_L_A_Sh_01_A_1_1","L",NA
"24",511,"Condition.33_M_L_A_S_01_A_0_0","L",NA
"25",470,"Condition.37_M_L_A_S_01_B_0_0","L",NA
"26",465,"Condition.39_M_L_A_S_01_B_1_0","L",NA
"27",456,"Condition.13_F_L_A_S_05_B_0_0","L",NA
"28",454,"Condition.29_F_L_A_Sh_05_B_0_0","L",NA
"29",472,"Condition.53_M_L_A_Sh_01_B_0_0","L",NA
"30",537,"Condition.55_M_L_A_Sh_01_B_1_0","L",NA
"31",467,"Condition.56_M_L_A_Sh_01_B_1_1","L",NA
"32",548,"Condition.22_F_L_A_Sh_01_B_0_1","L",NA
"33",460,"Condition.19_F_L_A_Sh_01_A_1_0","L",NA
"34",447,"Condition.16_F_L_A_S_05_B_1_1","L",NA
"35",443,"Condition.11_F_L_A_S_05_A_1_0","L",NA
"36",453,"Condition.10_F_L_A_S_05_A_0_1","L",NA
"37",494,"Condition.18_F_L_A_Sh_01_A_0_1","L",NA
"38",550,"Condition.36_M_L_A_S_01_A_1_1","L",NA
"39",549,"Condition.59_M_L_A_Sh_05_A_1_0","L",NA
"40",543,"Condition.6_F_L_A_S_01_B_0_1","L",NA
"41",448,"Condition.3_F_L_A_S_01_A_1_0","L",NA
"42",524,"Condition.24_F_L_A_Sh_01_B_1_1","L",NA
"43",521,"Condition.24_F_L_A_Sh_01_B_1_1","L",NA
"44",482,"Condition.46_M_L_A_S_05_B_0_1","L",NA
"45",540,"Condition.35_M_L_A_S_01_A_1_0","L",NA
"46",508,"Condition.5_F_L_A_S_01_B_0_0","L",NA
"47",458,"Condition.26_F_L_A_Sh_05_A_0_1","L",NA
"48",449,"Condition.60_M_L_A_Sh_05_A_1_1","L",NA
"49",444,"Condition.2_F_L_A_S_01_A_0_1","L",NA
"50",485,"Condition.9_F_L_A_S_05_A_0_0","L",NA
"51",504,"Condition.50_M_L_A_Sh_01_A_0_1","L",NA
"52",541,"Condition.45_M_L_A_S_05_B_0_0","L",NA
"53",463,"Condition.51_M_L_A_Sh_01_A_1_0","L",NA
"54",408,"Condition.23_F_L_A_Sh_01_B_1_0","L",NA
"55",420,"Condition.12_F_L_A_S_05_A_1_1","L",NA
"56",405,"Condition.41_M_L_A_S_05_A_0_0","L",NA
"57",430,"Condition.43_M_L_A_S_05_A_1_0","L",NA
"58",419,"Condition.24_F_L_A_Sh_01_B_1_1","L",NA
"59",421,"Condition.44_M_L_A_S_05_A_1_1","L",NA
"60",431,"Condition.32_F_L_A_Sh_05_B_1_1","L",NA
"61",423,"Condition.30_F_L_A_Sh_05_B_0_1","L",NA
"62",415,"Condition.5_F_L_A_S_01_B_0_0","L",NA
"63",414,"Condition.48_M_L_A_S_05_B_1_1","L",NA
"64",440,"Condition.14_F_L_A_S_05_B_0_1","L",NA
