"","workerid","proliferate.condition","audio_stall","error"
"1",495,"Condition.54_M_L_A_Sh_01_B_0_1","no",NA
"2",451,"Condition.47_M_L_A_S_05_B_1_0","no",NA
"3",445,"Condition.61_M_L_A_Sh_05_B_0_0","no",NA
"4",455,"Condition.49_M_L_A_Sh_01_A_0_0","no",NA
"5",493,"Condition.57_M_L_A_Sh_05_A_0_0","no",NA
"6",535,"Condition.34_M_L_A_S_01_A_0_1","no",NA
"7",546,"Condition.15_F_L_A_S_05_B_1_0","no",NA
"8",544,"Condition.58_M_L_A_Sh_05_A_0_1","no",NA
"9",501,"Condition.8_F_L_A_S_01_B_1_1","no",NA
"11",490,"Condition.21_F_L_A_Sh_01_B_0_0","no",NA
"12",461,"Condition.31_F_L_A_Sh_05_B_1_0","no",NA
"13",539,"Condition.7_F_L_A_S_01_B_1_0","no",NA
"16",446,"Condition.20_F_L_A_Sh_01_A_1_1","no",NA
"17",483,"Condition.40_M_L_A_S_01_B_1_1","no",NA
"19",481,"Condition.42_M_L_A_S_05_A_0_1","no",NA
"22",469,"Condition.62_M_L_A_Sh_05_B_0_1","no",NA
"23",452,"Condition.52_M_L_A_Sh_01_A_1_1","no",NA
"24",511,"Condition.33_M_L_A_S_01_A_0_0","no",NA
"25",470,"Condition.37_M_L_A_S_01_B_0_0","no",NA
"26",465,"Condition.39_M_L_A_S_01_B_1_0","no",NA
"27",456,"Condition.13_F_L_A_S_05_B_0_0","no",NA
"28",454,"Condition.29_F_L_A_Sh_05_B_0_0","no",NA
"29",472,"Condition.53_M_L_A_Sh_01_B_0_0","no",NA
"30",537,"Condition.55_M_L_A_Sh_01_B_1_0","no",NA
"31",467,"Condition.56_M_L_A_Sh_01_B_1_1","no",NA
"32",548,"Condition.22_F_L_A_Sh_01_B_0_1","no",NA
"33",460,"Condition.19_F_L_A_Sh_01_A_1_0","no",NA
"34",447,"Condition.16_F_L_A_S_05_B_1_1","no",NA
"35",443,"Condition.11_F_L_A_S_05_A_1_0","no",NA
"36",453,"Condition.10_F_L_A_S_05_A_0_1","no",NA
"37",494,"Condition.18_F_L_A_Sh_01_A_0_1","no",NA
"38",550,"Condition.36_M_L_A_S_01_A_1_1","no",NA
"39",549,"Condition.59_M_L_A_Sh_05_A_1_0","no",NA
"40",543,"Condition.6_F_L_A_S_01_B_0_1","no",NA
"41",448,"Condition.3_F_L_A_S_01_A_1_0","no",NA
"44",482,"Condition.46_M_L_A_S_05_B_0_1","no",NA
"45",540,"Condition.35_M_L_A_S_01_A_1_0","no",NA
"47",458,"Condition.26_F_L_A_Sh_05_A_0_1","no",NA
"48",449,"Condition.60_M_L_A_Sh_05_A_1_1","no",NA
"49",444,"Condition.2_F_L_A_S_01_A_0_1","no",NA
"50",485,"Condition.9_F_L_A_S_05_A_0_0","no",NA
"51",504,"Condition.50_M_L_A_Sh_01_A_0_1","no",NA
"52",541,"Condition.45_M_L_A_S_05_B_0_0","no",NA
"53",463,"Condition.51_M_L_A_Sh_01_A_1_0","no",NA
