"","workerid","proliferate.condition","comments","error"
"1",495,"Condition.54_M_L_A_Sh_01_B_0_1","",NA
"2",451,"Condition.47_M_L_A_S_05_B_1_0","None at this time. Thank you!",NA
"3",445,"Condition.61_M_L_A_Sh_05_B_0_0","n/a",NA
"4",455,"Condition.49_M_L_A_Sh_01_A_0_0","",NA
"5",493,"Condition.57_M_L_A_Sh_05_A_0_0","My mom came in during the second part so I might have gotten a few wrong. I am not sure if I got the word/non-word mixed up in the beginning part of part 1",NA
"6",535,"Condition.34_M_L_A_S_01_A_0_1","",NA
"7",546,"Condition.15_F_L_A_S_05_B_1_0","",NA
"8",544,"Condition.58_M_L_A_Sh_05_A_0_1","",NA
"9",501,"Condition.8_F_L_A_S_01_B_1_1","I enjoyed the study very much",NA
"11",490,"Condition.21_F_L_A_Sh_01_B_0_0","",NA
"12",461,"Condition.31_F_L_A_Sh_05_B_1_0","",NA
"13",539,"Condition.7_F_L_A_S_01_B_1_0","this was fun!",NA
"16",446,"Condition.20_F_L_A_Sh_01_A_1_1","This was really interesting, thanks! Also, the instructions were very clear.",NA
"17",483,"Condition.40_M_L_A_S_01_B_1_1","",NA
"19",481,"Condition.42_M_L_A_S_05_A_0_1","",NA
"22",469,"Condition.62_M_L_A_Sh_05_B_0_1","",NA
"23",452,"Condition.52_M_L_A_Sh_01_A_1_1","No comments",NA
"24",511,"Condition.33_M_L_A_S_01_A_0_0","",NA
"25",470,"Condition.37_M_L_A_S_01_B_0_0","",NA
"26",465,"Condition.39_M_L_A_S_01_B_1_0","I had a hard time telling the difference between S and SH whenever both speakers talked",NA
"27",456,"Condition.13_F_L_A_S_05_B_0_0","none.",NA
"28",454,"Condition.29_F_L_A_Sh_05_B_0_0","this was interesting",NA
"29",472,"Condition.53_M_L_A_Sh_01_B_0_0","",NA
"30",537,"Condition.55_M_L_A_Sh_01_B_1_0","",NA
"31",467,"Condition.56_M_L_A_Sh_01_B_1_1","",NA
"32",548,"Condition.22_F_L_A_Sh_01_B_0_1","",NA
"33",460,"Condition.19_F_L_A_Sh_01_A_1_0","",NA
"34",447,"Condition.16_F_L_A_S_05_B_1_1","",NA
"35",443,"Condition.11_F_L_A_S_05_A_1_0","Great audio and interesting exercises and I understood everything. Thanks and I hope you have a great day! :)",NA
"36",453,"Condition.10_F_L_A_S_05_A_0_1","",NA
"37",494,"Condition.18_F_L_A_Sh_01_A_0_1","I really enjoyed the experiment and hope to see more in the future.",NA
"38",550,"Condition.36_M_L_A_S_01_A_1_1","",NA
"39",549,"Condition.59_M_L_A_Sh_05_A_1_0","",NA
"40",543,"Condition.6_F_L_A_S_01_B_0_1","",NA
"41",448,"Condition.3_F_L_A_S_01_A_1_0","N/A",NA
"44",482,"Condition.46_M_L_A_S_05_B_0_1","Thank you.",NA
"45",540,"Condition.35_M_L_A_S_01_A_1_0","",NA
"47",458,"Condition.26_F_L_A_Sh_05_A_0_1","",NA
"48",449,"Condition.60_M_L_A_Sh_05_A_1_1","",NA
"49",444,"Condition.2_F_L_A_S_01_A_0_1","there were a few words that I selected as ""non-words"" because I was throw off by the pronunciation differences. ",NA
"50",485,"Condition.9_F_L_A_S_05_A_0_0","",NA
"51",504,"Condition.50_M_L_A_Sh_01_A_0_1","None.",NA
"52",541,"Condition.45_M_L_A_S_05_B_0_0","",NA
"53",463,"Condition.51_M_L_A_Sh_01_A_1_0","",NA
