"","workerid","proliferate.condition","platform","error"
"1",495,"Condition.54_M_L_A_Sh_01_B_0_1","prolific",NA
"2",451,"Condition.47_M_L_A_S_05_B_1_0","prolific",NA
"3",445,"Condition.61_M_L_A_Sh_05_B_0_0","prolific",NA
"4",455,"Condition.49_M_L_A_Sh_01_A_0_0","prolific",NA
"5",493,"Condition.57_M_L_A_Sh_05_A_0_0","prolific",NA
"6",535,"Condition.34_M_L_A_S_01_A_0_1","prolific",NA
"7",546,"Condition.15_F_L_A_S_05_B_1_0","prolific",NA
"8",544,"Condition.58_M_L_A_Sh_05_A_0_1","prolific",NA
"9",501,"Condition.8_F_L_A_S_01_B_1_1","prolific",NA
"11",490,"Condition.21_F_L_A_Sh_01_B_0_0","prolific",NA
"12",461,"Condition.31_F_L_A_Sh_05_B_1_0","prolific",NA
"13",539,"Condition.7_F_L_A_S_01_B_1_0","prolific",NA
"16",446,"Condition.20_F_L_A_Sh_01_A_1_1","prolific",NA
"17",483,"Condition.40_M_L_A_S_01_B_1_1","prolific",NA
"19",481,"Condition.42_M_L_A_S_05_A_0_1","prolific",NA
"22",469,"Condition.62_M_L_A_Sh_05_B_0_1","prolific",NA
"23",452,"Condition.52_M_L_A_Sh_01_A_1_1","prolific",NA
"24",511,"Condition.33_M_L_A_S_01_A_0_0","prolific",NA
"25",470,"Condition.37_M_L_A_S_01_B_0_0","prolific",NA
"26",465,"Condition.39_M_L_A_S_01_B_1_0","prolific",NA
"27",456,"Condition.13_F_L_A_S_05_B_0_0","prolific",NA
"28",454,"Condition.29_F_L_A_Sh_05_B_0_0","prolific",NA
"29",472,"Condition.53_M_L_A_Sh_01_B_0_0","prolific",NA
"30",537,"Condition.55_M_L_A_Sh_01_B_1_0","prolific",NA
"31",467,"Condition.56_M_L_A_Sh_01_B_1_1","prolific",NA
"32",548,"Condition.22_F_L_A_Sh_01_B_0_1","prolific",NA
"33",460,"Condition.19_F_L_A_Sh_01_A_1_0","prolific",NA
"34",447,"Condition.16_F_L_A_S_05_B_1_1","prolific",NA
"35",443,"Condition.11_F_L_A_S_05_A_1_0","prolific",NA
"36",453,"Condition.10_F_L_A_S_05_A_0_1","prolific",NA
"37",494,"Condition.18_F_L_A_Sh_01_A_0_1","prolific",NA
"38",550,"Condition.36_M_L_A_S_01_A_1_1","prolific",NA
"39",549,"Condition.59_M_L_A_Sh_05_A_1_0","prolific",NA
"40",543,"Condition.6_F_L_A_S_01_B_0_1","prolific",NA
"41",448,"Condition.3_F_L_A_S_01_A_1_0","prolific",NA
"44",482,"Condition.46_M_L_A_S_05_B_0_1","prolific",NA
"45",540,"Condition.35_M_L_A_S_01_A_1_0","prolific",NA
"47",458,"Condition.26_F_L_A_Sh_05_A_0_1","prolific",NA
"48",449,"Condition.60_M_L_A_Sh_05_A_1_1","prolific",NA
"49",444,"Condition.2_F_L_A_S_01_A_0_1","prolific",NA
"50",485,"Condition.9_F_L_A_S_05_A_0_0","prolific",NA
"51",504,"Condition.50_M_L_A_Sh_01_A_0_1","prolific",NA
"52",541,"Condition.45_M_L_A_S_05_B_0_0","prolific",NA
"53",463,"Condition.51_M_L_A_Sh_01_A_1_0","prolific",NA
