"","workerid","proliferate.condition","randomID","error"
"1",495,"Condition.54_M_L_A_Sh_01_B_0_1","UZ67u1AlQzjQutZC",NA
"2",451,"Condition.47_M_L_A_S_05_B_1_0","NHlGTDOTZguxyync",NA
"3",445,"Condition.61_M_L_A_Sh_05_B_0_0","gWk08T4SCiX5l9WO",NA
"4",455,"Condition.49_M_L_A_Sh_01_A_0_0","C9ExbguBIEZZUJDg",NA
"5",493,"Condition.57_M_L_A_Sh_05_A_0_0","r2NWIXoqGwcbUi1e",NA
"6",535,"Condition.34_M_L_A_S_01_A_0_1","gL9obOvCGq53eg9W",NA
"7",546,"Condition.15_F_L_A_S_05_B_1_0","nSgMGYxWIJjHfKzm",NA
"8",544,"Condition.58_M_L_A_Sh_05_A_0_1","jO3RLvcnV5rHMKvd",NA
"9",501,"Condition.8_F_L_A_S_01_B_1_1","p0Yjxbjgtmy79vZ8",NA
"11",490,"Condition.21_F_L_A_Sh_01_B_0_0","19kytqqAJV360uJa",NA
"12",461,"Condition.31_F_L_A_Sh_05_B_1_0","JOfjKlNwS4qt10zn",NA
"13",539,"Condition.7_F_L_A_S_01_B_1_0","asF6Si1Mx4bH2tdJ",NA
"16",446,"Condition.20_F_L_A_Sh_01_A_1_1","UMtA0M3RCgobmUxT",NA
"17",483,"Condition.40_M_L_A_S_01_B_1_1","64tfEjygBYFEAauw",NA
"19",481,"Condition.42_M_L_A_S_05_A_0_1","tDCl58wQqQsi46Ca",NA
"22",469,"Condition.62_M_L_A_Sh_05_B_0_1","yyW5k7q0gudH9Nw9",NA
"23",452,"Condition.52_M_L_A_Sh_01_A_1_1","Yo7s33prs2psMSqY",NA
"24",511,"Condition.33_M_L_A_S_01_A_0_0","Qk19Xxlqs4I5jNij",NA
"25",470,"Condition.37_M_L_A_S_01_B_0_0","uZD52OB5ZtVSCnzq",NA
"26",465,"Condition.39_M_L_A_S_01_B_1_0","AsxQ1OpDaP7Gxyy1",NA
"27",456,"Condition.13_F_L_A_S_05_B_0_0","Vz3FYw2vfJj8m4i6",NA
"28",454,"Condition.29_F_L_A_Sh_05_B_0_0","k1z5tkQGn8jNQfBy",NA
"29",472,"Condition.53_M_L_A_Sh_01_B_0_0","motiOma0uDJFgB9D",NA
"30",537,"Condition.55_M_L_A_Sh_01_B_1_0","sXrt1VWwmBPc1ZfV",NA
"31",467,"Condition.56_M_L_A_Sh_01_B_1_1","ON4hln05fPOyilJQ",NA
"32",548,"Condition.22_F_L_A_Sh_01_B_0_1","uhsP2KeCT4YkDBBR",NA
"33",460,"Condition.19_F_L_A_Sh_01_A_1_0","RtyWf1puDNM7qEcB",NA
"34",447,"Condition.16_F_L_A_S_05_B_1_1","UJjTzkWx9kTkWvG1",NA
"35",443,"Condition.11_F_L_A_S_05_A_1_0","Hd00Gr0ZOufQiDpu",NA
"36",453,"Condition.10_F_L_A_S_05_A_0_1","pKgFQpj56HCEK2qO",NA
"37",494,"Condition.18_F_L_A_Sh_01_A_0_1","uNEni3UWlNIFhYV3",NA
"38",550,"Condition.36_M_L_A_S_01_A_1_1","r5NUCiAsIceljg7r",NA
"39",549,"Condition.59_M_L_A_Sh_05_A_1_0","s9RBipPHwsU59M13",NA
"40",543,"Condition.6_F_L_A_S_01_B_0_1","cL4o1sl6sGwADkhA",NA
"41",448,"Condition.3_F_L_A_S_01_A_1_0","CFYxxnVEB3JsUgP3",NA
"44",482,"Condition.46_M_L_A_S_05_B_0_1","ZmIQt8mreUqgKJVQ",NA
"45",540,"Condition.35_M_L_A_S_01_A_1_0","lXWi0c3sxfGxKH4d",NA
"47",458,"Condition.26_F_L_A_Sh_05_A_0_1","DMB2P81H46j8k3ol",NA
"48",449,"Condition.60_M_L_A_Sh_05_A_1_1","2SPuyM8cVAK8FhI9",NA
"49",444,"Condition.2_F_L_A_S_01_A_0_1","wCRAwGCBPlgMJBH6",NA
"50",485,"Condition.9_F_L_A_S_05_A_0_0","bXb0rUHrar6tTDOY",NA
"51",504,"Condition.50_M_L_A_Sh_01_A_0_1","Qe54pDlrp0cGcyeg",NA
"52",541,"Condition.45_M_L_A_S_05_B_0_0","cJUutOmjgkGeWFf7",NA
"53",463,"Condition.51_M_L_A_Sh_01_A_1_0","5KBK2qSXwv7wXa2M",NA
