"","workerid","proliferate.condition","speaker_attended_comments","error"
"1",495,"Condition.54_M_L_A_Sh_01_B_0_1","Not really honestly. It felt a bit robotic but recording single words can sound like that.",NA
"2",451,"Condition.47_M_L_A_S_05_B_1_0","I did not notice anything interesting in how he spoke. He sounds normal to me but probably a computer-generated voice.",NA
"3",445,"Condition.61_M_L_A_Sh_05_B_0_0","Nothing odd",NA
"4",455,"Condition.49_M_L_A_Sh_01_A_0_0","I was concentrating on the words being spoken, not the speaker's inflections in part 1.",NA
"5",493,"Condition.57_M_L_A_Sh_05_A_0_0","It just sounded a little robotic.",NA
"6",535,"Condition.34_M_L_A_S_01_A_0_1","Nothing odd.",NA
"7",546,"Condition.15_F_L_A_S_05_B_1_0","I noticed towards the end that it was more than probable many of the words the speaker was saying had some kind of purposeful lisp or speech impediment while saying certain words which may have meant I was saying certain ""sounds"" were words but that actually weren't. ",NA
"8",544,"Condition.58_M_L_A_Sh_05_A_0_1","No it was easy to tell whether the word was real or made up",NA
"9",501,"Condition.8_F_L_A_S_01_B_1_1","No",NA
"11",490,"Condition.21_F_L_A_Sh_01_B_0_0","no",NA
"12",461,"Condition.31_F_L_A_Sh_05_B_1_0","I did not not notice anything odd. ",NA
"13",539,"Condition.7_F_L_A_S_01_B_1_0","not really",NA
"16",446,"Condition.20_F_L_A_Sh_01_A_1_1","I'm aware that in these types of experiments, one or both of the speakers in the exposure phase produces an ambiguous sound between /s/ and /sh/. I didn't actually consciously notice anything though because I was distracted by the two voices and the task was difficult.  ",NA
"17",483,"Condition.40_M_L_A_S_01_B_1_1","I didn't notice anything.  ",NA
"19",481,"Condition.42_M_L_A_S_05_A_0_1","not specifically",NA
"22",469,"Condition.62_M_L_A_Sh_05_B_0_1","",NA
"23",452,"Condition.52_M_L_A_Sh_01_A_1_1","The only thing that felt odd to me as that there were times when his syllables were not strong enough for me detect if he just said a real words. The female voice had more clarity. Not that his was bad. It just wasn't as clear to hear his pronunciation as hers. I guess that's part of the test, in a way.",NA
"24",511,"Condition.33_M_L_A_S_01_A_0_0","It was much easier to determine the word the talker said when the word started with a consonant. Outside of that, there was nothing out of the ordinary.",NA
"25",470,"Condition.37_M_L_A_S_01_B_0_0","",NA
"26",465,"Condition.39_M_L_A_S_01_B_1_0","No",NA
"27",456,"Condition.13_F_L_A_S_05_B_0_0","did not notice anything",NA
"28",454,"Condition.29_F_L_A_Sh_05_B_0_0","no I didn't notice anything. Maybe she was a little louder?",NA
"29",472,"Condition.53_M_L_A_Sh_01_B_0_0","no",NA
"30",537,"Condition.55_M_L_A_Sh_01_B_1_0","I didn't notice anything odd.",NA
"31",467,"Condition.56_M_L_A_Sh_01_B_1_1","Yes.  You could not hear words from anyone but the louder speaker.",NA
"32",548,"Condition.22_F_L_A_Sh_01_B_0_1","No",NA
"33",460,"Condition.19_F_L_A_Sh_01_A_1_0","I did not notice anything odd",NA
"34",447,"Condition.16_F_L_A_S_05_B_1_1","I didn't notice anything odd about how the talker spoke.",NA
"35",443,"Condition.11_F_L_A_S_05_A_1_0","NO",NA
"36",453,"Condition.10_F_L_A_S_05_A_0_1","The talker attempted to slow down the words as the test progressed.",NA
"37",494,"Condition.18_F_L_A_Sh_01_A_0_1","The voice changed, it was a female but the actual person changed so the words sounded different.",NA
"38",550,"Condition.36_M_L_A_S_01_A_1_1","The male talker had a somewhat feminine voice.",NA
"39",549,"Condition.59_M_L_A_Sh_05_A_1_0","Nothing",NA
"40",543,"Condition.6_F_L_A_S_01_B_0_1","The pronunciation of certain words was slightly incorrect.",NA
"41",448,"Condition.3_F_L_A_S_01_A_1_0","I didn't notice anything odd.",NA
"44",482,"Condition.46_M_L_A_S_05_B_0_1","No, nothing odd.",NA
"45",540,"Condition.35_M_L_A_S_01_A_1_0","No, nothing odd.",NA
"47",458,"Condition.26_F_L_A_Sh_05_A_0_1","No",NA
"48",449,"Condition.60_M_L_A_Sh_05_A_1_1","No, I did not notice anything odd about the male talker.",NA
"49",444,"Condition.2_F_L_A_S_01_A_0_1","sometimes the 's' sound in words was pronounced with more of an 'sh' sound. it sounded like the speaker said ""dinoshaur"" instead of ""dinosaur.""",NA
"50",485,"Condition.9_F_L_A_S_05_A_0_0","nope",NA
"51",504,"Condition.50_M_L_A_Sh_01_A_0_1","It seemed like there might have been 2 different male talkers.",NA
"52",541,"Condition.45_M_L_A_S_05_B_0_0","No, I didn't notice anything unusual. ",NA
"53",463,"Condition.51_M_L_A_Sh_01_A_1_0","nope, should I have?
",NA
