"","workerid","proliferate.condition","speaker_attended_pronunciation","error"
"1",495,"Condition.54_M_L_A_Sh_01_B_0_1","slow,relaxed",NA
"2",451,"Condition.47_M_L_A_S_05_B_1_0","normal,high,serious",NA
"3",445,"Condition.61_M_L_A_Sh_05_B_0_0","normal",NA
"4",455,"Condition.49_M_L_A_Sh_01_A_0_0","normal,relaxed",NA
"5",493,"Condition.57_M_L_A_Sh_05_A_0_0","slow",NA
"6",535,"Condition.34_M_L_A_S_01_A_0_1","normal",NA
"7",546,"Condition.15_F_L_A_S_05_B_1_0","normal,relaxed",NA
"8",544,"Condition.58_M_L_A_Sh_05_A_0_1","fast",NA
"9",501,"Condition.8_F_L_A_S_01_B_1_1","normal",NA
"11",490,"Condition.21_F_L_A_Sh_01_B_0_0","serious",NA
"12",461,"Condition.31_F_L_A_Sh_05_B_1_0","low",NA
"13",539,"Condition.7_F_L_A_S_01_B_1_0","fast,relaxed",NA
"16",446,"Condition.20_F_L_A_Sh_01_A_1_1","normal,relaxed",NA
"17",483,"Condition.40_M_L_A_S_01_B_1_1","normal",NA
"19",481,"Condition.42_M_L_A_S_05_A_0_1","normal",NA
"22",469,"Condition.62_M_L_A_Sh_05_B_0_1","slow,relaxed",NA
"23",452,"Condition.52_M_L_A_Sh_01_A_1_1","normal,relaxed",NA
"24",511,"Condition.33_M_L_A_S_01_A_0_0","slow,low,relaxed",NA
"25",470,"Condition.37_M_L_A_S_01_B_0_0","slow,normal,fast,relaxed",NA
"26",465,"Condition.39_M_L_A_S_01_B_1_0","low,relaxed",NA
"27",456,"Condition.13_F_L_A_S_05_B_0_0","normal,serious",NA
"28",454,"Condition.29_F_L_A_Sh_05_B_0_0","slow",NA
"29",472,"Condition.53_M_L_A_Sh_01_B_0_0","normal,relaxed",NA
"30",537,"Condition.55_M_L_A_Sh_01_B_1_0","normal,relaxed",NA
"31",467,"Condition.56_M_L_A_Sh_01_B_1_1","relaxed",NA
"32",548,"Condition.22_F_L_A_Sh_01_B_0_1","normal",NA
"33",460,"Condition.19_F_L_A_Sh_01_A_1_0","normal,relaxed",NA
"34",447,"Condition.16_F_L_A_S_05_B_1_1","normal,relaxed",NA
"35",443,"Condition.11_F_L_A_S_05_A_1_0","slow,serious",NA
"36",453,"Condition.10_F_L_A_S_05_A_0_1","slow,relaxed",NA
"37",494,"Condition.18_F_L_A_Sh_01_A_0_1","slow,high",NA
"38",550,"Condition.36_M_L_A_S_01_A_1_1","slow,high,serious",NA
"39",549,"Condition.59_M_L_A_Sh_05_A_1_0","normal",NA
"40",543,"Condition.6_F_L_A_S_01_B_0_1","relaxed",NA
"41",448,"Condition.3_F_L_A_S_01_A_1_0","normal",NA
"44",482,"Condition.46_M_L_A_S_05_B_0_1","normal,relaxed",NA
"45",540,"Condition.35_M_L_A_S_01_A_1_0","slow,low",NA
"47",458,"Condition.26_F_L_A_Sh_05_A_0_1","slow,serious",NA
"48",449,"Condition.60_M_L_A_Sh_05_A_1_1","normal,relaxed",NA
"49",444,"Condition.2_F_L_A_S_01_A_0_1","normal",NA
"50",485,"Condition.9_F_L_A_S_05_A_0_0","normal",NA
"51",504,"Condition.50_M_L_A_Sh_01_A_0_1","normal,relaxed",NA
"52",541,"Condition.45_M_L_A_S_05_B_0_0","normal,relaxed",NA
"53",463,"Condition.51_M_L_A_Sh_01_A_1_0","slow,serious",NA
