"","workerid","proliferate.condition","userDateTimeAtInitialization","error"
"1",495,"Condition.54_M_L_A_Sh_01_B_0_1","2023-03-07T17:34:12.487Z",NA
"2",451,"Condition.47_M_L_A_S_05_B_1_0","2023-03-07T02:14:36.021Z",NA
"3",445,"Condition.61_M_L_A_Sh_05_B_0_0","2023-03-07T01:54:36.962Z",NA
"4",455,"Condition.49_M_L_A_Sh_01_A_0_0","2023-03-07T16:57:20.639Z",NA
"5",493,"Condition.57_M_L_A_Sh_05_A_0_0","2023-03-07T17:33:22.947Z",NA
"6",535,"Condition.34_M_L_A_S_01_A_0_1","2023-03-07T17:46:25.060Z",NA
"7",546,"Condition.15_F_L_A_S_05_B_1_0","2023-03-07T17:52:07.201Z",NA
"8",544,"Condition.58_M_L_A_Sh_05_A_0_1","2023-03-07T17:49:58.357Z",NA
"9",501,"Condition.8_F_L_A_S_01_B_1_1","2023-03-07T17:35:52.822Z",NA
"11",490,"Condition.21_F_L_A_Sh_01_B_0_0","2023-03-07T17:32:08.995Z",NA
"12",461,"Condition.31_F_L_A_Sh_05_B_1_0","2023-03-07T17:07:19.353Z",NA
"13",539,"Condition.7_F_L_A_S_01_B_1_0","2023-03-07T17:48:29.494Z",NA
"16",446,"Condition.20_F_L_A_Sh_01_A_1_1","2023-03-07T01:59:24.556Z",NA
"17",483,"Condition.40_M_L_A_S_01_B_1_1","2023-03-07T17:27:08.864Z",NA
"19",481,"Condition.42_M_L_A_S_05_A_0_1","2023-03-07T17:25:42.353Z",NA
"22",469,"Condition.62_M_L_A_Sh_05_B_0_1","2023-03-07T17:14:10.277Z",NA
"23",452,"Condition.52_M_L_A_Sh_01_A_1_1","2023-03-07T03:25:11.967Z",NA
"24",511,"Condition.33_M_L_A_S_01_A_0_0","2023-03-07T17:37:32.640Z",NA
"25",470,"Condition.37_M_L_A_S_01_B_0_0","2023-03-07T17:15:47.937Z",NA
"26",465,"Condition.39_M_L_A_S_01_B_1_0","2023-03-07T17:10:17.631Z",NA
"27",456,"Condition.13_F_L_A_S_05_B_0_0","2023-03-07T16:56:52.970Z",NA
"28",454,"Condition.29_F_L_A_Sh_05_B_0_0","2023-03-07T16:52:18.493Z",NA
"29",472,"Condition.53_M_L_A_Sh_01_B_0_0","2023-03-07T17:19:17.143Z",NA
"30",537,"Condition.55_M_L_A_Sh_01_B_1_0","2023-03-07T17:46:48.407Z",NA
"31",467,"Condition.56_M_L_A_Sh_01_B_1_1","2023-03-07T17:11:15.071Z",NA
"32",548,"Condition.22_F_L_A_Sh_01_B_0_1","2023-03-07T17:56:03.087Z",NA
"33",460,"Condition.19_F_L_A_Sh_01_A_1_0","2023-03-07T17:06:28.842Z",NA
"34",447,"Condition.16_F_L_A_S_05_B_1_1","2023-03-07T02:04:20.864Z",NA
"35",443,"Condition.11_F_L_A_S_05_A_1_0","2023-03-06T22:39:34.877Z",NA
"36",453,"Condition.10_F_L_A_S_05_A_0_1","2023-03-07T16:48:38.491Z",NA
"37",494,"Condition.18_F_L_A_Sh_01_A_0_1","2023-03-07T17:33:57.891Z",NA
"38",550,"Condition.36_M_L_A_S_01_A_1_1","2023-03-07T19:26:48.661Z",NA
"39",549,"Condition.59_M_L_A_Sh_05_A_1_0","2023-03-07T18:21:09.823Z",NA
"40",543,"Condition.6_F_L_A_S_01_B_0_1","2023-03-07T17:49:33.173Z",NA
"41",448,"Condition.3_F_L_A_S_01_A_1_0","2023-03-07T02:06:01.538Z",NA
"44",482,"Condition.46_M_L_A_S_05_B_0_1","2023-03-07T17:26:32.760Z",NA
"45",540,"Condition.35_M_L_A_S_01_A_1_0","2023-03-07T17:48:40.654Z",NA
"47",458,"Condition.26_F_L_A_Sh_05_A_0_1","2023-03-07T17:03:37.059Z",NA
"48",449,"Condition.60_M_L_A_Sh_05_A_1_1","2023-03-07T02:07:53.471Z",NA
"49",444,"Condition.2_F_L_A_S_01_A_0_1","2023-03-07T01:47:39.381Z",NA
"50",485,"Condition.9_F_L_A_S_05_A_0_0","2023-03-07T17:27:49.834Z",NA
"51",504,"Condition.50_M_L_A_Sh_01_A_0_1","2023-03-07T17:36:08.542Z",NA
"52",541,"Condition.45_M_L_A_S_05_B_0_0","2023-03-07T17:49:11.777Z",NA
"53",463,"Condition.51_M_L_A_Sh_01_A_1_0","2023-03-07T17:08:44.958Z",NA
