"","workerid","proliferate.condition","userDateTimeAtSubmit","error"
"1",495,"Condition.54_M_L_A_Sh_01_B_0_1","2023-03-07T17:50:37.298Z",NA
"2",451,"Condition.47_M_L_A_S_05_B_1_0","2023-03-07T02:28:23.759Z",NA
"3",445,"Condition.61_M_L_A_Sh_05_B_0_0","2023-03-07T02:14:21.704Z",NA
"4",455,"Condition.49_M_L_A_Sh_01_A_0_0","2023-03-07T17:10:56.204Z",NA
"5",493,"Condition.57_M_L_A_Sh_05_A_0_0","2023-03-07T17:44:52.885Z",NA
"6",535,"Condition.34_M_L_A_S_01_A_0_1","2023-03-07T18:06:59.972Z",NA
"7",546,"Condition.15_F_L_A_S_05_B_1_0","2023-03-07T18:09:18.065Z",NA
"8",544,"Condition.58_M_L_A_Sh_05_A_0_1","2023-03-07T18:02:52.666Z",NA
"9",501,"Condition.8_F_L_A_S_01_B_1_1","2023-03-07T17:54:49.621Z",NA
"11",490,"Condition.21_F_L_A_Sh_01_B_0_0","2023-03-07T17:48:29.097Z",NA
"12",461,"Condition.31_F_L_A_Sh_05_B_1_0","2023-03-07T17:23:12.312Z",NA
"13",539,"Condition.7_F_L_A_S_01_B_1_0","2023-03-07T18:12:21.407Z",NA
"16",446,"Condition.20_F_L_A_Sh_01_A_1_1","2023-03-07T02:16:17.976Z",NA
"17",483,"Condition.40_M_L_A_S_01_B_1_1","2023-03-07T17:39:46.438Z",NA
"19",481,"Condition.42_M_L_A_S_05_A_0_1","2023-03-07T17:38:31.574Z",NA
"22",469,"Condition.62_M_L_A_Sh_05_B_0_1","2023-03-07T17:26:35.306Z",NA
"23",452,"Condition.52_M_L_A_Sh_01_A_1_1","2023-03-07T03:49:46.646Z",NA
"24",511,"Condition.33_M_L_A_S_01_A_0_0","2023-03-07T17:55:20.526Z",NA
"25",470,"Condition.37_M_L_A_S_01_B_0_0","2023-03-07T17:35:00.186Z",NA
"26",465,"Condition.39_M_L_A_S_01_B_1_0","2023-03-07T17:26:15.250Z",NA
"27",456,"Condition.13_F_L_A_S_05_B_0_0","2023-03-07T17:12:18.635Z",NA
"28",454,"Condition.29_F_L_A_Sh_05_B_0_0","2023-03-07T17:05:16.332Z",NA
"29",472,"Condition.53_M_L_A_Sh_01_B_0_0","2023-03-07T17:32:30.309Z",NA
"30",537,"Condition.55_M_L_A_Sh_01_B_1_0","2023-03-07T18:00:42.072Z",NA
"31",467,"Condition.56_M_L_A_Sh_01_B_1_1","2023-03-07T17:24:21.087Z",NA
"32",548,"Condition.22_F_L_A_Sh_01_B_0_1","2023-03-07T18:12:59.300Z",NA
"33",460,"Condition.19_F_L_A_Sh_01_A_1_0","2023-03-07T17:20:02.922Z",NA
"34",447,"Condition.16_F_L_A_S_05_B_1_1","2023-03-07T02:21:48.547Z",NA
"35",443,"Condition.11_F_L_A_S_05_A_1_0","2023-03-06T23:01:55.579Z",NA
"36",453,"Condition.10_F_L_A_S_05_A_0_1","2023-03-07T16:59:15.874Z",NA
"37",494,"Condition.18_F_L_A_Sh_01_A_0_1","2023-03-07T17:49:22.443Z",NA
"38",550,"Condition.36_M_L_A_S_01_A_1_1","2023-03-07T19:42:02.750Z",NA
"39",549,"Condition.59_M_L_A_Sh_05_A_1_0","2023-03-07T18:35:41.201Z",NA
"40",543,"Condition.6_F_L_A_S_01_B_0_1","2023-03-07T18:05:16.354Z",NA
"41",448,"Condition.3_F_L_A_S_01_A_1_0","2023-03-07T02:31:04.262Z",NA
"44",482,"Condition.46_M_L_A_S_05_B_0_1","2023-03-07T17:42:49.832Z",NA
"45",540,"Condition.35_M_L_A_S_01_A_1_0","2023-03-07T18:01:21.851Z",NA
"47",458,"Condition.26_F_L_A_Sh_05_A_0_1","2023-03-07T17:19:26.628Z",NA
"48",449,"Condition.60_M_L_A_Sh_05_A_1_1","2023-03-07T02:24:14.200Z",NA
"49",444,"Condition.2_F_L_A_S_01_A_0_1","2023-03-07T02:04:00.174Z",NA
"50",485,"Condition.9_F_L_A_S_05_A_0_0","2023-03-07T17:48:45.293Z",NA
"51",504,"Condition.50_M_L_A_Sh_01_A_0_1","2023-03-07T17:53:57.862Z",NA
"52",541,"Condition.45_M_L_A_S_05_B_0_0","2023-03-07T18:01:08.903Z",NA
"53",463,"Condition.51_M_L_A_Sh_01_A_1_0","2023-03-07T17:34:07.707Z",NA
