"","workerid","proliferate.condition","word_recall","error"
"1",495,"Condition.54_M_L_A_Sh_01_B_0_1","materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",NA
"2",451,"Condition.47_M_L_A_S_05_B_1_0","materials.b_s_talker.a,materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_s_talker.b",NA
"3",445,"Condition.61_M_L_A_Sh_05_B_0_0","materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",NA
"4",455,"Condition.49_M_L_A_Sh_01_A_0_0","materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",NA
"5",493,"Condition.57_M_L_A_Sh_05_A_0_0","materials.b_s_talker.a,materials.a_s_talker.b,materials.b_s_talker.a,random_word_3,materials.b_sh_talker.b,materials.a_sh_talker.a,random_word_4",NA
"6",535,"Condition.34_M_L_A_S_01_A_0_1","materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.b_sh_talker.b,materials.a_sh_talker.a",NA
"7",546,"Condition.15_F_L_A_S_05_B_1_0","materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_sh_talker.b,materials.b_sh_talker.b",NA
"8",544,"Condition.58_M_L_A_Sh_05_A_0_1","materials.b_s_talker.a,materials.a_sh_talker.a",NA
"9",501,"Condition.8_F_L_A_S_01_B_1_1","materials.a_s_talker.b,materials.a_sh_talker.a,random_word_2,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b,random_word_4",NA
"11",490,"Condition.21_F_L_A_Sh_01_B_0_0","materials.b_s_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",NA
"12",461,"Condition.31_F_L_A_Sh_05_B_1_0","materials.b_s_talker.a,materials.b_sh_talker.b,random_word_4",NA
"13",539,"Condition.7_F_L_A_S_01_B_1_0","materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_s_talker.b,materials.b_sh_talker.b",NA
"16",446,"Condition.20_F_L_A_Sh_01_A_1_1","materials.b_s_talker.a,materials.a_sh_talker.a",NA
"17",483,"Condition.40_M_L_A_S_01_B_1_1","materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",NA
"19",481,"Condition.42_M_L_A_S_05_A_0_1","materials.b_s_talker.a,random_word_1,materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_sh_talker.b,materials.b_sh_talker.b",NA
"22",469,"Condition.62_M_L_A_Sh_05_B_0_1","materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a",NA
"23",452,"Condition.52_M_L_A_Sh_01_A_1_1","materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",NA
"24",511,"Condition.33_M_L_A_S_01_A_0_0","materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",NA
"25",470,"Condition.37_M_L_A_S_01_B_0_0","materials.a_s_talker.b,materials.a_sh_talker.a,materials.a_s_talker.b,materials.b_sh_talker.b",NA
"26",465,"Condition.39_M_L_A_S_01_B_1_0","materials.a_s_talker.b,materials.a_sh_talker.a,materials.a_s_talker.b",NA
"27",456,"Condition.13_F_L_A_S_05_B_0_0","materials.a_s_talker.b,random_word_2,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b,random_word_4",NA
"28",454,"Condition.29_F_L_A_Sh_05_B_0_0","materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",NA
"29",472,"Condition.53_M_L_A_Sh_01_B_0_0","materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",NA
"30",537,"Condition.55_M_L_A_Sh_01_B_1_0","materials.b_s_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b",NA
"31",467,"Condition.56_M_L_A_Sh_01_B_1_1","materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",NA
