"","workerid","prolific_participant_id"
"1",495,"<no-id>"
"2",451,"<no-id>"
"3",445,"<no-id>"
"4",455,"<no-id>"
"5",493,"<no-id>"
"6",535,"<no-id>"
"7",546,"<no-id>"
"8",544,"<no-id>"
"9",501,"<no-id>"
"11",490,"<no-id>"
"12",461,"<no-id>"
"13",539,"<no-id>"
"16",446,"<no-id>"
"17",483,"<no-id>"
"19",481,"<no-id>"
"22",469,"<no-id>"
"23",452,"<no-id>"
"24",511,"<no-id>"
"25",470,"<no-id>"
"26",465,"<no-id>"
"27",456,"<no-id>"
"28",454,"<no-id>"
"29",472,"<no-id>"
"30",537,"<no-id>"
"31",467,"<no-id>"
"32",548,"<no-id>"
"33",460,"<no-id>"
"34",447,"<no-id>"
"35",443,"<no-id>"
"36",453,"<no-id>"
"37",494,"<no-id>"
"38",550,"<no-id>"
"39",549,"<no-id>"
"40",543,"<no-id>"
"41",448,"<no-id>"
"44",482,"<no-id>"
"45",540,"<no-id>"
"47",458,"<no-id>"
"48",449,"<no-id>"
"49",444,"<no-id>"
"50",485,"<no-id>"
"51",504,"<no-id>"
"52",541,"<no-id>"
"53",463,"<no-id>"
