workerid,proliferate.condition,respKeyTest,error
495,Condition.54_M_L_A_Sh_01_B_0_1,1,
451,Condition.47_M_L_A_S_05_B_1_0,0,
445,Condition.61_M_L_A_Sh_05_B_0_0,0,
455,Condition.49_M_L_A_Sh_01_A_0_0,0,
493,Condition.57_M_L_A_Sh_05_A_0_0,0,
535,Condition.34_M_L_A_S_01_A_0_1,1,
546,Condition.15_F_L_A_S_05_B_1_0,0,
544,Condition.58_M_L_A_Sh_05_A_0_1,1,
501,Condition.8_F_L_A_S_01_B_1_1,1,
531,Condition.41_M_L_A_S_05_A_0_0,0,
490,Condition.21_F_L_A_Sh_01_B_0_0,0,
461,Condition.31_F_L_A_Sh_05_B_1_0,0,
539,Condition.7_F_L_A_S_01_B_1_0,0,
533,Condition.12_F_L_A_S_05_A_1_1,1,
509,Condition.12_F_L_A_S_05_A_1_1,1,
446,Condition.20_F_L_A_Sh_01_A_1_1,1,
483,Condition.40_M_L_A_S_01_B_1_1,1,
534,Condition.30_F_L_A_Sh_05_B_0_1,1,
481,Condition.42_M_L_A_S_05_A_0_1,1,
523,Condition.23_F_L_A_Sh_01_B_1_0,0,
517,Condition.23_F_L_A_Sh_01_B_1_0,0,
469,Condition.62_M_L_A_Sh_05_B_0_1,1,
452,Condition.52_M_L_A_Sh_01_A_1_1,1,
511,Condition.33_M_L_A_S_01_A_0_0,0,
470,Condition.37_M_L_A_S_01_B_0_0,0,
465,Condition.39_M_L_A_S_01_B_1_0,0,
456,Condition.13_F_L_A_S_05_B_0_0,0,
454,Condition.29_F_L_A_Sh_05_B_0_0,0,
472,Condition.53_M_L_A_Sh_01_B_0_0,0,
537,Condition.55_M_L_A_Sh_01_B_1_0,0,
467,Condition.56_M_L_A_Sh_01_B_1_1,1,
548,Condition.22_F_L_A_Sh_01_B_0_1,1,
460,Condition.19_F_L_A_Sh_01_A_1_0,0,
447,Condition.16_F_L_A_S_05_B_1_1,1,
443,Condition.11_F_L_A_S_05_A_1_0,0,
453,Condition.10_F_L_A_S_05_A_0_1,1,
494,Condition.18_F_L_A_Sh_01_A_0_1,1,
550,Condition.36_M_L_A_S_01_A_1_1,1,
549,Condition.59_M_L_A_Sh_05_A_1_0,0,
543,Condition.6_F_L_A_S_01_B_0_1,1,
448,Condition.3_F_L_A_S_01_A_1_0,0,
524,Condition.24_F_L_A_Sh_01_B_1_1,1,
521,Condition.24_F_L_A_Sh_01_B_1_1,1,
482,Condition.46_M_L_A_S_05_B_0_1,1,
540,Condition.35_M_L_A_S_01_A_1_0,0,
508,Condition.5_F_L_A_S_01_B_0_0,0,
458,Condition.26_F_L_A_Sh_05_A_0_1,1,
449,Condition.60_M_L_A_Sh_05_A_1_1,1,
444,Condition.2_F_L_A_S_01_A_0_1,1,
485,Condition.9_F_L_A_S_05_A_0_0,0,
504,Condition.50_M_L_A_Sh_01_A_0_1,1,
541,Condition.45_M_L_A_S_05_B_0_0,0,
463,Condition.51_M_L_A_Sh_01_A_1_0,0,
