workerid,proliferate.condition,speaker_unattended_pronunciation,error
495,Condition.54_M_L_A_Sh_01_B_0_1,normal,
451,Condition.47_M_L_A_S_05_B_1_0,"fast,high,relaxed",
445,Condition.61_M_L_A_Sh_05_B_0_0,serious,
455,Condition.49_M_L_A_Sh_01_A_0_0,relaxed,
493,Condition.57_M_L_A_Sh_05_A_0_0,normal,
535,Condition.34_M_L_A_S_01_A_0_1,normal,
546,Condition.15_F_L_A_S_05_B_1_0,"normal,relaxed",
544,Condition.58_M_L_A_Sh_05_A_0_1,normal,
501,Condition.8_F_L_A_S_01_B_1_1,normal,
531,Condition.41_M_L_A_S_05_A_0_0,normal,
490,Condition.21_F_L_A_Sh_01_B_0_0,"normal,low",
461,Condition.31_F_L_A_Sh_05_B_1_0,high,
539,Condition.7_F_L_A_S_01_B_1_0,normal,
533,Condition.12_F_L_A_S_05_A_1_1,normal,
509,Condition.12_F_L_A_S_05_A_1_1,"normal,relaxed",
446,Condition.20_F_L_A_Sh_01_A_1_1,"normal,relaxed",
483,Condition.40_M_L_A_S_01_B_1_1,normal,
534,Condition.30_F_L_A_Sh_05_B_0_1,low,
481,Condition.42_M_L_A_S_05_A_0_1,normal,
523,Condition.23_F_L_A_Sh_01_B_1_0,normal,
517,Condition.23_F_L_A_Sh_01_B_1_0,normal,
469,Condition.62_M_L_A_Sh_05_B_0_1,normal,
452,Condition.52_M_L_A_Sh_01_A_1_1,normal,
511,Condition.33_M_L_A_S_01_A_0_0,"normal,relaxed",
470,Condition.37_M_L_A_S_01_B_0_0,"normal,relaxed",
465,Condition.39_M_L_A_S_01_B_1_0,"fast,high",
456,Condition.13_F_L_A_S_05_B_0_0,fast,
454,Condition.29_F_L_A_Sh_05_B_0_0,fast,
472,Condition.53_M_L_A_Sh_01_B_0_0,normal,
537,Condition.55_M_L_A_Sh_01_B_1_0,normal,
467,Condition.56_M_L_A_Sh_01_B_1_1,low,
548,Condition.22_F_L_A_Sh_01_B_0_1,normal,
460,Condition.19_F_L_A_Sh_01_A_1_0,relaxed,
447,Condition.16_F_L_A_S_05_B_1_1,"high,serious",
443,Condition.11_F_L_A_S_05_A_1_0,normal,
453,Condition.10_F_L_A_S_05_A_0_1,fast,
494,Condition.18_F_L_A_Sh_01_A_0_1,normal,
550,Condition.36_M_L_A_S_01_A_1_1,"normal,serious",
549,Condition.59_M_L_A_Sh_05_A_1_0,normal,
543,Condition.6_F_L_A_S_01_B_0_1,serious,
448,Condition.3_F_L_A_S_01_A_1_0,normal,
524,Condition.24_F_L_A_Sh_01_B_1_1,"normal,relaxed",
521,Condition.24_F_L_A_Sh_01_B_1_1,normal,
482,Condition.46_M_L_A_S_05_B_0_1,"fast,high",
540,Condition.35_M_L_A_S_01_A_1_0,normal,
508,Condition.5_F_L_A_S_01_B_0_0,normal,
458,Condition.26_F_L_A_Sh_05_A_0_1,"slow,serious",
449,Condition.60_M_L_A_Sh_05_A_1_1,"normal,relaxed",
444,Condition.2_F_L_A_S_01_A_0_1,normal,
485,Condition.9_F_L_A_S_05_A_0_0,normal,
504,Condition.50_M_L_A_Sh_01_A_0_1,"slow,fast,high,low,serious",
541,Condition.45_M_L_A_S_05_B_0_0,"normal,relaxed",
463,Condition.51_M_L_A_Sh_01_A_1_0,normal,
