workerid,proliferate.condition,experiment_id,error
495,Condition.54_M_L_A_Sh_01_B_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
451,Condition.47_M_L_A_S_05_B_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
445,Condition.61_M_L_A_Sh_05_B_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
455,Condition.49_M_L_A_Sh_01_A_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
493,Condition.57_M_L_A_Sh_05_A_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
535,Condition.34_M_L_A_S_01_A_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
546,Condition.15_F_L_A_S_05_B_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
544,Condition.58_M_L_A_Sh_05_A_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
501,Condition.8_F_L_A_S_01_B_1_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
531,Condition.41_M_L_A_S_05_A_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
490,Condition.21_F_L_A_Sh_01_B_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
461,Condition.31_F_L_A_Sh_05_B_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
539,Condition.7_F_L_A_S_01_B_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
533,Condition.12_F_L_A_S_05_A_1_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
509,Condition.12_F_L_A_S_05_A_1_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
446,Condition.20_F_L_A_Sh_01_A_1_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
483,Condition.40_M_L_A_S_01_B_1_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
534,Condition.30_F_L_A_Sh_05_B_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
481,Condition.42_M_L_A_S_05_A_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
523,Condition.23_F_L_A_Sh_01_B_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
517,Condition.23_F_L_A_Sh_01_B_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
469,Condition.62_M_L_A_Sh_05_B_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
452,Condition.52_M_L_A_Sh_01_A_1_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
511,Condition.33_M_L_A_S_01_A_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
470,Condition.37_M_L_A_S_01_B_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
465,Condition.39_M_L_A_S_01_B_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
456,Condition.13_F_L_A_S_05_B_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
454,Condition.29_F_L_A_Sh_05_B_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
472,Condition.53_M_L_A_Sh_01_B_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
537,Condition.55_M_L_A_Sh_01_B_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
467,Condition.56_M_L_A_Sh_01_B_1_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
548,Condition.22_F_L_A_Sh_01_B_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
460,Condition.19_F_L_A_Sh_01_A_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
447,Condition.16_F_L_A_S_05_B_1_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
443,Condition.11_F_L_A_S_05_A_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
453,Condition.10_F_L_A_S_05_A_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
494,Condition.18_F_L_A_Sh_01_A_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
550,Condition.36_M_L_A_S_01_A_1_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
549,Condition.59_M_L_A_Sh_05_A_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
543,Condition.6_F_L_A_S_01_B_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
448,Condition.3_F_L_A_S_01_A_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
524,Condition.24_F_L_A_Sh_01_B_1_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
521,Condition.24_F_L_A_Sh_01_B_1_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
482,Condition.46_M_L_A_S_05_B_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
540,Condition.35_M_L_A_S_01_A_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
508,Condition.5_F_L_A_S_01_B_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
458,Condition.26_F_L_A_Sh_05_A_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
449,Condition.60_M_L_A_Sh_05_A_1_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
444,Condition.2_F_L_A_S_01_A_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
485,Condition.9_F_L_A_S_05_A_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
504,Condition.50_M_L_A_Sh_01_A_0_1,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
541,Condition.45_M_L_A_S_05_B_0_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
463,Condition.51_M_L_A_Sh_01_A_1_0,aebf290f-eb1b-429d-8d25-5b3ec8e008c0,
